,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,55.0,1.0,1.0,2020-09-13,LAR,,DAL,"W, 20-17",,18,79,2,4.4,4,3,31,10.3,0,75.0,7.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,60.3,0,0.0,5,19.2
1,2.0,56.0,2.0,2.0,2020-09-20,LAR,@,PHI,"W, 37-19",,11,47,0,4.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,53.6,0,0.0,0,0.0
2,3.0,57.0,3.0,3.0,2020-09-27,LAR,@,BUF,"L, 32-35",,7,19,0,2.7,2,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,49.3,0,0.0,0,0.0
3,4.0,58.0,4.0,4.0,2020-10-04,LAR,,NYG,"W, 17-9",,9,38,0,4.2,6,5,19,3.8,0,83.3,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,61.4,0,0.0,0,0.0
4,5.0,59.0,5.0,5.0,2020-10-11,LAR,@,WAS,"W, 30-10",,8,30,0,3.8,2,1,-6,-6.0,0,50.0,-3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,38.2,0,0.0,0,0.0
5,6.0,60.0,6.0,6.0,2020-10-18,LAR,@,SFO,"L, 16-24",,2,4,0,2.0,4,3,18,6.0,0,75.0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,45.0,0,0.0,0,0.0
6,7.0,61.0,7.0,7.0,2020-10-26,LAR,,CHI,"W, 24-10",,10,57,1,5.7,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,40.3,0,0.0,0,0.0
7,8.0,62.0,8.0,8.0,2020-11-01,LAR,@,MIA,"L, 17-28",,10,40,0,4.0,2,2,17,8.5,0,100.0,8.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,60.0,0,0.0,0,0.0
8,9.0,63.0,9.0,10.0,2020-11-15,LAR,,SEA,"W, 23-16",,6,33,2,5.5,2,2,18,9.0,0,100.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,41.4,0,0.0,2,8.3
9,10.0,64.0,10.0,11.0,2020-11-23,LAR,@,TAM,"W, 27-24",,3,20,0,6.7,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,37.5,0,0.0,0,0.0
10,11.0,65.0,11.0,12.0,2020-11-29,LAR,,SFO,"L, 20-23",,3,4,0,1.3,2,2,15,7.5,0,100.0,7.5,0.0,0,0,0,0,0,0,1,1,0,0,0,0,25,40.3,0,0.0,0,0.0
11,12.0,66.0,12.0,13.0,2020-12-06,LAR,@,ARI,"W, 38-28",,3,-3,0,-1.0,1,1,30,30.0,0,100.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,15.9,0,0.0,1,3.3
12,13.0,67.0,13.0,14.0,2020-12-10,LAR,,NWE,"W, 24-3",,0,0,0,,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.5,0,0.0,2,8.3
13,14.0,68.0,14.0,15.0,2020-12-20,LAR,,NYJ,"L, 20-23",,1,4,0,4.0,1,1,6,6.0,0,100.0,6.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,16,27.1,0,0.0,10,34.5
14,15.0,69.0,15.0,16.0,2020-12-27,LAR,@,SEA,"L, 9-20",,7,27,0,3.9,3,1,8,8.0,0,33.3,2.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,58.7,0,0.0,0,0.0
15,16.0,70.0,16.0,17.0,2021-01-03,LAR,,ARI,"W, 18-7",,3,20,0,6.7,1,1,-2,-2.0,0,100.0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,31.5,0,0.0,0,0.0
16,,,,,,,,,10-6,,101,419,5,4.1,33,23,162,7.0,0,69.7,4.9,0.0,1,1,0,0,0,0,1,1,0,0,0,0,472,42.2,0,0.0,20,4.6
