,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,88.0,1.0,1.0,2024-09-05,BAL,@,KAN,"L, 20-27",*,2,2,14,7.0,0,100.0,7.0,0,0,0,,0,0,0,0,0,0,59,73.8,0,0.0,0,0.0
1,2.0,89.0,2.0,2.0,2024-09-15,BAL,,LVR,"L, 23-26",,5,4,51,12.8,0,80.0,10.2,0,0,0,,0,0,0,0,0,0,41,63.1,0,0.0,0,0.0
2,3.0,90.0,3.0,3.0,2024-09-22,BAL,@,DAL,"W, 28-25",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,21,33.3,0,0.0,2,7.1
3,4.0,91.0,4.0,4.0,2024-09-29,BAL,,BUF,"W, 35-10",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,26,45.6,0,0.0,0,0.0
4,5.0,92.0,5.0,5.0,2024-10-06,BAL,@,CIN,"W, 41-38 (OT)",,5,4,55,13.8,0,80.0,11.0,0,0,0,,0,0,0,0,0,0,43,55.1,0,0.0,0,0.0
5,6.0,93.0,6.0,6.0,2024-10-13,BAL,,WAS,"W, 30-23",*,4,3,66,22.0,1,75.0,16.5,0,0,0,,0,0,0,0,0,0,34,50.0,0,0.0,0,0.0
6,7.0,94.0,7.0,7.0,2024-10-21,BAL,@,TAM,"W, 41-31",*,4,4,41,10.3,2,100.0,10.3,0,0,0,,0,0,0,0,0,0,32,54.2,0,0.0,2,6.9
7,8.0,95.0,8.0,8.0,2024-10-27,BAL,@,CLE,"L, 24-29",,5,5,36,7.2,1,100.0,7.2,0,0,0,,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0
8,9.0,96.0,9.0,9.0,2024-11-03,BAL,,DEN,"W, 41-10",*,2,2,26,13.0,0,100.0,13.0,0,0,0,,0,0,0,0,0,0,28,49.1,0,0.0,0,0.0
9,10.0,97.0,10.0,10.0,2024-11-07,BAL,,CIN,"W, 35-34",*,7,6,68,11.3,1,85.7,9.7,0,0,0,,0,0,0,0,0,0,55,87.3,0,0.0,1,3.6
10,11.0,98.0,11.0,11.0,2024-11-17,BAL,@,PIT,"L, 16-18",*,3,2,22,11.0,0,66.7,7.3,0,0,0,,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0
11,12.0,99.0,12.0,12.0,2024-11-25,BAL,@,LAC,"W, 30-23",*,5,5,44,8.8,1,100.0,8.8,1,2,0,2.0,0,0,0,0,0,0,27,41.5,0,0.0,1,3.7
12,13.0,100.0,13.0,13.0,2024-12-01,BAL,,PHI,"L, 19-24",*,7,6,67,11.2,1,85.7,9.6,1,2,0,2.0,0,0,0,0,0,0,53,73.6,0,0.0,0,0.0
13,14.0,101.0,14.0,15.0,2024-12-15,BAL,@,NYG,"W, 35-14",*,2,2,24,12.0,1,100.0,12.0,0,0,0,,0,0,0,0,0,0,39,66.1,0,0.0,0,0.0
14,15.0,102.0,15.0,16.0,2024-12-21,BAL,,PIT,"W, 34-17",*,6,4,37,9.3,1,66.7,6.2,1,1,0,1.0,0,0,0,0,0,0,47,75.8,0,0.0,0,0.0
15,16.0,103.0,16.0,17.0,2024-12-25,BAL,@,HOU,"W, 31-2",*,2,2,68,34.0,1,100.0,34.0,0,0,0,,0,0,0,0,0,0,35,55.6,0,0.0,0,0.0
16,17.0,104.0,17.0,18.0,2025-01-04,BAL,,CLE,"W, 35-10",*,8,4,54,13.5,1,50.0,6.8,1,0,0,0.0,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0
17,,,,,,,,,12-5,,69,55,673,12.2,11,79.7,9.8,4,5,0,1.3,0,0,0,0,0,0,682,61.4,0,0.0,6,1.3
