,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2019-09-05,GNB,@,CHI,"W, 10-3",*,6,4,52,13.0,0,66.7,8.7,1,0,0,0.0,41,67.2,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2019-09-15,GNB,,MIN,"W, 21-16",*,5,3,19,6.3,0,60.0,3.8,0,0,0,,62,87.3,0,0.0,0,0.0
2,3.0,19.0,3.0,3.0,2019-09-22,GNB,,DEN,"W, 27-16",*,10,6,99,16.5,1,60.0,9.9,0,0,0,,47,87.0,0,0.0,0,0.0
3,4.0,20.0,4.0,4.0,2019-09-26,GNB,,PHI,"L, 27-34",*,7,3,47,15.7,0,42.9,6.7,0,0,0,,68,86.1,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2019-10-06,GNB,@,DAL,"W, 34-24",*,4,1,18,18.0,0,25.0,4.5,0,0,0,,68,94.4,0,0.0,0,0.0
5,6.0,22.0,6.0,6.0,2019-10-14,GNB,,DET,"W, 23-22",*,2,2,48,24.0,0,100.0,24.0,1,9,0,9.0,57,77.0,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2019-10-20,GNB,,OAK,"W, 42-24",,3,2,133,66.5,1,66.7,44.3,0,0,0,,20,34.5,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2019-10-27,GNB,@,KAN,"W, 31-24",*,2,1,4,4.0,0,50.0,2.0,0,0,0,,41,61.2,0,0.0,0,0.0
8,9.0,25.0,9.0,9.0,2019-11-03,GNB,@,LAC,"L, 11-26",*,2,0,0,,0,0.0,0.0,0,0,0,,33,66.0,0,0.0,0,0.0
9,10.0,26.0,10.0,10.0,2019-11-10,GNB,,CAR,"W, 24-16",,1,0,0,,0,0.0,0.0,0,0,0,,11,17.2,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2019-11-24,GNB,@,SFO,"L, 8-37",,3,1,7,7.0,0,33.3,2.3,0,0,0,,29,36.7,0,0.0,0,0.0
11,12.0,28.0,12.0,13.0,2019-12-01,GNB,@,NYG,"W, 31-13",,2,0,0,,0,0.0,0.0,0,0,0,,17,26.2,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2019-12-08,GNB,,WAS,"W, 20-15",,0,0,0,,0,,,0,0,0,,10,16.7,0,0.0,0,0.0
13,14.0,30.0,14.0,15.0,2019-12-15,GNB,,CHI,"W, 21-13",*,1,0,0,,0,0.0,0.0,0,0,0,,7,11.9,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2019-12-23,GNB,@,MIN,"W, 23-10",,1,1,6,6.0,0,100.0,6.0,0,0,0,,11,14.3,0,0.0,2,7.4
15,16.0,32.0,16.0,17.0,2019-12-29,GNB,@,DET,"W, 23-20",*,7,2,19,9.5,0,28.6,2.7,0,0,0,,20,22.7,0,0.0,0,0.0
16,,,,,,,,,13-3,,56,26,452,17.4,2,46.4,8.1,2,9,0,4.5,542,50.3,0,0.0,2,0.5
