,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,60.0,1.0,1.0,2022-09-11,KAN,@,ARI,"W, 44-21",*,4,4,44,11.0,0,100.0,11.0,1,-3,0,-3.0,0.0,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
1,2.0,61.0,2.0,2.0,2022-09-15,KAN,,LAC,"W, 27-24",*,7,2,13,6.5,0,28.6,1.9,0,0,0,,0.0,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
2,3.0,62.0,3.0,3.0,2022-09-25,KAN,@,IND,"L, 17-20",*,7,4,48,12.0,0,57.1,6.9,0,0,0,,0.0,0,0,0,0,0,0,49,77.8,0,0.0,0,0.0
3,4.0,63.0,4.0,4.0,2022-10-02,KAN,@,TAM,"W, 41-31",,5,3,63,21.0,0,60.0,12.6,0,0,0,,0.0,0,0,0,0,0,0,55,68.8,0,0.0,0,0.0
4,5.0,64.0,5.0,5.0,2022-10-10,KAN,,LVR,"W, 30-29",*,8,6,90,15.0,0,75.0,11.3,0,0,0,,0.0,0,0,0,0,0,0,58,80.6,0,0.0,0,0.0
5,6.0,65.0,6.0,6.0,2022-10-16,KAN,,BUF,"L, 20-24",*,3,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,55,82.1,0,0.0,0,0.0
6,7.0,66.0,7.0,7.0,2022-10-23,KAN,@,SFO,"W, 44-23",,4,3,111,37.0,0,75.0,27.8,0,0,0,,0.0,1,1,0,0,0,0,35,54.7,0,0.0,0,0.0
7,8.0,67.0,8.0,9.0,2022-11-06,KAN,,TEN,"W, 20-17 (OT)",,1,1,12,12.0,0,100.0,12.0,0,0,0,,0.0,0,0,0,0,0,0,71,71.0,0,0.0,0,0.0
8,9.0,68.0,9.0,10.0,2022-11-13,KAN,,JAX,"W, 27-17",*,4,3,60,20.0,1,75.0,15.0,0,0,0,,0.0,1,1,0,0,0,0,53,84.1,0,0.0,0,0.0
9,10.0,69.0,10.0,11.0,2022-11-20,KAN,@,LAC,"W, 30-27",,4,1,18,18.0,0,25.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0
10,11.0,70.0,11.0,12.0,2022-11-27,KAN,,LAR,"W, 26-10",,5,4,56,14.0,0,80.0,11.2,0,0,0,,0.0,0,0,0,0,0,0,44,57.9,0,0.0,0,0.0
11,12.0,71.0,12.0,13.0,2022-12-04,KAN,@,CIN,"L, 24-27",*,6,2,71,35.5,0,33.3,11.8,0,0,0,,0.0,0,0,0,0,0,0,31,56.4,0,0.0,0,0.0
12,13.0,72.0,13.0,14.0,2022-12-11,KAN,@,DEN,"W, 34-28",*,3,1,20,20.0,0,33.3,6.7,0,0,0,,0.0,0,0,0,0,0,0,35,51.5,0,0.0,0,0.0
13,14.0,73.0,14.0,15.0,2022-12-18,KAN,@,HOU,"W, 30-24 (OT)",*,5,3,26,8.7,1,60.0,5.2,0,0,0,,0.0,0,0,0,0,0,0,41,53.2,0,0.0,0,0.0
14,15.0,74.0,15.0,16.0,2022-12-24,KAN,,SEA,"W, 24-10",,2,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,23,43.4,0,0.0,0,0.0
15,16.0,75.0,16.0,17.0,2023-01-01,KAN,,DEN,"W, 27-24",*,7,2,28,14.0,0,28.6,4.0,0,0,0,,0.0,0,0,0,0,0,0,50,83.3,0,0.0,0,0.0
16,17.0,76.0,17.0,18.0,2023-01-07,KAN,@,LVR,"W, 31-13",*,6,3,27,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,35,59.3,0,0.0,0,0.0
17,,,,,,,,,14-3,,81,42,687,16.4,2,51.9,8.5,1,-3,0,-3.0,0.0,2,2,0,0,0,0,777,67.6,0,0.0,0,0.0
