,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,93.0,1.0,1,2024-09-08,BUF,,ARI,"W, 34-28",,2,1,19,19.0,0,50.0,9.5,0,0,0,,0,0,0,0,0,0,13,21.0,0,0.0,0,0.0
1,2.0,94.0,2.0,2,2024-09-12,BUF,@,MIA,"W, 31-10",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,4,8.9,0,0.0,0,0.0
2,3.0,95.0,3.0,3,2024-09-23,BUF,,JAX,"W, 47-10",,2,1,7,7.0,0,50.0,3.5,0,0,0,,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
3,4.0,96.0,4.0,4,2024-09-29,BUF,@,BAL,"L, 10-35",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,25,42.4,0,0.0,0,0.0
4,5.0,97.0,5.0,5,2024-10-06,BUF,@,HOU,"L, 20-23",,3,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,28,45.9,0,0.0,0,0.0
5,6.0,98.0,6.0,6,2024-10-14,BUF,@,NYJ,"W, 23-20",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,22,31.9,0,0.0,0,0.0
6,,,,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints,Player went from Buffalo Bills to New Orleans Saints
7,6.0,,8.0,8,2024-10-27,NOR,@,LAC,"L, 8-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,99.0,9.0,9,2024-11-03,NOR,@,CAR,"L, 22-23",*,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,0,0,0,32,40.5,0,0.0,0,0.0
9,8.0,100.0,10.0,10,2024-11-10,NOR,,ATL,"W, 20-17",*,3,3,109,36.3,2,100.0,36.3,0,0,0,,0,0,0,0,0,0,29,54.7,0,0.0,0,0.0
10,9.0,101.0,11.0,11,2024-11-17,NOR,,CLE,"W, 35-14",*,4,2,87,43.5,1,50.0,21.8,0,0,0,,0,0,0,0,0,0,39,65.0,0,0.0,0,0.0
11,10.0,102.0,12.0,13,2024-12-01,NOR,,LAR,"L, 14-21",*,3,2,36,18.0,1,66.7,12.0,0,0,0,,0,0,0,0,0,0,53,75.7,0,0.0,0,0.0
12,11.0,103.0,13.0,14,2024-12-08,NOR,@,NYG,"W, 14-11",*,7,4,51,12.8,0,57.1,7.3,0,0,0,,0,0,0,1,1,0,48,70.6,0,0.0,0,0.0
13,12.0,104.0,14.0,15,2024-12-15,NOR,,WAS,"L, 19-20",*,7,2,64,32.0,0,28.6,9.1,1,4,0,4.0,0,0,0,0,0,0,43,78.2,0,0.0,0,0.0
14,12.0,,15.0,16,2024-12-23,NOR,@,GNB,"L, 0-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13.0,105.0,16.0,17,2024-12-29,NOR,,LVR,"L, 10-25",*,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,47,78.3,0,0.0,0,0.0
16,14.0,106.0,17.0,18,2025-01-05,NOR,@,TAM,"L, 19-27",*,8,3,33,11.0,0,37.5,4.1,0,0,0,,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0
17,,,,,,,,,7-7,,44,19,411,21.6,4,43.2,9.3,1,4,0,4.0,0,0,0,1,1,0,478,54.9,0,0.0,0,0.0
