,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,ARI,@,BUF,"L, 28-34",*,3,1,4,4.0,0,33.3,1.3,0,0,0,0,0,0,55,90.2,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2024-09-15,ARI,,LAR,"W, 41-10",*,8,4,130,32.5,2,50.0,16.3,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2024-09-22,ARI,,DET,"L, 13-20",*,11,5,64,12.8,1,45.5,5.8,0,0,0,0,0,0,52,88.1,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2024-09-29,ARI,,WAS,"L, 14-42",*,6,5,45,9.0,1,83.3,7.5,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2024-10-06,ARI,@,SFO,"W, 24-23",*,7,2,36,18.0,0,28.6,5.1,0,0,0,0,0,0,44,75.9,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2024-10-13,ARI,@,GNB,"L, 13-34",*,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,8,13.8,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2024-10-21,ARI,,LAC,"W, 17-15",*,6,3,21,7.0,0,50.0,3.5,0,0,0,0,0,0,48,84.2,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2024-10-27,ARI,@,MIA,"W, 28-27",*,7,6,111,18.5,1,85.7,15.9,0,0,0,0,0,0,60,90.9,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2024-11-03,ARI,,CHI,"W, 29-9",*,5,2,34,17.0,0,40.0,6.8,1,1,0,0,0,0,43,74.1,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2024-11-10,ARI,,NYJ,"W, 31-6",*,5,5,54,10.8,1,100.0,10.8,0,0,0,0,0,0,43,72.9,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2024-11-24,ARI,@,SEA,"L, 6-16",*,6,3,47,15.7,0,50.0,7.8,0,0,0,0,0,0,55,94.8,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2024-12-01,ARI,@,MIN,"L, 22-23",*,12,5,60,12.0,1,41.7,5.0,0,0,0,0,0,0,72,87.8,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2024-12-08,ARI,,SEA,"L, 18-30",*,8,4,49,12.3,0,50.0,6.1,0,0,0,0,0,0,60,84.5,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2024-12-15,ARI,,NWE,"W, 30-17",*,6,2,32,16.0,0,33.3,5.3,0,0,0,0,0,0,54,77.1,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2024-12-22,ARI,@,CAR,"L, 30-36 (OT)",*,8,4,39,9.8,0,50.0,4.9,0,0,0,0,0,0,57,81.4,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2024-12-28,ARI,@,LAR,"L, 9-13",,10,6,96,16.0,0,60.0,9.6,0,0,0,0,0,0,66,83.5,0,0.0,0,0.0
16,17.0,17.0,17.0,18.0,2025-01-05,ARI,,SFO,"W, 47-24",*,6,5,63,12.6,1,83.3,10.5,0,0,0,0,0,0,48,73.8,0,0.0,0,0.0
17,,,,,,,,,8-9,,116,62,885,14.3,8,53.4,7.6,1,1,0,0,0,0,865,78.9,0,0.0,0,0.0
