,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2012-09-10,CIN,@,BAL,"L, 13-44",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,10,14.3,0,0.0,3,10.0
1,2.0,2.0,2.0,2.0,2012-09-16,CIN,,CLE,"W, 34-27",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,12,18.2,0,0.0,5,16.1
2,2.0,,3.0,3.0,2012-09-23,CIN,@,WAS,"W, 38-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,3.0,4.0,4.0,2012-09-30,CIN,@,JAX,"W, 27-10",,2,1,5,5.0,0,50.0,2.5,0,0,0,,0.0,0,0,0,0,,0,11,16.9,0,0.0,11,40.7
4,3.0,,5.0,5.0,2012-10-07,CIN,,MIA,"L, 13-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,4.0,6.0,6.0,2012-10-14,CIN,@,CLE,"L, 24-34",,2,2,21,10.5,0,100.0,10.5,0,0,0,,0.0,1,1,0,0,0,0,16,22.2,0,0.0,11,29.7
6,5.0,5.0,7.0,7.0,2012-10-21,CIN,,PIT,"L, 17-24",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0.0,0,0.0,2,7.7
7,5.0,,8.0,9.0,2012-11-04,CIN,,DEN,"L, 23-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,5.0,,9.0,10.0,2012-11-11,CIN,,NYG,"W, 31-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,5.0,,10.0,11.0,2012-11-18,CIN,@,KAN,"W, 28-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,6.0,6.0,11.0,12.0,2012-11-25,CIN,,OAK,"W, 34-10",,2,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,,0,9,13.2,0,0.0,0,0.0
11,7.0,7.0,12.0,13.0,2012-12-02,CIN,@,SDG,"W, 20-13",*,3,2,20,10.0,0,66.7,6.7,0,0,0,,0.0,0,0,0,0,0,0,67,88.2,0,0.0,0,0.0
12,8.0,8.0,13.0,14.0,2012-12-09,CIN,,DAL,"L, 19-20",*,4,3,45,15.0,0,75.0,11.3,1,37,0,37.0,0.0,0,0,0,0,,0,57,91.9,0,0.0,0,0.0
13,9.0,9.0,14.0,15.0,2012-12-13,CIN,@,PHI,"W, 34-13",*,4,0,0,,0,0.0,0.0,1,10,0,10.0,0.0,0,0,0,0,,0,65,83.3,0,0.0,0,0.0
14,10.0,10.0,15.0,16.0,2012-12-23,CIN,@,PIT,"W, 13-10",*,7,5,65,13.0,0,71.4,9.3,1,0,0,0.0,0.0,0,0,0,0,,0,60,92.3,0,0.0,0,0.0
15,11.0,11.0,16.0,17.0,2012-12-30,CIN,,BAL,"W, 23-17",*,8,5,45,9.0,1,62.5,5.6,0,0,0,,0.0,0,0,0,0,,0,48,94.1,0,0.0,0,0.0
16,,,,,,,,,7-4,,32,18,201,11.2,1,56.3,6.3,3,47,0,15.7,0.0,1,1,0,0,0,0,355,49.1,0,0.0,32,9.8
