,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2019-09-08,PIT,@,NWE,"L, 3-33",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1.0,1.0,2.0,2.0,2019-09-15,PIT,,SEA,"L, 26-28",,12,19,63.2,112,2,1,5.9,5.63,92.4,0,0,1,7,0,7.0,0,0,0,0,0,0,28,50.0,0,0.0,0,0.0
2,2.0,2.0,3.0,3.0,2019-09-22,PIT,@,SFO,"L, 20-24",*,14,27,51.9,174,2,1,6.4,6.26,81.4,2,14,4,15,0,3.8,1,0,0,0,0,0,53,100.0,0,0.0,0,0.0
3,3.0,3.0,4.0,4.0,2019-09-30,PIT,,CIN,"W, 27-3",*,24,28,85.7,229,2,0,8.2,9.61,124.6,0,0,3,-3,0,-1.0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
4,4.0,4.0,5.0,5.0,2019-10-06,PIT,,BAL,"L, 23-26 (OT)",*,13,20,65.0,131,1,0,6.6,7.55,100.2,1,11,0,0,0,,0,0,0,0,0,0,31,53.4,0,0.0,0,0.0
5,4.0,,6.0,6.0,2019-10-13,PIT,@,LAC,"W, 24-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,5.0,7.0,8.0,2019-10-28,PIT,,MIA,"W, 27-14",*,20,36,55.6,251,2,1,7.0,6.83,84.4,2,15,0,0,0,,1,0,0,0,0,0,74,96.1,0,0.0,0,0.0
7,6.0,6.0,8.0,9.0,2019-11-03,PIT,,IND,"W, 26-24",*,26,35,74.3,191,1,1,5.5,4.74,84.3,1,8,3,5,0,1.7,1,0,0,0,0,0,62,100.0,0,0.0,0,0.0
8,7.0,7.0,9.0,10.0,2019-11-10,PIT,,LAR,"W, 17-12",*,22,38,57.9,242,1,0,6.4,6.89,85.6,3,11,2,-1,0,-0.5,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
9,8.0,8.0,10.0,11.0,2019-11-14,PIT,@,CLE,"L, 7-21",*,23,44,52.3,221,1,4,5.0,1.39,36.3,4,43,2,15,0,7.5,1,0,0,0,0,0,72,100.0,0,0.0,0,0.0
10,9.0,9.0,11.0,12.0,2019-11-24,PIT,@,CIN,"W, 16-10",*,8,16,50.0,85,0,1,5.3,2.50,39.8,1,13,4,4,0,1.0,0,0,0,0,0,0,39,54.2,0,0.0,0,0.0
11,9.0,,12.0,13.0,2019-12-01,PIT,,CLE,"W, 20-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9.0,,13.0,14.0,2019-12-08,PIT,@,ARI,"W, 23-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,9.0,,14.0,15.0,2019-12-15,PIT,,BUF,"L, 10-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,10.0,10.0,15.0,16.0,2019-12-22,PIT,@,NYJ,"L, 10-16",,14,20,70.0,129,1,0,6.5,7.45,104.0,1,9,2,0,0,0.0,0,0,0,0,0,0,33,49.3,0,0.0,0,0.0
15,10.0,,16.0,17.0,2019-12-29,PIT,@,BAL,"L, 10-28",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,5-5,,176,283,62.2,1765,13,9,6.2,5.72,82.0,15,124,21,42,0,2.0,4,0,0,0,0,0,523,80.7,0,0.0,0,0.0
