,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,110.0,1.0,1.0,2017-09-10,DET,,ARI,"W, 35-23",*,29,41,70.7,292,4,1,7.1,7.98,113.1,1,7,2,14,0,7.0,1,0,0,1,0,0,71,100.0,0,0.0,0,0.0
1,2.0,111.0,2.0,2.0,2017-09-18,DET,@,NYG,"W, 24-10",*,15,21,71.4,122,2,0,5.8,7.71,117.6,3,3,3,23,0,7.7,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
2,3.0,112.0,3.0,3.0,2017-09-24,DET,,ATL,"L, 26-30",*,25,45,55.6,264,1,0,5.9,6.31,80.2,2,11,2,19,0,9.5,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
3,4.0,113.0,4.0,4.0,2017-10-01,DET,@,MIN,"W, 14-7",*,19,31,61.3,209,0,0,6.7,6.74,81.2,6,55,3,-3,0,-1.0,1,0,0,0,0,0,70,100.0,0,0.0,0,0.0
4,5.0,114.0,5.0,5.0,2017-10-08,DET,,CAR,"L, 24-27",*,23,35,65.7,229,2,0,6.5,7.69,103.2,6,37,0,0,0,,2,1,0,0,0,0,61,100.0,0,0.0,0,0.0
5,6.0,115.0,6.0,6.0,2017-10-15,DET,@,NOR,"L, 38-52",*,25,52,48.1,312,3,3,6.0,4.56,62.3,5,31,2,4,0,2.0,2,2,0,0,0,0,81,100.0,0,0.0,0,0.0
6,7.0,116.0,7.0,8.0,2017-10-29,DET,,PIT,"L, 15-20",*,27,45,60.0,423,0,0,9.4,9.4,91.2,2,12,1,11,0,11.0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
7,8.0,117.0,8.0,9.0,2017-11-06,DET,@,GNB,"W, 30-17",*,26,33,78.8,361,2,0,10.9,12.15,132.4,1,8,1,0,0,0.0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
8,9.0,118.0,9.0,10.0,2017-11-12,DET,,CLE,"W, 38-24",*,17,26,65.4,249,3,1,9.6,10.15,118.9,4,8,4,17,0,4.3,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
9,10.0,119.0,10.0,11.0,2017-11-19,DET,@,CHI,"W, 27-24",*,21,31,67.7,299,2,0,9.6,10.94,120.2,3,12,3,3,0,1.0,1,1,0,0,0,0,63,100.0,0,0.0,0,0.0
10,11.0,120.0,11.0,12.0,2017-11-23,DET,,MIN,"L, 23-30",*,20,35,57.1,250,2,1,7.1,7.0,86.6,3,14,1,0,0,0.0,2,1,0,1,-3,0,59,100.0,0,0.0,0,0.0
11,12.0,121.0,12.0,13.0,2017-12-03,DET,@,BAL,"L, 20-44",*,24,29,82.8,292,1,1,10.1,9.21,105.7,3,22,3,2,0,0.7,2,1,0,1,-10,0,54,85.7,0,0.0,0,0.0
12,13.0,122.0,13.0,14.0,2017-12-10,DET,@,TAM,"W, 24-21",*,36,44,81.8,381,1,2,8.7,7.07,91.4,0,0,0,0,0,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
13,14.0,123.0,14.0,15.0,2017-12-16,DET,,CHI,"W, 20-10",*,25,33,75.8,237,2,0,7.2,8.39,115.3,4,35,1,-1,0,-1.0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
14,15.0,124.0,15.0,16.0,2017-12-24,DET,@,CIN,"L, 17-26",*,19,35,54.3,203,1,1,5.8,5.09,69.1,2,14,1,7,0,7.0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
15,16.0,125.0,16.0,17.0,2017-12-31,DET,,GNB,"W, 35-11",*,20,29,69.0,323,3,0,11.1,13.21,140.4,2,18,2,2,0,1.0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
16,,,,,,,,,9-7,,371,565,65.7,4446,29,10,7.9,8.1,99.3,47,287,29,98,0,3.4,12,7,0,3,-13,0,1032,99.1,0,0.0,0,0.0
