,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,150.0,1.0,1.0,2020-09-13,DET,,CHI,"L, 23-27",*,24,42,57.1,297,1,1,7.1,6.48,77.2,1,9,5,23,0,4.6,0,0,0,0,,,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
1,2.0,151.0,2.0,2.0,2020-09-20,DET,@,GNB,"L, 21-42",*,20,33,60.6,244,2,1,7.4,7.24,91.0,4,26,1,4,0,4.0,0,0,0,0,,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
2,3.0,152.0,3.0,3.0,2020-09-27,DET,@,ARI,"W, 26-23",*,22,31,71.0,270,2,0,8.7,10.0,119.0,4,38,1,-3,0,-3.0,0,0,0,0,,,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
3,4.0,153.0,4.0,4.0,2020-10-04,DET,,NOR,"L, 29-35",*,17,31,54.8,206,3,1,6.6,7.13,94.3,3,15,3,21,0,7.0,0,0,0,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
4,5.0,154.0,5.0,6.0,2020-10-18,DET,@,JAX,"W, 34-16",*,19,31,61.3,223,1,1,7.2,6.39,80.4,0,0,5,14,0,2.8,0,0,0,0,,,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
5,6.0,155.0,6.0,7.0,2020-10-25,DET,@,ATL,"W, 23-22",*,25,36,69.4,340,1,0,9.4,10.0,108.6,2,18,1,8,0,8.0,0,0,0,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
6,7.0,156.0,7.0,8.0,2020-11-01,DET,,IND,"L, 21-41",*,24,42,57.1,336,3,1,8.0,8.36,96.9,5,39,1,10,0,10.0,0,0,0,0,,,1,1,0,0,0,0,61,100.0,0,0.0,0,0.0
7,8.0,157.0,8.0,9.0,2020-11-08,DET,@,MIN,"L, 20-34",*,23,32,71.9,211,1,2,6.6,4.41,73.8,2,13,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,60,80.0,0,0.0,0,0.0
8,9.0,158.0,9.0,10.0,2020-11-15,DET,,WAS,"W, 30-27",*,24,33,72.7,276,3,0,8.4,10.18,127.8,1,9,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
9,10.0,159.0,10.0,11.0,2020-11-22,DET,@,CAR,"L, 0-20",*,18,33,54.5,178,0,0,5.4,5.39,70.0,5,33,4,5,0,1.3,0,0,0,0,,,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
10,11.0,160.0,11.0,12.0,2020-11-26,DET,,HOU,"L, 25-41",*,28,42,66.7,295,1,1,7.0,6.43,84.9,4,16,1,3,0,3.0,1,0,0,0,0.0,0.0,1,0,0,0,0,0,82,100.0,0,0.0,0,0.0
11,12.0,161.0,12.0,13.0,2020-12-06,DET,@,CHI,"W, 34-30",*,27,42,64.3,402,3,1,9.6,9.93,109.4,2,2,2,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
12,13.0,162.0,13.0,14.0,2020-12-13,DET,,GNB,"L, 24-31",*,24,34,70.6,244,1,0,7.2,7.76,100.6,4,31,1,6,0,6.0,0,0,0,0,,,0,0,0,0,0,0,60,89.6,0,0.0,0,0.0
13,14.0,163.0,14.0,15.0,2020-12-20,DET,@,TEN,"L, 25-46",*,22,32,68.8,252,1,0,7.9,8.5,102.6,0,0,2,12,0,6.0,0,0,0,0,,,0,0,0,1,-1,0,56,86.2,0,0.0,0,0.0
14,15.0,164.0,15.0,16.0,2020-12-26,DET,,TAM,"L, 7-47",*,2,3,66.7,17,0,0,5.7,5.67,81.2,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,4,7.5,0,0.0,0,0.0
15,16.0,165.0,16.0,17.0,2021-01-03,DET,,MIN,"L, 35-37",*,20,31,64.5,293,3,1,9.5,9.94,114.0,1,5,2,9,0,4.5,0,0,0,0,,,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
16,,,,,,,,,5-11,,339,528,64.2,4084,26,10,7.7,7.87,96.3,38,254,29,112,0,3.9,1,0,0,0,0.0,0.0,2,1,0,1,-1,0,966,92.4,0,0.0,0,0.0
