,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",*,1.0,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40,57.1,0,0.0
1,2.0,35.0,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",*,2.0,4,4,0,3,4,0,0,0,0,1,0,0,1,1,0,0,0,0.0,41,87.2,0,0.0
2,3.0,36.0,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",*,1.0,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,90.2,0,0.0
3,4.0,37.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",*,0.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,80.0,0,0.0
4,5.0,38.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",*,0.0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59,83.1,0,0.0
5,6.0,39.0,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",*,1.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,93.2,0,0.0
6,7.0,40.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",*,1.0,2,2,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0.0,48,77.4,0,0.0
7,8.0,41.0,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",*,1.5,9,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51,82.3,1,4.2
8,9.0,42.0,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39,68.4,0,0.0
9,10.0,43.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",*,2.5,6,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,72.9,0,0.0
10,11.0,44.0,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",*,1.5,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,82.1,0,0.0
11,12.0,45.0,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",*,0.0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,91.3,0,0.0
12,13.0,46.0,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",*,1.0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,76.4,0,0.0
13,14.0,47.0,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,72.1,0,0.0
14,15.0,48.0,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",*,0.5,7,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59,90.8,0,0.0
15,16.0,49.0,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",*,0.0,6,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67,97.1,0,0.0
16,17.0,50.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",*,1.0,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32,65.3,0,0.0
17,,,,,,,,,12-5,,14.0,64,36,28,18,33,0,0,0,0,2,0,0,1,1,0,0,0,0.0,864,80.7,1,0.2
