,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,DAL,@,CAR,"L, 8-16",,1,1,9,9.0,0,100.0,9.0,29,45.3,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2018-09-16,DAL,,NYG,"W, 20-13",,2,1,5,5.0,0,50.0,2.5,25,47.2,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2018-09-23,DAL,@,SEA,"L, 13-24",,4,1,17,17.0,0,25.0,4.3,25,42.4,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2018-09-30,DAL,,DET,"W, 26-24",,5,2,45,22.5,0,40.0,9.0,40,58.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2018-10-07,DAL,@,HOU,"L, 16-19 (OT)",,3,1,6,6.0,0,33.3,2.0,24,38.7,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2018-10-14,DAL,,JAX,"W, 40-7",*,2,1,27,27.0,0,50.0,13.5,59,80.8,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2018-10-21,DAL,@,WAS,"L, 17-20",*,5,3,81,27.0,1,60.0,16.2,56,84.8,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2018-11-05,DAL,,TEN,"L, 14-28",*,6,3,51,17.0,0,50.0,8.5,47,79.7,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2018-11-11,DAL,@,PHI,"W, 27-20",*,3,2,34,17.0,0,66.7,11.3,58,84.1,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-18,DAL,@,ATL,"W, 22-19",*,5,1,10,10.0,0,20.0,2.0,52,81.3,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-22,DAL,,WAS,"W, 31-23",,6,2,19,9.5,0,33.3,3.2,36,51.4,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-11-29,DAL,,NOR,"W, 13-10",*,7,5,76,15.2,0,71.4,10.9,52,73.2,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-09,DAL,,PHI,"W, 29-23 (OT)",*,9,4,24,6.0,0,44.4,2.7,77,77.8,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2018-12-16,DAL,@,IND,"L, 0-23",*,0,0,0,,0,,,55,79.7,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2018-12-23,DAL,,TAM,"W, 27-20",,4,3,53,17.7,1,75.0,13.3,41,78.8,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2018-12-30,DAL,@,NYG,"W, 36-35",,6,3,50,16.7,0,50.0,8.3,63,81.8,0,0.0,0,0.0
16,,,,,,,,,10-6,,68,33,507,15.4,2,48.5,7.5,739,68.7,0,0.0,0,0.0
