,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,DAL,,TAM,"L, 3-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2022-09-18,DAL,,CIN,"W, 20-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2022-09-26,DAL,@,NYG,"W, 23-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,56.0,4.0,4.0,2022-10-02,DAL,,WAS,"W, 25-10",*,3,2,24,12.0,1,66.7,8.0,0.0,0,0,0,0,0,0,39,63.9,0,0.0,0,0.0
4,2.0,57.0,5.0,5.0,2022-10-09,DAL,@,LAR,"W, 22-10",,5,4,44,11.0,0,80.0,8.8,0.0,0,0,0,0,0,0,30,54.5,0,0.0,0,0.0
5,3.0,58.0,6.0,6.0,2022-10-16,DAL,@,PHI,"L, 17-26",*,7,2,18,9.0,0,28.6,2.6,0.0,1,1,0,0,0,0,51,76.1,0,0.0,0,0.0
6,4.0,59.0,7.0,7.0,2022-10-23,DAL,,DET,"W, 24-6",,2,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,42,66.7,0,0.0,0,0.0
7,5.0,60.0,8.0,8.0,2022-10-30,DAL,,CHI,"W, 49-29",*,6,4,49,12.3,0,66.7,8.2,0.0,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0
8,6.0,61.0,9.0,10.0,2022-11-13,DAL,@,GNB,"L, 28-31 (OT)",*,7,4,35,8.8,0,57.1,5.0,0.0,0,0,0,0,0,0,69,83.1,0,0.0,0,0.0
9,7.0,62.0,10.0,11.0,2022-11-20,DAL,@,MIN,"W, 40-3",*,4,3,41,13.7,0,75.0,10.3,0.0,0,0,0,0,0,0,45,62.5,0,0.0,0,0.0
10,8.0,63.0,11.0,12.0,2022-11-24,DAL,,NYG,"W, 28-20",*,8,5,63,12.6,0,62.5,7.9,0.0,0,0,0,0,0,0,57,76.0,0,0.0,0,0.0
11,9.0,64.0,12.0,13.0,2022-12-04,DAL,,IND,"W, 54-19",,7,4,23,5.8,2,57.1,3.3,0.0,0,0,0,0,0,0,45,66.2,0,0.0,0,0.0
12,10.0,65.0,13.0,14.0,2022-12-11,DAL,,HOU,"W, 27-23",*,6,2,40,20.0,0,33.3,6.7,0.0,0,0,0,0,0,0,54,76.1,0,0.0,0,0.0
13,11.0,66.0,14.0,15.0,2022-12-18,DAL,@,JAX,"L, 34-40 (OT)",*,2,1,2,2.0,0,50.0,1.0,0.0,0,0,0,0,0,0,68,90.7,0,0.0,0,0.0
14,12.0,67.0,15.0,16.0,2022-12-24,DAL,,PHI,"W, 40-34",*,7,4,36,9.0,1,57.1,5.1,0.0,0,0,0,0,0,0,61,83.6,0,0.0,0,0.0
15,13.0,68.0,16.0,17.0,2022-12-29,DAL,@,TEN,"W, 27-13",*,4,3,39,13.0,0,75.0,9.8,0.0,0,0,0,0,0,0,68,85.0,0,0.0,0,0.0
16,14.0,69.0,17.0,18.0,2023-01-08,DAL,@,WAS,"L, 6-26",*,6,1,10,10.0,0,16.7,1.7,0.0,0,0,0,0,0,0,60,89.6,0,0.0,0,0.0
17,,,,,,,,,10-4,,74,39,424,10.9,4,52.7,5.7,0.0,1,1,0,0,0,0,738,76.2,0,0.0,0,0.0
