,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,31.0,1.0,1.0,2022-09-11,IND,@,HOU,"T, 20-20 (OT)",*,13,9,121,13.4,1,69.2,9.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,90,97.8,0,0.0,0,0.0
1,1.0,,2.0,2.0,2022-09-18,IND,@,JAX,"L, 0-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2.0,32.0,3.0,3.0,2022-09-25,IND,,KAN,"W, 20-17",*,9,8,72,9.0,0,88.9,8.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,94.4,0,0.0,0,0.0
3,3.0,33.0,4.0,4.0,2022-10-02,IND,,TEN,"L, 17-24",*,6,3,31,10.3,0,50.0,5.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,89.4,0,0.0,0,0.0
4,4.0,34.0,5.0,5.0,2022-10-06,IND,@,DEN,"W, 12-9 (OT)",*,8,5,59,11.8,0,62.5,7.4,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,78,98.7,0,0.0,0,0.0
5,5.0,35.0,6.0,6.0,2022-10-16,IND,,JAX,"W, 34-27",*,16,13,134,10.3,0,81.3,8.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,80,98.8,0,0.0,0,0.0
6,6.0,36.0,7.0,7.0,2022-10-23,IND,@,TEN,"L, 10-19",*,9,6,58,9.7,0,66.7,6.4,0,0,0,,0.0,1,1,0,0,0,0,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
7,7.0,37.0,8.0,8.0,2022-10-30,IND,,WAS,"L, 16-17",*,9,7,53,7.6,0,77.8,5.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,94.8,0,0.0,1,3.8
8,8.0,38.0,9.0,9.0,2022-11-06,IND,@,NWE,"L, 3-26",*,6,3,22,7.3,0,50.0,3.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,90.3,0,0.0,0,0.0
9,9.0,39.0,10.0,10.0,2022-11-13,IND,@,LVR,"W, 25-20",*,9,7,53,7.6,0,77.8,5.9,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,63,96.9,0,0.0,0,0.0
10,10.0,40.0,11.0,11.0,2022-11-20,IND,,PHI,"L, 16-17",*,7,6,75,12.5,0,85.7,10.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,98.5,0,0.0,0,0.0
11,11.0,41.0,12.0,12.0,2022-11-28,IND,,PIT,"L, 17-24",*,11,7,61,8.7,1,63.6,5.5,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
12,12.0,42.0,13.0,13.0,2022-12-04,IND,@,DAL,"L, 19-54",*,4,2,16,8.0,0,50.0,4.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,93.1,0,0.0,0,0.0
13,13.0,43.0,14.0,15.0,2022-12-17,IND,@,MIN,"L, 36-39 (OT)",*,14,10,60,6.0,0,71.4,4.3,2,30,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,77,97.5,0,0.0,0,0.0
14,14.0,44.0,15.0,16.0,2022-12-26,IND,,LAC,"L, 3-20",*,7,4,39,9.8,0,57.1,5.6,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
15,15.0,45.0,16.0,17.0,2023-01-01,IND,@,NYG,"L, 10-38",*,8,6,41,6.8,1,75.0,5.1,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,98.3,0,0.0,0,0.0
16,16.0,46.0,17.0,18.0,2023-01-08,IND,,HOU,"L, 31-32",*,5,3,30,10.0,1,60.0,6.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,5,0,72,98.6,0,0.0,0,0.0
17,,,,,,,,,4-11-1,,141,99,925,9.3,4,70.2,6.6,3,30,0,10.0,0.0,4,4,0,0,0,0,2,1,0,2,5,0,1065,96.7,0,0.0,1,0.2
