,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,62.0,1.0,1.0,2018-09-09,TAM,@,NOR,"W, 48-40",*,7,7,147,21.0,1,100.0,21.0,0,0,0,0,0,0,50,75.8,0,0.0,0,0.0
1,2.0,63.0,2.0,2.0,2018-09-16,TAM,,PHI,"W, 27-21",*,12,10,83,8.3,1,83.3,6.9,1,1,0,0,0,0,47,81.0,1,1.3,0,0.0
2,3.0,64.0,3.0,3.0,2018-09-24,TAM,,PIT,"L, 27-30",*,11,6,137,22.8,1,54.5,12.5,0,0,0,0,0,0,58,79.5,0,0.0,0,0.0
3,4.0,65.0,4.0,4.0,2018-09-30,TAM,@,CHI,"L, 10-48",*,9,6,59,9.8,0,66.7,6.6,0,0,0,0,0,0,57,90.5,0,0.0,0,0.0
4,5.0,66.0,5.0,6.0,2018-10-14,TAM,@,ATL,"L, 29-34",*,5,4,58,14.5,0,80.0,11.6,1,0,0,1,-3,0,57,86.4,0,0.0,0,0.0
5,6.0,67.0,6.0,7.0,2018-10-21,TAM,,CLE,"W, 26-23 (OT)",*,11,7,107,15.3,0,63.6,9.7,0,0,0,0,0,0,82,86.3,0,0.0,0,0.0
6,7.0,68.0,7.0,8.0,2018-10-28,TAM,@,CIN,"L, 34-37",*,13,6,179,29.8,1,46.2,13.8,0,0,0,0,0,0,70,79.5,0,0.0,0,0.0
7,8.0,69.0,8.0,9.0,2018-11-04,TAM,@,CAR,"L, 28-42",*,10,1,16,16.0,0,10.0,1.6,0,0,0,0,0,0,60,89.6,0,0.0,0,0.0
8,9.0,70.0,9.0,10.0,2018-11-11,TAM,,WAS,"L, 3-16",*,6,3,51,17.0,0,50.0,8.5,0,0,0,0,0,0,55,79.7,0,0.0,0,0.0
9,10.0,71.0,10.0,11.0,2018-11-18,TAM,@,NYG,"L, 35-38",*,7,6,120,20.0,1,85.7,17.1,0,0,0,1,0,1,65,91.5,0,0.0,0,0.0
10,11.0,72.0,11.0,12.0,2018-11-25,TAM,,SFO,"W, 27-9",*,8,6,116,19.3,0,75.0,14.5,0,0,0,0,0,0,58,79.5,0,0.0,0,0.0
11,12.0,73.0,12.0,13.0,2018-12-02,TAM,,CAR,"W, 24-17",*,6,4,48,12.0,0,66.7,8.0,0,0,0,0,0,0,57,87.7,2,2.9,0,0.0
12,13.0,74.0,13.0,14.0,2018-12-09,TAM,,NOR,"L, 14-28",*,6,4,86,21.5,0,66.7,14.3,0,0,0,0,0,0,61,87.1,0,0.0,0,0.0
13,14.0,75.0,14.0,15.0,2018-12-16,TAM,@,BAL,"L, 12-20",*,9,4,121,30.3,0,44.4,13.4,0,0,0,0,0,0,45,90.0,0,0.0,0,0.0
14,15.0,76.0,15.0,16.0,2018-12-23,TAM,@,DAL,"L, 20-27",*,10,6,90,15.0,1,60.0,9.0,0,0,0,0,0,0,66,82.5,0,0.0,0,0.0
15,16.0,77.0,16.0,17.0,2018-12-30,TAM,,ATL,"L, 32-34",*,8,6,106,17.7,2,75.0,13.3,0,0,0,0,0,0,51,83.6,0,0.0,0,0.0
16,,,,,,,,,5-11,,138,86,1524,17.7,8,62.3,11.0,2,1,0,2,-3,1,939,84.2,3,0.3,0,0.0
