,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2015-09-13,TAM,,TEN,"L, 14-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,16.0,2.0,2.0,2015-09-20,TAM,@,NOR,"W, 26-19",,3,0,0,,0,0.0,0.0,0,0,0,0,0,0,40,60.6,0,0.0,0,0.0
2,2.0,17.0,3.0,3.0,2015-09-27,TAM,@,HOU,"L, 9-19",*,17,7,101,14.4,0,41.2,5.9,0,0,0,0,0,0,49,83.1,0,0.0,0,0.0
3,3.0,18.0,4.0,4.0,2015-10-04,TAM,,CAR,"L, 23-37",*,8,3,32,10.7,0,37.5,4.0,0,0,0,0,0,0,73,92.4,0,0.0,0,0.0
4,4.0,19.0,5.0,5.0,2015-10-11,TAM,,JAX,"W, 38-31",*,5,3,41,13.7,0,60.0,8.2,0,0,0,0,0,0,41,61.2,0,0.0,1,3.1
5,5.0,20.0,6.0,7.0,2015-10-25,TAM,@,WAS,"L, 30-31",*,12,8,164,20.5,1,66.7,13.7,0,0,0,0,0,0,48,76.2,0,0.0,0,0.0
6,6.0,21.0,7.0,8.0,2015-11-01,TAM,@,ATL,"W, 23-20 (OT)",*,9,3,48,16.0,0,33.3,5.3,0,0,0,0,0,0,52,74.3,0,0.0,0,0.0
7,7.0,22.0,8.0,9.0,2015-11-08,TAM,,NYG,"L, 18-32",*,19,8,150,18.8,0,42.1,7.9,1,1,0,0,0,0,57,90.5,0,0.0,0,0.0
8,8.0,23.0,9.0,10.0,2015-11-15,TAM,,DAL,"W, 10-6",*,13,8,126,15.8,0,61.5,9.7,0,0,0,0,0,0,63,88.7,0,0.0,0,0.0
9,9.0,24.0,10.0,11.0,2015-11-22,TAM,@,PHI,"W, 45-17",*,7,4,63,15.8,1,57.1,9.0,0,0,0,0,0,0,64,82.1,0,0.0,1,3.1
10,10.0,25.0,11.0,12.0,2015-11-29,TAM,@,IND,"L, 12-25",*,10,5,64,12.8,0,50.0,6.4,0,0,0,0,0,0,64,95.5,0,0.0,0,0.0
11,11.0,26.0,12.0,13.0,2015-12-06,TAM,,ATL,"W, 23-19",*,7,5,61,12.2,1,71.4,8.7,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
12,12.0,27.0,13.0,14.0,2015-12-13,TAM,,NOR,"L, 17-24",*,4,3,39,13.0,0,75.0,9.8,0,0,0,0,0,0,52,94.5,0,0.0,0,0.0
13,13.0,28.0,14.0,15.0,2015-12-17,TAM,@,STL,"L, 23-31",*,17,9,157,17.4,0,52.9,9.2,0,0,0,0,0,0,74,91.4,0,0.0,1,3.3
14,14.0,29.0,15.0,16.0,2015-12-27,TAM,,CHI,"L, 21-26",*,8,4,61,15.3,0,50.0,7.6,0,0,0,0,0,0,51,91.1,0,0.0,1,3.3
15,15.0,30.0,16.0,17.0,2016-01-03,TAM,@,CAR,"L, 10-38",*,9,4,99,24.8,0,44.4,11.0,0,0,0,0,0,0,68,91.9,0,0.0,0,0.0
16,,,,,,,,,6-9,,148,74,1206,16.3,3,50.0,8.1,1,1,0,0,0,0,858,84.1,0,0.0,4,1.0
