,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,99.0,1.0,1.0,2024-09-08,CIN,,NWE,"L, 10-16",,4,3,18,6.0,0,75.0,4.5,0,0,0,0,0,0,18,35.3,0,0.0,0,0.0
1,2.0,100.0,2.0,2.0,2024-09-15,CIN,@,KAN,"L, 25-26",*,9,7,91,13.0,0,77.8,10.1,0,0,0,0,0,0,30,46.9,0,0.0,1,3.8
2,3.0,101.0,3.0,3.0,2024-09-23,CIN,,WAS,"L, 33-38",,5,4,47,11.8,0,80.0,9.4,0,0,0,0,0,0,31,50.0,0,0.0,0,0.0
3,4.0,102.0,4.0,4.0,2024-09-29,CIN,@,CAR,"W, 34-24",,1,1,-9,-9.0,0,100.0,-9.0,0,0,0,0,0,0,22,32.8,0,0.0,0,0.0
4,5.0,103.0,5.0,5.0,2024-10-06,CIN,,BAL,"L, 38-41 (OT)",,2,2,31,15.5,0,100.0,15.5,0,0,0,0,0,0,29,43.3,0,0.0,0,0.0
5,6.0,104.0,6.0,6.0,2024-10-13,CIN,@,NYG,"W, 17-7",,0,0,0,,0,,,0,0,0,0,0,0,19,35.8,0,0.0,0,0.0
6,7.0,105.0,7.0,7.0,2024-10-20,CIN,@,CLE,"W, 21-14",,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,17,30.9,0,0.0,1,3.6
7,8.0,106.0,8.0,8.0,2024-10-27,CIN,,PHI,"L, 17-37",*,8,7,73,10.4,0,87.5,9.1,1,1,0,0,0,0,31,53.4,0,0.0,0,0.0
8,9.0,107.0,9.0,9.0,2024-11-03,CIN,,LVR,"W, 41-24",,6,5,100,20.0,2,83.3,16.7,0,0,0,0,0,0,27,36.5,0,0.0,0,0.0
9,10.0,108.0,10.0,10.0,2024-11-07,CIN,@,BAL,"L, 34-35",,9,4,30,7.5,0,44.4,3.3,0,0,0,0,0,0,58,70.7,0,0.0,0,0.0
10,11.0,109.0,11.0,11.0,2024-11-17,CIN,@,LAC,"L, 27-34",*,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,51,62.2,0,0.0,0,0.0
11,12.0,110.0,12.0,13.0,2024-12-01,CIN,,PIT,"L, 38-44",,5,5,53,10.6,0,100.0,10.6,0,0,0,0,0,0,27,43.5,0,0.0,0,0.0
12,13.0,111.0,13.0,14.0,2024-12-09,CIN,@,DAL,"W, 27-20",,3,3,24,8.0,0,100.0,8.0,0,0,0,0,0,0,20,28.2,0,0.0,0,0.0
13,14.0,112.0,14.0,15.0,2024-12-15,CIN,@,TEN,"W, 37-27",,4,3,37,12.3,0,75.0,9.3,0,0,0,0,0,0,22,31.9,0,0.0,0,0.0
14,15.0,113.0,15.0,16.0,2024-12-22,CIN,,CLE,"W, 24-6",,2,2,14,7.0,0,100.0,7.0,0,0,0,0,0,0,19,33.9,0,0.0,0,0.0
15,16.0,114.0,16.0,17.0,2024-12-28,CIN,,DEN,"W, 30-24 (OT)",,12,10,86,8.6,0,83.3,7.2,0,0,0,0,0,0,51,56.7,0,0.0,0,0.0
16,17.0,115.0,17.0,18.0,2025-01-04,CIN,@,PIT,"W, 19-17",,10,8,68,8.5,0,80.0,6.8,0,0,0,0,0,0,51,68.9,0,0.0,0,0.0
17,,,,,,,,,9-8,,83,65,665,10.2,2,78.3,8.0,1,1,0,0,0,0,523,46.0,0,0.0,2,0.4
