,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,82.0,1.0,1.0,2023-09-10,NWE,,PHI,"L, 20-25",*,3,3,36,12.0,0,100.0,12.0,33,41.3,0,0.0,0,0.0
1,2.0,83.0,2.0,2.0,2023-09-17,NWE,,MIA,"L, 17-24",*,6,5,33,6.6,0,83.3,5.5,53,71.6,0,0.0,0,0.0
2,3.0,84.0,3.0,3.0,2023-09-24,NWE,@,NYJ,"W, 15-10",*,1,1,18,18.0,0,100.0,18.0,34,47.2,0,0.0,1,3.2
3,4.0,85.0,4.0,4.0,2023-10-01,NWE,@,DAL,"L, 3-38",*,3,1,12,12.0,0,33.3,4.0,33,60.0,0,0.0,0,0.0
4,5.0,86.0,5.0,5.0,2023-10-08,NWE,,NOR,"L, 0-34",,4,2,17,8.5,0,50.0,4.3,16,29.6,0,0.0,5,16.1
5,6.0,87.0,6.0,6.0,2023-10-15,NWE,@,LVR,"L, 17-21",,3,3,28,9.3,0,100.0,9.3,36,60.0,0,0.0,0,0.0
6,7.0,88.0,7.0,7.0,2023-10-22,NWE,,BUF,"W, 29-25",,2,2,5,2.5,1,100.0,2.5,30,50.0,0,0.0,0,0.0
7,8.0,89.0,8.0,8.0,2023-10-29,NWE,@,MIA,"L, 17-31",,3,2,11,5.5,0,66.7,3.7,15,28.3,0,0.0,0,0.0
8,9.0,90.0,9.0,9.0,2023-11-05,NWE,,WAS,"L, 17-20",*,2,0,0,,0,0.0,0.0,55,85.9,0,0.0,1,3.6
9,10.0,91.0,10.0,10.0,2023-11-12,NWE,,IND,"L, 6-10",*,3,2,22,11.0,0,66.7,7.3,46,66.7,0,0.0,0,0.0
10,11.0,92.0,11.0,12.0,2023-11-26,NWE,@,NYG,"L, 7-10",,2,0,0,,0,0.0,0.0,18,26.5,0,0.0,0,0.0
11,12.0,93.0,12.0,13.0,2023-12-03,NWE,,LAC,"L, 0-6",,0,0,0,,0,,,6,9.4,0,0.0,0,0.0
12,13.0,94.0,13.0,14.0,2023-12-07,NWE,@,PIT,"W, 21-18",,0,0,0,,0,,,19,33.3,0,0.0,0,0.0
13,14.0,95.0,14.0,15.0,2023-12-17,NWE,,KAN,"L, 17-27",*,2,1,7,7.0,0,50.0,3.5,21,39.6,0,0.0,0,0.0
14,15.0,96.0,15.0,16.0,2023-12-24,NWE,@,DEN,"W, 26-23",*,2,2,15,7.5,1,100.0,7.5,38,65.5,0,0.0,0,0.0
15,16.0,97.0,16.0,17.0,2023-12-31,NWE,@,BUF,"L, 21-27",*,6,4,35,8.8,0,66.7,5.8,36,67.9,0,0.0,0,0.0
16,17.0,98.0,17.0,18.0,2024-01-07,NWE,,NYJ,"L, 3-17",*,3,1,5,5.0,0,33.3,1.7,41,71.9,0,0.0,3,10.7
17,,,,,,,,,4-13,,45,29,244,8.4,2,64.4,5.4,530,50.4,0,0.0,10,2.2
