,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,85.0,1.0,1.0,2023-09-10,CLE,,CIN,"W, 24-3",*,1.0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,76.8,2,6.5
1,2.0,86.0,2.0,2.0,2023-09-18,CLE,@,PIT,"L, 22-26",*,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41,75.9,4,12.9
2,3.0,87.0,3.0,3.0,2023-09-24,CLE,,TEN,"W, 27-3",*,3.5,5,4,1,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0.0,37,77.1,1,4.2
3,4.0,88.0,4.0,4.0,2023-10-01,CLE,,BAL,"L, 3-28",*,1.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46,79.3,3,10.7
4,5.0,89.0,5.0,6.0,2023-10-15,CLE,,SFO,"W, 19-17",*,0.0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51,82.3,5,16.1
5,6.0,90.0,6.0,7.0,2023-10-22,CLE,@,IND,"W, 39-38",*,2.0,9,7,2,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0.0,54,77.1,8,20.0
6,7.0,91.0,7.0,8.0,2023-10-29,CLE,@,SEA,"L, 20-24",*,1.0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,53,91.4,4,15.4
7,8.0,92.0,8.0,9.0,2023-11-05,CLE,,ARI,"W, 27-0",*,1.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0.0,37,71.2,0,0.0
8,9.0,93.0,9.0,10.0,2023-11-12,CLE,@,BAL,"W, 33-31",*,1.5,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51,94.4,6,19.4
9,10.0,94.0,10.0,11.0,2023-11-19,CLE,,PIT,"W, 13-10",*,2.0,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,84.5,3,10.3
10,11.0,95.0,11.0,12.0,2023-11-26,CLE,@,DEN,"L, 12-29",*,0.0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,46,68.7,4,15.4
11,12.0,96.0,12.0,13.0,2023-12-03,CLE,@,LAR,"L, 19-36",*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,89.1,7,21.2
12,13.0,97.0,13.0,14.0,2023-12-10,CLE,,JAX,"W, 31-27",*,0.0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67,88.2,3,8.8
13,14.0,98.0,14.0,15.0,2023-12-17,CLE,,CHI,"W, 20-17",*,0.0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67,91.8,3,8.6
14,15.0,99.0,15.0,16.0,2023-12-24,CLE,@,HOU,"W, 36-22",*,0.0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47,62.7,1,4.2
15,16.0,100.0,16.0,17.0,2023-12-28,CLE,,NYJ,"W, 37-20",*,1.0,3,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66,90.4,5,16.7
16,16.0,,17.0,18.0,2024-01-07,CLE,@,CIN,"L, 14-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,11-5,,14.0,42,33,9,17,30,0,0,0,0,3,0,0,4,1,1,0,0,0.0,812,81.4,59,12.3
