,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2019,22,MIA,NFL,RB,7.0,0.0,36.0,133.0,7.0,28.0,0.8,105.0,2.9,0.0,,12.0,7.0,51.0,2.0,5.0,0.7,46.0,6.6,0.2,0.0,,2.0,16.7,0.0,68.4,
1,2020,23,MIA,NFL,RB,10.0,7.0,142.0,584.0,27.0,297.0,2.1,287.0,2.0,6.0,23.7,47.0,41.0,388.0,12.0,0.0,0.0,388.0,9.5,0.2,4.0,10.3,2.0,4.3,0.0,115.2,
2,2021,24,MIA,NFL,RB,17.0,10.0,173.0,612.0,25.0,364.0,2.1,248.0,1.4,7.0,24.7,63.0,49.0,234.0,13.0,-16.0,-0.3,250.0,5.1,0.5,6.0,8.2,3.0,4.8,0.0,103.3,
3,2022,25,MIA,NFL,RB,4.0,0.0,10.0,26.0,2.0,14.0,1.4,12.0,1.2,0.0,,6.0,4.0,28.0,0.0,8.0,2.0,20.0,5.0,2.8,1.0,4.0,0.0,0.0,0.0,77.1,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,27,MIN,NFL,RB,5.0,0.0,3.0,-1.0,0.0,-2.0,-0.7,1.0,0.3,0.0,,1.0,1.0,11.0,0.0,-2.0,-2.0,13.0,13.0,-2.0,0.0,,0.0,0.0,0.0,112.5,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,46.0,17.0,364.0,1354.0,61.0,701.0,1.9,653.0,1.8,13.0,28.0,129.0,102.0,712.0,27.0,-5.0,0.0,717.0,7.0,0.5,11.0,9.3,7.0,5.4,0.0,105.2,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,6.0,135.0,500.0,23.0,259.0,1.9,241.0,1.8,5.0,28.0,48.0,38.0,263.0,10.0,-2.0,0.0,265.0,7.0,0.5,4.0,9.3,3.0,5.4,0.0,105.2,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,38.0,17.0,361.0,1355.0,61.0,703.0,1.9,652.0,1.8,13.0,27.8,128.0,101.0,701.0,27.0,-3.0,0.0,704.0,7.0,0.5,11.0,9.2,7.0,5.5,0.0,105.1,
10,MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,7.0,0.0,3.0,-1.0,0.0,-2.0,-0.7,1.0,0.3,0.0,,1.0,1.0,11.0,0.0,-2.0,-2.0,13.0,13.0,-2.0,0.0,,0.0,0.0,0.0,112.5,
11,LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,
