,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,42.0,1.0,1,2024-09-08,MIN,@,NYG,"W, 28-6",,1,-3,0,-3.0,0,0,0,,0,,,0,0,0,,2,3.6,0,0.0,5,20.8
1,2.0,43.0,2.0,2,2024-09-15,MIN,,SFO,"W, 23-17",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0.0,0,0.0,4,17.4
2,3.0,44.0,3.0,3,2024-09-22,MIN,,HOU,"W, 34-7",,0,0,0,,0,0,0,,0,,,1,19,0,19.0,0,0.0,0,0.0,7,26.9
3,4.0,45.0,4.0,4,2024-09-29,MIN,@,GNB,"W, 31-29",,0,0,0,,0,0,0,,0,,,2,41,0,20.5,0,0.0,0,0.0,4,13.8
4,5.0,46.0,5.0,5,2024-10-06,MIN,,NYJ,"W, 23-17",,2,2,0,1.0,1,1,11,11.0,0,100.0,11.0,0,0,0,,5,6.8,0,0.0,6,20.7
5,5.0,,6.0,7,2024-10-20,MIN,,DET,"L, 29-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,8,2024-10-24,MIN,@,LAR,"L, 20-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,9,2024-11-03,MIN,,IND,"W, 21-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5.0,,9.0,10,2024-11-10,MIN,@,JAX,"W, 12-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5.0,,10.0,11,2024-11-17,MIN,@,TEN,"W, 23-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5.0,,11.0,12,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,5.0,,12.0,13,2024-12-01,MIN,,ARI,"W, 23-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,,,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars,Player went from Minnesota Vikings to Jacksonville Jaguars
13,5.0,,14.0,15,2024-12-15,JAX,,NYJ,"L, 25-32",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,5.0,,15.0,16,2024-12-22,JAX,@,LVR,"L, 14-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,5.0,,16.0,17,2024-12-29,JAX,,TEN,"W, 20-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,5.0,,17.0,18,2025-01-05,JAX,@,IND,"L, 23-26 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,5-0,,3,-1,0,-0.3,1,1,11,11.0,0,100.0,11.0,3,60,0,20.0,7,2.2,0,0.0,26,19.8
