,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,23,PIT,NFL,RB,17.0,17.0,307.0,1200.0,7.0,62.0,47.6,37.0,3.9,70.6,18.1,94.0,74.0,467.0,6.3,3.0,22.0,48.9,25.0,4.4,27.5,78.7,5.0,381.0,4.4,1667.0,10.0,0.0,10.0,PB
1,2022,24,PIT,NFL,RB,17.0,17.0,272.0,1034.0,7.0,45.0,46.0,36.0,3.8,60.8,16.0,53.0,41.0,229.0,5.6,3.0,16.0,49.1,19.0,2.4,13.5,77.4,4.3,313.0,4.0,1263.0,10.0,3.0,6.0,
2,2023,25,PIT,NFL,RB,17.0,17.0,255.0,1035.0,8.0,51.0,48.2,25.0,4.1,60.9,15.0,38.0,29.0,170.0,5.9,0.0,9.0,50.0,32.0,1.7,10.0,76.3,4.5,284.0,4.2,1205.0,8.0,2.0,7.0,
3,2024,26,PIT,NFL,RB,17.0,17.0,263.0,1043.0,6.0,50.0,43.7,36.0,4.0,61.4,15.5,48.0,36.0,283.0,7.9,0.0,13.0,45.8,32.0,2.1,16.6,75.0,5.9,299.0,4.4,1326.0,6.0,0.0,8.0,
4,2025,27,LAC,NFL,RB,3.0,0.0,15.0,61.0,0.0,3.0,86.7,7.0,4.1,20.3,5.0,3.0,3.0,25.0,8.3,0.0,1.0,66.7,11.0,1.0,8.3,100.0,8.3,18.0,4.8,86.0,0.0,0.0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,71.0,68.0,1112.0,4373.0,28.0,211.0,46.9,37.0,3.9,61.6,15.7,236.0,183.0,1174.0,6.4,6.0,61.0,48.7,32.0,2.6,16.5,77.5,5.0,1295.0,4.3,5547.0,34.0,5.0,31.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,266.0,1047.0,7.0,51.0,46.9,37.0,3.9,61.6,15.7,57.0,44.0,281.0,6.4,1.0,15.0,48.7,32.0,2.6,16.5,77.5,5.0,310.0,4.3,1328.0,8.0,1.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),,68.0,68.0,1097.0,4312.0,28.0,208.0,46.4,37.0,3.9,63.4,16.1,233.0,180.0,1149.0,6.4,6.0,60.0,48.5,32.0,2.6,16.9,77.3,4.9,1277.0,4.3,5461.0,34.0,5.0,31.0,
9,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,3.0,0.0,15.0,61.0,0.0,3.0,86.7,7.0,4.1,20.3,5.0,3.0,3.0,25.0,8.3,0.0,1.0,66.7,11.0,1.0,8.3,100.0,8.3,18.0,4.8,86.0,0.0,0.0,,
