,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,88.0,1.0,1.0,2021-09-12,NWE,,MIA,"L, 16-17",*,7,5,72,14.4,1,71.4,10.3,0,0,0,,64,85.3,0,0.0,0,0.0
1,2.0,89.0,2.0,2.0,2021-09-19,NWE,@,NYJ,"W, 25-6",*,3,3,21,7.0,0,100.0,7.0,0,0,0,,51,86.4,0,0.0,0,0.0
2,3.0,90.0,3.0,3.0,2021-09-26,NWE,,NOR,"L, 13-28",*,8,2,17,8.5,0,25.0,2.1,0,0,0,,58,80.6,0,0.0,0,0.0
3,4.0,91.0,4.0,4.0,2021-10-03,NWE,,TAM,"L, 17-19",*,5,3,55,18.3,0,60.0,11.0,1,4,0,4.0,43,72.9,0,0.0,0,0.0
4,5.0,92.0,5.0,5.0,2021-10-10,NWE,@,HOU,"W, 25-22",*,4,3,32,10.7,0,75.0,8.0,0,0,0,,43,67.2,0,0.0,0,0.0
5,6.0,93.0,6.0,6.0,2021-10-17,NWE,,DAL,"L, 29-35 (OT)",,4,1,27,27.0,0,25.0,6.8,1,1,0,1.0,32,59.3,0,0.0,0,0.0
6,7.0,94.0,7.0,7.0,2021-10-24,NWE,,NYJ,"W, 54-13",*,5,2,51,25.5,1,40.0,10.2,0,0,0,,43,56.6,0,0.0,0,0.0
7,8.0,95.0,8.0,8.0,2021-10-31,NWE,@,LAC,"W, 27-24",*,6,3,60,20.0,0,50.0,10.0,0,0,0,,61,79.2,0,0.0,0,0.0
8,9.0,96.0,9.0,9.0,2021-11-07,NWE,@,CAR,"W, 24-6",*,0,0,0,,0,,,0,0,0,,54,87.1,0,0.0,0,0.0
9,10.0,97.0,10.0,10.0,2021-11-14,NWE,,CLE,"W, 45-7",,4,2,21,10.5,0,50.0,5.3,0,0,0,,47,70.1,0,0.0,0,0.0
10,11.0,98.0,11.0,11.0,2021-11-18,NWE,@,ATL,"W, 25-0",*,5,5,40,8.0,1,100.0,8.0,0,0,0,,49,76.6,0,0.0,0,0.0
11,12.0,99.0,12.0,12.0,2021-11-28,NWE,,TEN,"W, 36-13",*,3,3,20,6.7,0,100.0,6.7,0,0,0,,50,83.3,0,0.0,0,0.0
12,13.0,100.0,13.0,13.0,2021-12-06,NWE,@,BUF,"W, 14-10",*,1,0,0,,0,0.0,0.0,1,6,0,6.0,25,49.0,0,0.0,0,0.0
13,14.0,101.0,14.0,15.0,2021-12-18,NWE,@,IND,"L, 17-27",*,6,4,34,8.5,0,66.7,5.7,0,0,0,,32,47.1,0,0.0,0,0.0
14,14.0,,15.0,16.0,2021-12-26,NWE,,BUF,"L, 21-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,,16.0,17.0,2022-01-02,NWE,,JAX,"W, 50-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,15.0,102.0,17.0,18.0,2022-01-09,NWE,@,MIA,"L, 24-33",*,3,1,23,23.0,0,33.3,7.7,0,0,0,,55,88.7,0,0.0,0,0.0
17,,,,,,,,,9-6,,64,37,473,12.8,3,57.8,7.4,3,11,0,3.7,707,72.9,0,0.0,0,0.0
