,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,136.0,1.0,1.0,2024-09-05,BAL,@,KAN,"L, 20-27",,1,1,6,6.0,0,100.0,6.0,30,37.5,0,0.0,0,0.0
1,2.0,137.0,2.0,2.0,2024-09-15,BAL,,LVR,"L, 23-26",*,3,1,13,13.0,0,33.3,4.3,36,55.4,0,0.0,0,0.0
2,3.0,138.0,3.0,3.0,2024-09-22,BAL,@,DAL,"W, 28-25",*,1,1,56,56.0,0,100.0,56.0,38,60.3,0,0.0,0,0.0
3,4.0,139.0,4.0,4.0,2024-09-29,BAL,,BUF,"W, 35-10",,3,2,10,5.0,0,66.7,3.3,29,50.9,0,0.0,0,0.0
4,5.0,140.0,5.0,5.0,2024-10-06,BAL,@,CIN,"W, 41-38 (OT)",,4,1,4,4.0,0,25.0,1.0,37,47.4,0,0.0,0,0.0
5,6.0,141.0,6.0,6.0,2024-10-13,BAL,,WAS,"W, 30-23",,3,1,25,25.0,0,33.3,8.3,32,47.1,0,0.0,0,0.0
6,7.0,142.0,7.0,7.0,2024-10-21,BAL,@,TAM,"W, 41-31",*,2,1,20,20.0,0,50.0,10.0,28,47.5,0,0.0,0,0.0
7,8.0,143.0,8.0,8.0,2024-10-27,BAL,@,CLE,"L, 24-29",*,5,3,36,12.0,1,60.0,7.2,30,44.1,0,0.0,0,0.0
8,9.0,144.0,9.0,9.0,2024-11-03,BAL,,DEN,"W, 41-10",,1,1,29,29.0,0,100.0,29.0,19,33.3,0,0.0,0,0.0
9,10.0,145.0,10.0,10.0,2024-11-07,BAL,,CIN,"W, 35-34",*,2,1,6,6.0,1,50.0,3.0,31,49.2,0,0.0,0,0.0
10,11.0,146.0,11.0,11.0,2024-11-17,BAL,@,PIT,"L, 16-18",,1,0,0,,0,0.0,0.0,24,39.3,0,0.0,0,0.0
11,12.0,147.0,12.0,12.0,2024-11-25,BAL,@,LAC,"W, 30-23",,0,0,0,,0,,,29,44.6,0,0.0,0,0.0
12,13.0,148.0,13.0,13.0,2024-12-01,BAL,,PHI,"L, 19-24",*,2,0,0,,0,0.0,0.0,40,55.6,0,0.0,0,0.0
13,14.0,149.0,14.0,15.0,2024-12-15,BAL,@,NYG,"W, 35-14",*,1,1,26,26.0,0,100.0,26.0,17,28.8,0,0.0,0,0.0
14,14.0,,15.0,16.0,2024-12-21,BAL,,PIT,"W, 34-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,,16.0,17.0,2024-12-25,BAL,@,HOU,"W, 31-2",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,14.0,,17.0,18.0,2025-01-04,BAL,,CLE,"W, 35-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,9-5,,29,14,231,16.5,2,48.3,8.0,420,45.9,0,0.0,0,0.0
