,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,52.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",*,0.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35,55.6,1,3.8
1,2.0,53.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",*,0.0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,78.8,0,0.0
2,3.0,54.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",*,1.0,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39,78.0,0,0.0
3,4.0,55.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",*,0.0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,67.6,1,4.5
4,5.0,56.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",*,0.5,4,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34,69.4,1,3.7
5,6.0,57.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",*,1.0,3,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,68,89.5,0,0.0
6,7.0,58.0,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",*,0.0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,91.4,1,4.5
7,8.0,59.0,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",*,0.5,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,100.0,0,0.0
8,9.0,60.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",*,1.5,3,2,1,1,2,0,0,0,0,1,0,0,1,1,-3,0,0,0.0,37,64.9,0,0.0
9,10.0,61.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",*,1.5,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62,87.3,0,0.0
10,11.0,62.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",*,2.0,5,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,87.5,1,3.4
11,12.0,63.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",*,0.0,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52,72.2,0,0.0
12,13.0,64.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",*,1.5,6,4,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,50,84.7,1,3.7
13,14.0,65.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",*,1.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,47,63.5,0,0.0
14,15.0,66.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",*,0.0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,94.1,1,3.7
15,16.0,67.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",*,0.0,3,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,38,82.6,0,0.0
16,17.0,68.0,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,11.9,0,0.0
17,,,,,,,,,12-5,,10.5,53,34,19,16,35,0,0,0,0,4,0,0,2,1,-3,0,0,0.0,821,75.2,7,1.6
