,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,23,TEN,NFL,WR,14.0,1.0,8.0,3.0,33.0,11.0,0.0,3.0,25.0,19.0,0.2,2.4,37.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,33.0,0.0,0.0,0.0,
1,2021,24,TEN,NFL,WR,16.0,7.0,57.0,38.0,476.0,12.5,4.0,23.0,54.4,46.0,2.4,29.8,66.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,38.0,12.5,476.0,4.0,1.0,5.0,
2,2022,25,TEN,NFL,WR,17.0,13.0,50.0,25.0,397.0,15.9,3.0,18.0,40.0,63.0,1.5,23.4,50.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.9,397.0,3.0,0.0,3.0,
3,2023,26,TEN,NFL,WR,14.0,9.0,45.0,28.0,370.0,13.2,3.0,18.0,57.8,33.0,2.0,26.4,62.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.2,370.0,3.0,0.0,3.0,
4,2024,27,TEN,NFL,WR,17.0,9.0,60.0,32.0,497.0,15.5,9.0,25.0,46.7,98.0,1.9,29.2,53.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.5,497.0,9.0,0.0,4.0,
5,2025,28,MIA,NFL,WR,3.0,0.0,5.0,3.0,25.0,8.3,0.0,3.0,60.0,11.0,1.0,8.3,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.3,25.0,0.0,0.0,,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,81.0,39.0,225.0,129.0,1798.0,13.9,19.0,90.0,48.9,98.0,1.6,22.2,57.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,13.9,1798.0,19.0,1.0,15.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,8.0,47.0,27.0,377.0,13.9,4.0,19.0,48.9,98.0,1.6,22.2,57.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.9,377.0,4.0,0.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TEN (5 Yrs),TEN (5 Yrs),TEN (5 Yrs),TEN (5 Yrs),,78.0,39.0,220.0,126.0,1773.0,14.1,19.0,87.0,48.6,98.0,1.6,22.7,57.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,126.0,14.1,1773.0,19.0,1.0,15.0,
10,MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,3.0,0.0,5.0,3.0,25.0,8.3,0.0,3.0,60.0,11.0,1.0,8.3,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.3,25.0,0.0,0.0,,
