,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2021-09-12,HOU,,JAX,"W, 37-21",,3,1,7,7.0,0,33.3,2.3,0.0,0,0,0,0,0,0,43,55.1,0,0.0,1,2.9
1,2.0,2.0,2.0,2.0,2021-09-19,HOU,@,CLE,"L, 21-31",*,1,1,32,32.0,0,100.0,32.0,0.0,0,0,0,0,0,0,2,3.3,0,0.0,0,0.0
2,2.0,,3.0,3.0,2021-09-23,HOU,,CAR,"L, 9-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2.0,,4.0,4.0,2021-10-03,HOU,@,BUF,"L, 0-40",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2.0,,5.0,5.0,2021-10-10,HOU,,NWE,"L, 22-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3.0,3.0,6.0,6.0,2021-10-17,HOU,@,IND,"L, 3-31",*,6,4,44,11.0,0,66.7,7.3,0.0,1,1,0,0,0,0,43,57.3,0,0.0,0,0.0
6,4.0,4.0,7.0,7.0,2021-10-24,HOU,@,ARI,"L, 5-31",,5,2,28,14.0,0,40.0,5.6,0.0,0,0,0,0,0,0,35,62.5,0,0.0,0,0.0
7,5.0,5.0,8.0,8.0,2021-10-31,HOU,,LAR,"L, 22-38",,4,4,55,13.8,0,100.0,13.8,0.0,0,0,0,0,0,0,39,63.9,0,0.0,0,0.0
8,6.0,6.0,9.0,9.0,2021-11-07,HOU,@,MIA,"L, 9-17",,3,3,25,8.3,0,100.0,8.3,0.0,0,0,0,0,0,0,48,69.6,0,0.0,0,0.0
9,7.0,7.0,10.0,11.0,2021-11-21,HOU,@,TEN,"W, 22-13",,2,1,9,9.0,0,50.0,4.5,0.0,0,0,0,0,0,0,38,59.4,0,0.0,0,0.0
10,8.0,8.0,11.0,12.0,2021-11-28,HOU,,NYJ,"L, 14-21",*,5,2,28,14.0,0,40.0,5.6,0.0,0,0,0,0,0,0,37,64.9,0,0.0,0,0.0
11,9.0,9.0,12.0,13.0,2021-12-05,HOU,,IND,"L, 0-31",*,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,32,61.5,0,0.0,0,0.0
12,10.0,10.0,13.0,14.0,2021-12-12,HOU,,SEA,"L, 13-33",*,10,5,69,13.8,0,50.0,6.9,0.0,0,0,0,0,0,0,57,70.4,0,0.0,0,0.0
13,11.0,11.0,14.0,15.0,2021-12-19,HOU,@,JAX,"W, 30-16",*,4,2,14,7.0,0,50.0,3.5,0.0,0,0,0,0,0,0,36,61.0,0,0.0,0,0.0
14,12.0,12.0,15.0,16.0,2021-12-26,HOU,,LAC,"W, 41-29",*,4,3,33,11.0,1,75.0,8.3,0.0,0,0,0,0,0,0,45,66.2,0,0.0,1,3.7
15,13.0,13.0,16.0,17.0,2022-01-02,HOU,@,SFO,"L, 7-23",,5,2,35,17.5,0,40.0,7.0,0.0,0,0,0,0,0,0,40,59.7,0,0.0,0,0.0
16,14.0,14.0,17.0,18.0,2022-01-09,HOU,,TEN,"L, 25-28",*,7,3,67,22.3,0,42.9,9.6,0.0,0,0,0,0,0,0,41,71.9,0,0.0,0,0.0
17,,,,,,,,,4-10,,60,33,446,13.5,1,55.0,7.4,0.0,1,1,0,0,0,0,536,59.2,0,0.0,2,0.5
