,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-09,DEN,@,OAK,"L, 16-24",*,4,2,29,14.5,0,50.0,7.3,1,-5,0,-5.0,0,0,0,0,0,0,50,80.6,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2019-09-15,DEN,,CHI,"L, 14-16",*,4,4,33,8.3,0,100.0,8.3,0,0,0,,0,0,0,0,0,0,54,66.7,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2019-09-22,DEN,@,GNB,"L, 16-27",,3,3,37,12.3,0,100.0,12.3,0,0,0,,1,1,0,0,0,0,46,63.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2019-09-29,DEN,,JAX,"L, 24-26",,4,2,31,15.5,1,50.0,7.8,0,0,0,,0,0,0,0,0,0,40,72.7,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2019-10-06,DEN,@,LAC,"W, 20-13",*,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,0,0,0,40,66.7,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2019-10-13,DEN,,TEN,"W, 16-0",*,3,2,16,8.0,0,66.7,5.3,0,0,0,,0,0,0,0,0,0,39,65.0,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2019-10-17,DEN,,KAN,"L, 6-30",,5,1,7,7.0,0,20.0,1.4,0,0,0,,0,0,0,0,0,0,48,71.6,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2019-10-27,DEN,@,IND,"L, 13-15",,9,5,26,5.2,0,55.6,2.9,0,0,0,,0,0,0,0,0,0,60,82.2,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2019-11-03,DEN,,CLE,"W, 24-19",*,4,3,115,38.3,1,75.0,28.8,0,0,0,,0,0,0,0,0,0,41,82.0,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2019-11-17,DEN,@,MIN,"L, 23-27",*,10,4,60,15.0,0,40.0,6.0,2,-7,0,-3.5,0,0,0,0,0,0,68,86.1,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2019-11-24,DEN,@,BUF,"L, 3-20",*,5,3,14,4.7,0,60.0,2.8,0,0,0,,0,0,0,0,0,0,36,73.5,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2019-12-01,DEN,,LAC,"W, 23-20",*,3,1,5,5.0,0,33.3,1.7,0,0,0,,0,0,0,0,0,0,40,71.4,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2019-12-08,DEN,@,HOU,"W, 38-24",*,4,4,113,28.3,1,100.0,28.3,0,0,0,,0,0,0,0,0,0,29,49.2,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2019-12-15,DEN,@,KAN,"L, 3-23",*,3,2,56,28.0,0,66.7,18.7,0,0,0,,0,0,0,0,0,0,27,45.8,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2019-12-22,DEN,,DET,"W, 27-17",*,2,2,10,5.0,0,100.0,5.0,0,0,0,,0,0,0,0,0,0,41,57.7,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2019-12-29,DEN,,OAK,"W, 16-15",,2,1,4,4.0,0,50.0,2.0,0,0,0,,0,0,0,0,0,0,36,59.0,0,0.0,0,0.0
16,,,,,,,,,7-9,,66,40,562,14.1,3,60.6,8.5,3,-12,0,-4.0,1,1,0,0,0,0,695,68.5,0,0.0,0,0.0
