,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,51.0,1.0,1.0,2024-09-05,KAN,,BAL,"W, 27-20",,3,3,37,12.3,0,100.0,12.3,0,0,0,,0.0,0,0,0,0,0,0,29,53.7,0,0.0,15,57.7
1,2.0,52.0,2.0,2.0,2024-09-15,KAN,,CIN,"W, 26-25",*,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,37,56.9,0,0.0,15,57.7
2,3.0,53.0,3.0,3.0,2024-09-22,KAN,@,ATL,"W, 22-17",,2,1,13,13.0,0,50.0,6.5,0,0,0,,0.0,0,0,0,0,0,0,37,50.0,0,0.0,14,58.3
3,4.0,54.0,4.0,4.0,2024-09-29,KAN,@,LAC,"W, 17-10",,4,4,40,10.0,0,100.0,10.0,0,0,0,,0.0,0,0,0,0,0,0,32,51.6,0,0.0,15,62.5
4,5.0,55.0,5.0,5.0,2024-10-07,KAN,,NOR,"W, 26-13",,2,2,29,14.5,0,100.0,14.5,0,0,0,,0.0,0,0,0,0,0,0,51,60.7,0,0.0,15,62.5
5,6.0,56.0,6.0,7.0,2024-10-20,KAN,@,SFO,"W, 28-18",*,4,4,66,16.5,0,100.0,16.5,0,0,0,,0.0,0,0,0,0,0,0,47,67.1,0,0.0,13,54.2
6,7.0,57.0,7.0,8.0,2024-10-27,KAN,@,LVR,"W, 27-20",*,3,3,23,7.7,0,100.0,7.7,0,0,0,,0.0,0,0,0,0,0,0,52,72.2,0,0.0,10,41.7
7,8.0,58.0,8.0,9.0,2024-11-04,KAN,,TAM,"W, 30-24 (OT)",*,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,59,69.4,0,0.0,10,35.7
8,9.0,59.0,9.0,10.0,2024-11-10,KAN,,DEN,"W, 16-14",*,2,2,18,9.0,0,100.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,39,57.4,0,0.0,7,28.0
9,10.0,60.0,10.0,11.0,2024-11-17,KAN,@,BUF,"L, 21-30",*,5,4,23,5.8,2,80.0,4.6,0,0,0,,0.0,0,0,0,0,0,0,42,76.4,0,0.0,8,33.3
10,11.0,61.0,11.0,12.0,2024-11-24,KAN,@,CAR,"W, 30-27",*,4,4,66,16.5,2,100.0,16.5,0,0,0,,0.0,0,0,0,0,0,0,44,59.5,0,0.0,14,51.9
11,12.0,62.0,12.0,13.0,2024-11-29,KAN,,LVR,"W, 19-17",*,6,4,58,14.5,0,66.7,9.7,0,0,0,,0.0,0,0,0,0,0,0,44,62.0,0,0.0,11,35.5
12,13.0,63.0,13.0,14.0,2024-12-08,KAN,,LAC,"W, 19-17",*,5,4,26,6.5,0,80.0,5.2,0,0,0,,0.0,0,0,0,0,0,0,42,60.9,0,0.0,5,19.2
13,14.0,64.0,14.0,15.0,2024-12-15,KAN,@,CLE,"W, 21-7",*,5,2,21,10.5,1,40.0,4.2,0,0,0,,0.0,0,0,0,0,0,0,41,54.7,0,0.0,4,15.4
14,15.0,65.0,15.0,16.0,2024-12-21,KAN,,HOU,"W, 27-19",,1,1,10,10.0,0,100.0,10.0,0,0,0,,0.0,1,1,0,0,0,0,36,48.6,0,0.0,13,54.2
15,16.0,66.0,16.0,17.0,2024-12-25,KAN,@,PIT,"W, 29-10",,1,1,6,6.0,0,100.0,6.0,0,0,0,,0.0,1,0,1,0,0,0,28,45.2,0,0.0,9,36.0
16,17.0,67.0,17.0,18.0,2025-01-05,KAN,@,DEN,"L, 0-38",,1,1,1,1.0,0,100.0,1.0,1,-4,0,-4.0,0.0,0,0,0,0,0,0,4,11.8,0,0.0,0,0.0
17,,,,,,,,,15-2,,49,40,437,10.9,5,81.6,8.9,1,-4,0,-4.0,0.0,2,1,1,0,0,0,664,57.8,0,0.0,178,41.3
