,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,IND,,CIN,"L, 23-34",,5,19,0,3.8,9,7,33,4.7,0,77.8,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,45.1,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2018-09-16,IND,@,WAS,"W, 21-9",,4,7,1,1.8,1,1,-2,-2.0,0,100.0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,41.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2018-09-23,IND,@,PHI,"L, 16-20",,5,18,0,3.6,5,5,25,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,72.9,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2018-09-30,IND,,HOU,"L, 34-37 (OT)",*,4,10,0,2.5,11,9,63,7.0,2,81.8,5.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,68.1,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2018-10-04,IND,@,NWE,"L, 24-38",*,15,45,0,3.0,9,7,45,6.4,0,77.8,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,67.5,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2018-10-14,IND,@,NYJ,"L, 34-42",,3,14,0,4.7,3,2,21,10.5,0,66.7,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,43.5,0,0.0,4,11.1
6,7.0,7.0,7.0,7.0,2018-10-21,IND,,BUF,"W, 37-5",,5,47,0,9.4,2,1,-5,-5.0,0,50.0,-2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,25.8,0,0.0,4,16.7
7,8.0,8.0,8.0,8.0,2018-10-28,IND,@,OAK,"W, 42-28",,11,78,0,7.1,2,2,7,3.5,0,100.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,35.9,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2018-11-11,IND,,JAX,"W, 29-26",*,3,3,0,1.0,4,3,19,6.3,0,75.0,4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,36.4,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-18,IND,,TEN,"W, 38-10",,5,14,0,2.8,3,1,20,20.0,0,33.3,6.7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,16,25.8,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-25,IND,,MIA,"W, 27-24",,9,28,0,3.1,2,2,22,11.0,0,100.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,37.7,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-12-02,IND,@,JAX,"L, 0-6",,4,5,0,1.3,9,9,50,5.6,0,100.0,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,59.2,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-09,IND,@,HOU,"W, 24-21",,3,1,0,0.3,5,3,16,5.3,0,60.0,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,41.8,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2018-12-16,IND,,DAL,"W, 23-0",*,6,19,0,3.2,6,4,45,11.3,0,66.7,7.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,40.3,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2018-12-23,IND,,NYG,"W, 28-27",,2,2,1,1.0,5,4,41,10.3,0,80.0,8.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,34.3,0,0.0,4,14.8
15,16.0,16.0,16.0,17.0,2018-12-30,IND,@,TEN,"W, 33-17",,1,4,0,4.0,5,3,25,8.3,0,60.0,5.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,14,17.7,0,0.0,4,13.3
16,,,,,,,,,10-6,,85,314,2,3.7,81,63,425,6.7,2,77.8,5.2,0.0,1,1,0,0,0,0,1,0,0,0,0,0,499,43.9,0,0.0,16,3.6
