,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,24,NYG,NFL,WR,1.0,1.0,11.0,4.0,28.0,7.0,0.0,2.0,27.3,11.0,4.0,28.0,36.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,28.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,29,LAR,NFL,WR,4.0,4.0,26.0,21.0,288.0,13.7,2.0,15.0,73.1,35.0,5.3,72.0,80.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.7,288.0,2.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,31,BAL,NFL,WR,2.0,1.0,7.0,4.0,34.0,8.5,0.0,2.0,42.9,12.0,2.0,17.0,57.1,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.5,34.0,0.0,0.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,7.0,6.0,44.0,29.0,350.0,12.1,2.0,19.0,56.8,35.0,4.1,50.0,65.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.1,350.0,2.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,107.0,70.0,850.0,12.1,5.0,46.0,56.8,35.0,4.1,50.0,65.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,12.1,850.0,5.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),,4.0,4.0,26.0,21.0,288.0,13.7,2.0,15.0,73.1,35.0,5.3,72.0,80.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.7,288.0,2.0,0.0,
9,BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),,2.0,1.0,7.0,4.0,34.0,8.5,0.0,2.0,42.9,12.0,2.0,17.0,57.1,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.5,34.0,0.0,0.0,
10,NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),,1.0,1.0,11.0,4.0,28.0,7.0,0.0,2.0,27.3,11.0,4.0,28.0,36.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,28.0,0.0,0.0,
