,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1.0,2024-09-08,PIT,@,ATL,"W, 18-10",,4,4,27,6.8,0,100.0,6.8,0,0,0,0,0,0,50,73.5,0,0.0,6,24.0
1,2.0,46.0,2.0,2.0,2024-09-15,PIT,@,DEN,"W, 13-6",,4,4,39,9.8,0,100.0,9.8,0,0,0,0,0,0,38,57.6,0,0.0,3,12.0
2,3.0,47.0,3.0,3.0,2024-09-22,PIT,,LAC,"W, 20-10",*,5,4,33,8.3,0,80.0,6.6,0,0,0,0,0,0,55,80.9,0,0.0,5,19.2
3,4.0,48.0,4.0,4.0,2024-09-29,PIT,@,IND,"L, 24-27",*,7,5,57,11.4,1,71.4,8.1,0,0,0,0,0,0,53,75.7,0,0.0,4,14.8
4,5.0,49.0,5.0,5.0,2024-10-06,PIT,,DAL,"L, 17-20",*,3,3,22,7.3,1,100.0,7.3,1,1,0,0,0,0,46,79.3,0,0.0,3,12.5
5,6.0,50.0,6.0,6.0,2024-10-13,PIT,@,LVR,"W, 32-13",*,3,2,16,8.0,0,66.7,5.3,0,0,0,0,0,0,58,86.6,0,0.0,7,28.0
6,7.0,51.0,7.0,7.0,2024-10-20,PIT,,NYJ,"W, 37-15",*,3,2,51,25.5,0,66.7,17.0,0,0,0,0,0,0,48,70.6,0,0.0,7,24.1
7,8.0,52.0,8.0,8.0,2024-10-28,PIT,,NYG,"W, 26-18",*,2,2,19,9.5,0,100.0,9.5,0,0,0,0,0,0,43,65.2,0,0.0,6,20.0
8,9.0,53.0,9.0,10.0,2024-11-10,PIT,@,WAS,"W, 28-27",,3,3,17,5.7,1,100.0,5.7,0,0,0,0,0,0,45,57.7,0,0.0,4,12.5
9,10.0,54.0,10.0,11.0,2024-11-17,PIT,,BAL,"W, 18-16",,2,2,14,7.0,0,100.0,7.0,0,0,0,0,0,0,45,57.7,0,0.0,6,20.7
10,11.0,55.0,11.0,12.0,2024-11-21,PIT,@,CLE,"L, 19-24",,4,4,59,14.8,0,100.0,14.8,0,0,0,0,0,0,44,63.8,0,0.0,4,20.0
11,12.0,56.0,12.0,13.0,2024-12-01,PIT,@,CIN,"W, 44-38",*,7,6,68,11.3,1,85.7,9.7,0,0,0,0,0,0,46,66.7,0,0.0,10,30.3
12,13.0,57.0,13.0,14.0,2024-12-08,PIT,,CLE,"W, 27-14",*,3,3,48,16.0,1,100.0,16.0,0,0,0,0,0,0,40,61.5,0,0.0,5,17.2
13,14.0,58.0,14.0,15.0,2024-12-15,PIT,@,PHI,"L, 13-27",,6,3,22,7.3,1,50.0,3.7,1,0,0,1,0,0,30,69.8,0,0.0,3,12.0
14,15.0,59.0,15.0,16.0,2024-12-21,PIT,@,BAL,"L, 17-34",*,3,3,16,5.3,0,100.0,5.3,0,0,0,0,0,0,41,68.3,0,0.0,3,11.1
15,16.0,60.0,16.0,17.0,2024-12-25,PIT,,KAN,"L, 10-29",*,8,7,60,8.6,0,87.5,7.5,1,1,0,0,0,0,45,60.0,0,0.0,2,8.0
16,17.0,61.0,17.0,18.0,2025-01-04,PIT,,CIN,"L, 17-19",*,11,8,85,10.6,1,72.7,7.7,0,0,0,0,0,0,49,80.3,0,0.0,3,11.5
17,,,,,,,,,10-7,,78,65,653,10.0,7,83.3,8.4,3,2,0,1,0,0,776,68.7,0,0.0,81,17.7
