,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2020-09-10,KAN,,HOU,"W, 34-20",*,24,32,75.0,211,3,0,6.6,8.47,123.3,1,8,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2020-09-20,KAN,@,LAC,"W, 23-20 (OT)",*,27,47,57.4,302,2,0,6.4,7.28,90.9,1,13,6,54,0,9.0,0,0,0,0,,,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
2,3.0,34.0,3.0,3.0,2020-09-28,KAN,@,BAL,"W, 34-20",*,31,42,73.8,385,4,0,9.2,11.07,133.5,0,0,4,26,1,6.5,0,0,0,0,,,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
3,4.0,35.0,4.0,4.0,2020-10-05,KAN,,NWE,"W, 26-10",*,19,29,65.5,236,2,0,8.1,9.52,113.6,1,7,8,28,0,3.5,0,0,0,0,,,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
4,5.0,36.0,5.0,5.0,2020-10-11,KAN,,LVR,"L, 32-40",*,22,43,51.2,340,2,1,7.9,7.79,83.5,3,7,6,21,1,3.5,0,0,0,0,,,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
5,6.0,37.0,6.0,6.0,2020-10-19,KAN,@,BUF,"W, 26-17",*,21,26,80.8,225,2,0,8.7,10.19,128.4,1,4,10,36,0,3.6,0,0,0,0,,,1,0,0,1,-1,0,73,100.0,0,0.0,0,0.0
6,7.0,38.0,7.0,7.0,2020-10-25,KAN,@,DEN,"W, 43-16",*,15,23,65.2,200,1,0,8.7,9.57,107.2,3,25,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,41,80.4,0,0.0,0,0.0
7,8.0,39.0,8.0,8.0,2020-11-01,KAN,,NYJ,"W, 35-9",*,31,42,73.8,416,5,0,9.9,12.29,144.4,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,54,81.8,0,0.0,0,0.0
8,9.0,40.0,9.0,9.0,2020-11-08,KAN,,CAR,"W, 33-31",*,30,45,66.7,372,4,0,8.3,10.04,121.7,2,11,1,6,0,6.0,0,0,0,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
9,10.0,41.0,10.0,11.0,2020-11-22,KAN,@,LVR,"W, 35-31",*,34,45,75.6,348,2,1,7.7,7.62,102.8,0,0,4,16,0,4.0,0,0,0,0,,,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
10,11.0,42.0,11.0,12.0,2020-11-29,KAN,@,TAM,"W, 27-24",*,37,49,75.5,462,3,0,9.4,10.65,124.7,2,6,4,28,0,7.0,1,0,0,0,0.0,0.0,1,1,0,0,0,0,79,100.0,0,0.0,0,0.0
11,12.0,43.0,12.0,13.0,2020-12-06,KAN,,DEN,"W, 22-16",*,25,40,62.5,318,1,0,8.0,8.45,95.6,1,5,4,26,0,6.5,0,0,0,0,,,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
12,13.0,44.0,13.0,14.0,2020-12-13,KAN,@,MIA,"W, 33-27",*,24,34,70.6,393,2,3,11.6,8.76,91.9,3,39,5,9,0,1.8,0,0,0,0,,,1,0,0,1,-9,0,62,100.0,0,0.0,0,0.0
13,14.0,45.0,14.0,15.0,2020-12-20,KAN,@,NOR,"W, 32-29",*,26,47,55.3,254,3,0,5.4,6.68,92.0,4,22,7,37,0,5.3,0,0,0,0,,,2,1,0,0,0,0,98,100.0,0,0.0,0,0.0
14,15.0,46.0,15.0,16.0,2020-12-27,KAN,,ATL,"W, 17-14",*,24,44,54.5,278,2,1,6.3,6.20,79.5,0,0,3,21,0,7.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
15,15.0,,16.0,17.0,2021-01-03,KAN,,LAC,"L, 21-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,14-1,,390,588,66.3,4740,38,6,8.1,8.89,108.2,22,147,62,308,2,5.0,2,0,0,0,0.0,0.0,5,2,0,2,-10,0,1027,97.9,0,0.0,0,0.0
