,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,97.0,1.0,1.0,2024-09-05,KAN,,BAL,"W, 27-20",*,20,28,71.4,291,1,1,10.4,9.50,101.9,2,10,2,3,0,1.5,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
1,2.0,98.0,2.0,2.0,2024-09-15,KAN,,CIN,"W, 26-25",*,18,25,72.0,151,2,2,6.0,4.04,80.6,2,14,4,29,0,7.3,0,0,0,,0,,,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
2,3.0,99.0,3.0,3.0,2024-09-22,KAN,@,ATL,"W, 22-17",*,26,39,66.7,217,2,1,5.6,5.44,87.2,0,0,6,17,0,2.8,0,0,0,,0,,,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
3,4.0,100.0,4.0,4.0,2024-09-29,KAN,@,LAC,"W, 17-10",*,19,29,65.5,245,1,1,8.4,7.59,89.0,3,17,5,12,0,2.4,0,0,0,,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
4,5.0,101.0,5.0,5.0,2024-10-07,KAN,,NOR,"W, 26-13",*,28,39,71.8,331,0,1,8.5,7.33,86.6,2,10,6,22,0,3.7,0,0,0,,0,,,0,0,0,0,0,0,84,100.0,0,0.0,0,0.0
5,6.0,102.0,6.0,7.0,2024-10-20,KAN,@,SFO,"W, 28-18",*,16,27,59.3,154,0,2,5.7,2.37,44.4,2,9,5,39,1,7.8,0,0,0,,0,,,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
6,7.0,103.0,7.0,8.0,2024-10-27,KAN,@,LVR,"W, 27-20",*,27,38,71.1,262,2,1,6.9,6.76,96.6,1,10,6,17,0,2.8,0,0,0,,0,,,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
7,8.0,104.0,8.0,9.0,2024-11-04,KAN,,TAM,"W, 30-24 (OT)",*,34,44,77.3,291,3,0,6.6,7.98,116.8,4,31,2,9,0,4.5,0,0,0,,0,,,0,0,0,0,0,0,85,100.0,0,0.0,0,0.0
8,9.0,105.0,9.0,10.0,2024-11-10,KAN,,DEN,"W, 16-14",*,28,42,66.7,266,1,0,6.3,6.81,92.0,4,23,3,19,0,6.3,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
9,10.0,106.0,10.0,11.0,2024-11-17,KAN,@,BUF,"L, 21-30",*,23,33,69.7,196,3,2,5.9,5.03,90.0,2,15,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
10,11.0,107.0,11.0,12.0,2024-11-24,KAN,@,CAR,"W, 30-27",*,27,37,73.0,269,3,0,7.3,8.89,120.2,5,43,5,60,0,12.0,0,0,0,,0,,,1,0,0,0,0,0,74,100.0,0,0.0,0,0.0
11,12.0,108.0,12.0,13.0,2024-11-29,KAN,,LVR,"W, 19-17",*,26,46,56.5,306,1,0,6.7,7.09,84.1,5,40,2,4,0,2.0,0,0,0,,0,,,1,0,0,1,0,0,71,100.0,0,0.0,0,0.0
12,13.0,109.0,13.0,14.0,2024-12-08,KAN,,LAC,"W, 19-17",*,24,37,64.9,210,1,0,5.7,6.22,88.8,3,8,4,17,0,4.3,0,0,0,,0,,,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
13,14.0,110.0,14.0,15.0,2024-12-15,KAN,@,CLE,"W, 21-7",*,19,38,50.0,159,2,0,4.2,5.24,78.7,0,0,2,14,0,7.0,0,0,0,,0,,,0,0,0,0,0,0,67,89.3,0,0.0,0,0.0
14,15.0,111.0,15.0,16.0,2024-12-21,KAN,,HOU,"W, 27-19",*,28,41,68.3,260,1,0,6.3,6.83,93.5,1,9,5,33,1,6.6,0,0,0,,0,,,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
15,16.0,112.0,16.0,17.0,2024-12-25,KAN,@,PIT,"W, 29-10",*,29,38,76.3,320,3,0,8.4,10.00,127.1,0,0,1,12,0,12.0,0,0,0,,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
16,16.0,,17.0,18.0,2025-01-05,KAN,@,DEN,"L, 0-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,15-1,,392,581,67.5,3928,26,11,6.8,6.80,93.5,36,239,58,307,2,5.3,1,1,2,2.0,0,100.0,2.0,2,0,0,1,0,0,1106,99.3,0,0.0,0,0.0
