,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2022-09-12,DEN,@,SEA,"L, 16-17",*,0.0,4,3,1,0,0,0,0,0,0,0,0,0.0,55,100.0,0,0.0
1,2.0,18.0,2.0,2.0,2022-09-18,DEN,,HOU,"W, 16-9",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0,25,39.7,0,0.0
2,3.0,19.0,3.0,3.0,2022-09-25,DEN,,SFO,"W, 11-10",*,0.0,1,1,0,0,0,0,0,0,0,2,0,0.0,56,100.0,2,7.1
3,4.0,20.0,4.0,4.0,2022-10-02,DEN,@,LVR,"L, 23-32",*,0.0,8,6,2,0,0,0,0,0,0,2,0,0.0,75,100.0,1,3.1
4,5.0,21.0,5.0,5.0,2022-10-06,DEN,,IND,"L, 9-12 (OT)",*,0.0,7,4,3,0,0,0,0,0,0,0,0,0.0,79,100.0,1,3.2
5,6.0,22.0,6.0,6.0,2022-10-17,DEN,@,LAC,"L, 16-19 (OT)",*,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,93,100.0,1,3.3
6,7.0,23.0,7.0,7.0,2022-10-23,DEN,,NYJ,"L, 9-16",*,0.0,3,3,0,0,0,0,0,0,0,0,0,0.0,59,100.0,2,7.1
7,8.0,24.0,8.0,8.0,2022-10-30,DEN,@,JAX,"W, 21-17",*,0.0,5,3,2,1,0,0,0,0,0,0,0,0.0,72,100.0,0,0.0
8,9.0,25.0,9.0,10.0,2022-11-13,DEN,@,TEN,"L, 10-17",*,0.0,3,2,1,0,0,0,0,0,0,1,0,0.0,62,100.0,1,3.4
9,10.0,26.0,10.0,11.0,2022-11-20,DEN,,LVR,"L, 16-22 (OT)",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0,66,100.0,0,0.0
10,11.0,27.0,11.0,12.0,2022-11-27,DEN,@,CAR,"L, 10-23",*,0.0,5,5,0,0,0,0,0,0,0,1,0,0.0,66,100.0,0,0.0
11,12.0,28.0,12.0,13.0,2022-12-04,DEN,@,BAL,"L, 9-10",*,0.0,7,6,1,1,0,0,0,0,0,1,0,0.0,72,100.0,1,3.8
12,13.0,29.0,13.0,14.0,2022-12-11,DEN,,KAN,"L, 28-34",*,0.0,2,1,1,0,1,0,1,0,0,1,0,0.0,68,100.0,0,0.0
13,14.0,30.0,14.0,15.0,2022-12-18,DEN,,ARI,"W, 24-15",*,0.0,6,4,2,0,0,0,1,-3,0,1,0,0.0,65,100.0,1,3.6
14,15.0,31.0,15.0,16.0,2022-12-25,DEN,@,LAR,"L, 14-51",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0,65,100.0,0,0.0
15,16.0,32.0,16.0,17.0,2023-01-01,DEN,@,KAN,"L, 24-27",*,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,60,100.0,1,3.4
16,17.0,33.0,17.0,18.0,2023-01-08,DEN,,LAC,"W, 31-28",*,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0,68,100.0,0,0.0
17,,,,,,,,,5-12,,0.0,60,46,14,2,1,0,2,-3,0,10,0,0.0,1106,96.7,11,2.3
