,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,35.0,1.0,1.0,2024-09-08,TAM,,WAS,"W, 37-20",*,15,31,0,2.1,6,6,75,12.5,0,100.0,12.5,0,0,0,0,0,0,0,0,0,45,70.3,0,0.0,0,0.0
1,2.0,36.0,2.0,2.0,2024-09-15,TAM,@,DET,"W, 20-16",*,10,18,0,1.8,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,0,0,0,34,70.8,0,0.0,0,0.0
2,3.0,37.0,3.0,3.0,2024-09-22,TAM,,DEN,"L, 7-26",*,6,17,0,2.8,6,5,18,3.6,0,83.3,3.0,0,0,0,0,0,0,0,0,0,42,73.7,0,0.0,0,0.0
3,4.0,38.0,4.0,4.0,2024-09-29,TAM,,PHI,"W, 33-16",*,10,49,0,4.9,3,2,35,17.5,0,66.7,11.7,0,0,0,0,0,0,0,0,0,45,58.4,0,0.0,0,0.0
4,5.0,39.0,5.0,5.0,2024-10-03,TAM,@,ATL,"L, 30-36 (OT)",*,10,72,0,7.2,3,3,-6,-2.0,0,100.0,-2.0,0,0,0,0,0,0,0,0,0,34,64.2,0,0.0,0,0.0
5,5.0,,6.0,6.0,2024-10-13,TAM,@,NOR,"W, 51-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,40.0,7.0,7.0,2024-10-21,TAM,,BAL,"L, 31-41",*,10,40,0,4.0,6,6,71,11.8,2,100.0,11.8,0,0,0,0,0,0,0,0,0,39,47.6,0,0.0,0,0.0
7,7.0,41.0,8.0,8.0,2024-10-27,TAM,,ATL,"L, 26-31",*,6,29,0,4.8,6,5,38,7.6,1,83.3,6.3,0,0,0,1,1,0,0,0,0,41,56.2,0,0.0,0,0.0
8,8.0,42.0,9.0,9.0,2024-11-04,TAM,@,KAN,"L, 24-30 (OT)",*,3,19,1,6.3,3,3,16,5.3,0,100.0,5.3,0,0,0,0,0,0,0,0,0,34,61.8,0,0.0,0,0.0
9,9.0,43.0,10.0,10.0,2024-11-10,TAM,,SFO,"L, 20-23",*,10,31,0,3.1,7,6,39,6.5,1,85.7,5.6,0,0,0,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0
10,10.0,44.0,11.0,12.0,2024-11-24,TAM,@,NYG,"W, 30-7",*,12,37,1,3.1,1,1,10,10.0,0,100.0,10.0,0,0,0,0,0,0,0,0,0,32,49.2,0,0.0,0,0.0
11,11.0,45.0,12.0,13.0,2024-12-01,TAM,@,CAR,"W, 26-23 (OT)",*,11,76,0,6.9,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,0,0,0,42,52.5,0,0.0,0,0.0
12,12.0,46.0,13.0,14.0,2024-12-08,TAM,,LVR,"W, 28-13",*,17,90,1,5.3,3,2,19,9.5,1,66.7,6.3,0,0,0,0,0,0,0,0,0,47,75.8,0,0.0,0,0.0
13,13.0,47.0,14.0,15.0,2024-12-15,TAM,@,LAC,"W, 40-17",*,15,64,0,4.3,2,2,17,8.5,1,100.0,8.5,0,0,0,1,1,0,0,0,0,37,51.4,0,0.0,0,0.0
14,14.0,48.0,15.0,16.0,2024-12-22,TAM,@,DAL,"L, 24-26",*,3,10,0,3.3,8,7,50,7.1,0,87.5,6.3,0,0,0,1,1,0,0,0,0,36,50.0,0,0.0,0,0.0
15,15.0,49.0,16.0,17.0,2024-12-29,TAM,,CAR,"W, 48-14",*,6,30,0,5.0,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,0,0,0,28,36.4,0,0.0,0,0.0
16,16.0,50.0,17.0,18.0,2025-01-05,TAM,,NOR,"W, 27-19",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,18,26.9,0,0.0,0,0.0
17,,,,,,,,,9-7,,144,613,3,4.3,57,51,393,7.7,6,89.5,6.9,0,0,0,3,3,0,0,0,0,591,55.5,0,0.0,0,0.0
