,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,TAM,@,DAL,"W, 19-3",,6,14,0,2.3,2,2,7,3.5,0,100.0,3.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,27.4,0,0.0,16,66.7
1,2.0,2.0,2.0,2.0,2022-09-18,TAM,@,NOR,"W, 20-10",,2,1,0,0.5,2,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,13.4,0,0.0,10,38.5
2,3.0,3.0,3.0,3.0,2022-09-25,TAM,,GNB,"L, 12-14",,0,0,0,,0,0,0,,0,,,1,20,0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.2,0,0.0,10,40.0
3,4.0,4.0,4.0,4.0,2022-10-02,TAM,,KAN,"L, 31-41",,3,6,1,2.0,5,5,50,10.0,0,100.0,10.0,2,51,0,25.5,0.0,0,0,0,0,0,0,1,1,0,0,0,0,24,37.5,0,0.0,11,36.7
4,5.0,5.0,5.0,5.0,2022-10-09,TAM,,ATL,"W, 21-15",,5,14,0,2.8,4,3,28,9.3,0,75.0,7.0,1,18,0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,39.2,0,0.0,7,31.8
5,6.0,6.0,6.0,6.0,2022-10-16,TAM,@,PIT,"L, 18-20",,4,12,0,3.0,4,3,11,3.7,0,75.0,2.8,2,54,0,27.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,16,22.2,0,0.0,10,35.7
6,7.0,7.0,7.0,7.0,2022-10-23,TAM,@,CAR,"L, 3-21",,6,24,0,4.0,2,1,8,8.0,0,50.0,4.0,2,46,0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,43.3,0,0.0,10,41.7
7,8.0,8.0,8.0,8.0,2022-10-27,TAM,,BAL,"L, 22-27",,4,19,0,4.8,3,3,24,8.0,0,100.0,8.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,18,26.5,0,0.0,12,38.7
8,9.0,9.0,9.0,9.0,2022-11-06,TAM,,LAR,"W, 16-13",,8,27,0,3.4,3,3,7,2.3,0,100.0,2.3,1,25,0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,34.5,0,0.0,11,33.3
9,10.0,10.0,10.0,10.0,2022-11-13,TAM,,SEA,"W, 21-16",*,22,105,0,4.8,0,0,0,,0,,,2,30,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,64.0,0,0.0,4,19.0
10,11.0,11.0,11.0,12.0,2022-11-27,TAM,@,CLE,"L, 17-23 (OT)",*,14,64,0,4.6,9,9,45,5.0,0,100.0,5.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,62,89.9,0,0.0,9,29.0
11,12.0,12.0,12.0,13.0,2022-12-05,TAM,,NOR,"W, 17-16",*,9,28,0,3.1,8,6,41,6.8,1,75.0,5.1,0,0,0,,0.0,1,0,1,0,0,0,1,1,0,0,0,0,33,41.3,0,0.0,5,18.5
12,13.0,13.0,13.0,14.0,2022-12-11,TAM,@,SFO,"L, 7-35",*,13,56,0,4.3,5,5,21,4.2,0,100.0,4.2,0,0,0,,0.0,2,2,0,0,0,0,1,1,0,0,0,0,40,52.6,0,0.0,3,14.3
13,14.0,14.0,14.0,15.0,2022-12-18,TAM,,CIN,"L, 23-34",*,11,38,0,3.5,2,1,5,5.0,0,50.0,2.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,39.2,0,0.0,1,4.0
14,15.0,15.0,15.0,16.0,2022-12-25,TAM,@,ARI,"W, 19-16 (OT)",*,7,36,0,5.1,4,4,17,4.3,1,100.0,4.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,35.8,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2023-01-01,TAM,,CAR,"W, 30-24",*,11,22,0,2.0,5,5,26,5.2,0,100.0,5.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,50.0,0,0.0,1,3.2
16,17.0,17.0,17.0,18.0,2023-01-08,TAM,@,ATL,"L, 17-30",*,4,15,0,3.8,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,18.2,0,0.0,0,0.0
17,,,,,,,,,8-9,,129,481,1,3.7,58,50,290,5.8,2,86.2,5.0,11,244,0,22.2,0.0,6,4,2,0,0,0,3,3,0,0,0,0,469,38.6,0,0.0,120,26.1
