,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,SEA,@,DEN,"L, 24-27",,7,8,0,1.1,5,4,35,8.8,0,80.0,7.0,0,0,0,,0,0,0,0,0,0,25,43.9,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2018-09-17,SEA,@,CHI,"L, 17-24",,10,30,0,3.0,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,20,30.3,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2018-09-23,SEA,,DAL,"W, 24-13",,3,5,0,1.7,0,0,0,,0,,,0,0,0,,0,0,0,1,0,0,10,14.5,0,0.0,4,13.8
3,4.0,4.0,4.0,4.0,2018-09-30,SEA,@,ARI,"W, 20-17",,9,49,0,5.4,0,0,0,,0,,,3,65,0,21.7,0,0,0,1,0,0,16,24.2,0,0.0,4,14.3
4,5.0,5.0,5.0,5.0,2018-10-07,SEA,,LAR,"L, 31-33",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,1,3.3
5,6.0,6.0,6.0,6.0,2018-10-14,SEA,@,OAK,"W, 27-3",,9,43,0,4.8,2,2,27,13.5,0,100.0,13.5,2,23,0,11.5,0,0,0,0,0,0,13,20.0,0,0.0,2,10.5
6,7.0,7.0,7.0,8.0,2018-10-28,SEA,@,DET,"W, 28-14",,0,0,0,,0,0,0,,0,,,1,17,0,17.0,0,0,0,0,0,0,0,0.0,0,0.0,2,8.3
7,8.0,8.0,8.0,9.0,2018-11-04,SEA,,LAC,"L, 17-25",,4,11,0,2.8,3,3,13,4.3,0,100.0,4.3,2,35,0,17.5,0,0,0,0,0,0,13,16.0,0,0.0,3,10.7
8,9.0,9.0,9.0,10.0,2018-11-11,SEA,@,LAR,"L, 31-36",,12,108,1,9.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,27,39.7,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-15,SEA,,GNB,"W, 27-24",,8,46,0,5.8,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,17,24.3,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-25,SEA,@,CAR,"W, 30-27",,4,4,0,1.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,10,16.1,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-12-02,SEA,,SFO,"W, 43-16",,7,65,1,9.3,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,12,20.7,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-10,SEA,,MIN,"W, 21-7",,8,44,0,5.5,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,14,21.2,0,0.0,0,0.0
13,13.0,,14.0,15.0,2018-12-16,SEA,@,SFO,"L, 23-26 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13.0,,15.0,16.0,2018-12-23,SEA,,KAN,"W, 38-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,14.0,16.0,17.0,2018-12-30,SEA,,ARI,"W, 27-24",,4,6,0,1.5,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,4,6.3,0,0.0,0,0.0
16,,,,,,,,,9-5,,85,419,2,4.9,12,9,75,8.3,0,75.0,6.3,8,140,0,17.5,0,0,0,2,0,0,181,19.8,0,0.0,16,4.1
