,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,BUF,,ARI,"W, 34-28",,3,13,0,4.3,1,1,14,14.0,0,100.0,14.0,0,0,0,,0,0,0,0,0,0,6,9.7,0,0.0,5,18.5
1,2.0,2.0,2.0,2.0,2024-09-12,BUF,@,MIA,"W, 31-10",,9,29,0,3.2,1,1,-1,-1.0,0,100.0,-1.0,1,25,0,25.0,0,0,0,0,0,0,14,31.1,0,0.0,3,14.3
2,3.0,3.0,3.0,3.0,2024-09-23,BUF,,JAX,"W, 47-10",,7,22,1,3.1,1,1,1,1.0,0,100.0,1.0,0,0,0,,0,0,0,0,0,0,12,18.8,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2024-09-29,BUF,@,BAL,"L, 10-35",,7,11,0,1.6,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,10,16.9,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2024-10-06,BUF,@,HOU,"L, 20-23",,0,0,0,,2,1,4,4.0,0,50.0,2.0,0,0,0,,0,0,0,0,0,0,2,3.3,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2024-10-14,BUF,@,NYJ,"W, 23-20",,20,97,0,4.9,3,3,55,18.3,0,100.0,18.3,0,0,0,,0,0,0,0,0,0,40,58.0,0,0.0,4,16.0
6,7.0,7.0,7.0,7.0,2024-10-20,BUF,,TEN,"W, 34-10",,5,41,1,8.2,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,0,0,0,13,23.6,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2024-10-27,BUF,@,SEA,"W, 31-10",,6,29,0,4.8,0,0,0,,0,,,2,41,0,20.5,0,0,0,0,0,0,17,22.4,0,0.0,3,13.0
8,9.0,9.0,9.0,9.0,2024-11-03,BUF,,MIA,"W, 30-27",,4,20,0,5.0,2,2,70,35.0,1,100.0,35.0,0,0,0,,0,0,0,0,0,0,9,13.6,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2024-11-10,BUF,@,IND,"W, 30-20",,3,6,0,2.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,11,14.9,0,0.0,0,0.0
10,11.0,11.0,11.0,11.0,2024-11-17,BUF,,KAN,"W, 30-21",,5,11,0,2.2,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,15,20.5,0,0.0,3,12.5
11,12.0,12.0,12.0,13.0,2024-12-01,BUF,,SFO,"W, 35-10",,11,63,1,5.7,1,1,4,4.0,0,100.0,4.0,2,43,0,21.5,0,0,0,0,0,0,19,32.8,0,0.0,6,24.0
12,13.0,13.0,13.0,14.0,2024-12-08,BUF,@,LAR,"L, 42-44",,0,0,0,,0,0,0,,0,,,1,14,0,14.0,0,0,0,0,0,0,13,21.7,0,0.0,9,27.3
13,14.0,14.0,14.0,15.0,2024-12-15,BUF,@,DET,"W, 48-42",,7,15,0,2.1,2,2,14,7.0,1,100.0,7.0,0,0,0,,0,0,0,0,0,0,18,25.7,0,0.0,11,30.6
14,15.0,15.0,15.0,16.0,2024-12-22,BUF,,NWE,"W, 24-21",,5,12,0,2.4,1,1,17,17.0,0,100.0,17.0,1,24,0,24.0,0,0,0,0,0,0,14,23.7,0,0.0,6,25.0
15,16.0,16.0,16.0,17.0,2024-12-29,BUF,,NYJ,"W, 40-14",,6,9,0,1.5,1,1,4,4.0,0,100.0,4.0,0,0,0,,0,0,0,0,0,0,16,22.9,0,0.0,6,27.3
16,17.0,17.0,17.0,18.0,2025-01-05,BUF,@,NWE,"L, 16-23",,15,64,0,4.3,3,2,1,0.5,1,66.7,0.3,0,0,0,,0,0,0,0,0,0,35,52.2,0,0.0,0,0.0
17,,,,,,,,,13-4,,113,442,3,3.9,19,17,189,11.1,3,89.5,9.9,7,147,0,21.0,0,0,0,0,0,0,264,24.3,0,0.0,56,12.6
