,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,49.0,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",,2,1,20,20.0,0,50.0,10.0,0,0,0,,2,42,0,21.0,2,23,0,11.5,0,0,0,0,0,0,18,26.5,0,0.0,10,41.7
1,2.0,50.0,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",,2,1,16,16.0,0,50.0,8.0,0,0,0,,0,0,0,,3,23,0,7.7,0,0,0,0,0,0,18,23.7,0,0.0,7,30.4
2,3.0,51.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",,1,1,11,11.0,0,100.0,11.0,0,0,0,,2,23,0,11.5,5,40,0,8.0,1,0,0,1,0,0,10,17.9,0,0.0,13,46.4
3,4.0,52.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",*,3,1,6,6.0,0,33.3,2.0,0,0,0,,1,21,0,21.0,2,34,0,17.0,1,0,0,0,0,0,9,18.0,0,0.0,8,32.0
4,5.0,53.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",,0,0,0,,0,,,0,0,0,,1,5,0,5.0,2,8,0,4.0,0,0,0,0,0,0,18,26.9,0,0.0,8,28.6
5,6.0,54.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",,1,0,0,,0,0.0,0.0,0,0,0,,3,74,0,24.7,1,35,0,35.0,0,0,0,0,0,0,20,33.3,0,0.0,10,45.5
6,7.0,55.0,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",,4,4,65,16.3,1,100.0,16.3,0,0,0,,4,64,0,16.0,0,0,0,,0,0,0,0,0,0,20,25.3,0,0.0,8,28.6
7,8.0,56.0,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",*,2,1,11,11.0,0,50.0,5.5,0,0,0,,2,66,0,33.0,3,34,0,11.3,0,0,0,1,0,0,30,56.6,0,0.0,8,33.3
8,9.0,57.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",,1,1,33,33.0,0,100.0,33.0,0,0,0,,1,29,0,29.0,0,0,0,,0,0,0,0,0,0,7,9.9,0,0.0,9,32.1
9,10.0,58.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,2,13,0,6.5,0,0,0,0,0,0,8,13.8,0,0.0,7,26.9
10,11.0,59.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,0,,2,18,0,9.0,0,0,0,0,0,0,7,10.0,0,0.0,5,29.4
11,12.0,60.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",,0,0,0,,0,,,0,0,0,,2,50,0,25.0,2,34,0,17.0,0,0,0,0,0,0,7,8.3,0,0.0,8,26.7
12,13.0,61.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",,1,1,11,11.0,0,100.0,11.0,3,7,0,2.3,2,54,0,27.0,3,43,0,14.3,0,0,0,0,0,0,28,44.4,0,0.0,5,23.8
13,14.0,62.0,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",,3,1,16,16.0,0,33.3,5.3,0,0,0,,2,67,0,33.5,2,17,0,8.5,0,0,0,0,0,0,27,42.2,0,0.0,11,39.3
14,15.0,63.0,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",,1,0,0,,0,0.0,0.0,1,71,1,71.0,1,23,0,23.0,2,12,0,6.0,0,0,0,0,0,0,19,36.5,0,0.0,8,29.6
15,16.0,64.0,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",,2,1,42,42.0,0,50.0,21.0,0,0,0,,2,48,0,24.0,0,0,0,,0,0,0,0,0,0,28,41.8,0,0.0,9,27.3
16,17.0,65.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",,0,0,0,,0,,,0,0,0,,1,33,0,33.0,2,22,0,11.0,0,0,0,0,0,0,12,19.4,0,0.0,6,23.1
17,,,,,,,,,13-4,,25,14,243,17.4,1,56.0,9.7,4,78,1,19.5,26,599,0,23.0,33,356,0,10.8,2,0,0,2,0,0,286,26.0,0,0.0,140,32.0
