,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,Sfty,Awards
0,1988,27,PHI,NFL,LDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,
1,1989,28,PHI,NFL,LDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,
2,1990,29,PHI,NFL,LDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,
4,1992,31,PHI,NFL,LDE,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,1.0,
5,1993,32,GNB,NFL,LDE,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,
6,1994,33,GNB,NFL,LDE,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,
7,1995,34,GNB,NFL,LDE,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,
8,1996,35,GNB,NFL,LDE,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,
9,1997,36,GNB,NFL,LDE,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0,
10,1998,37,GNB,NFL,LDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,
11,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,15.0,3.0,1.0,
12,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,,,,,,,0.0,0.0,0.0,0.0,10.7,16.0,,,,
13,,,,,,,,,,,,,,,,,,,,,,,
14,GNB (6 Yrs),GNB (6 Yrs),GNB (6 Yrs),GNB (6 Yrs),,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,15.0,3.0,0.0,
15,PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,1.0,
