,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Int,Yds,IntTD,PD,Fmb,FF,FR,Yds.1,FRTD
0,1.0,74.0,1.0,1.0,1990-09-09,PHI,@,NYG,"L, 20-27",*,0.0,0,0,0,0,0,0,,0,,0,0,0
1,2.0,75.0,2.0,2.0,1990-09-16,PHI,,PHO,"L, 21-23",*,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
2,3.0,76.0,3.0,3.0,1990-09-23,PHI,@,RAM,"W, 27-21",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
3,4.0,77.0,4.0,4.0,1990-09-30,PHI,,IND,"L, 23-24",*,3.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
4,5.0,78.0,5.0,6.0,1990-10-15,PHI,,MIN,"W, 32-24",*,1.0,0,0,0,0,0,0,0.0,0,0.0,1,0,0
5,6.0,79.0,6.0,7.0,1990-10-21,PHI,@,WAS,"L, 7-13",*,0.0,0,0,0,0,0,0,,0,,0,0,0
6,7.0,80.0,7.0,8.0,1990-10-28,PHI,@,DAL,"W, 21-20",*,0.0,0,0,0,0,0,0,,0,,0,0,0
7,8.0,81.0,8.0,9.0,1990-11-04,PHI,,NWE,"W, 48-20",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
8,9.0,82.0,9.0,10.0,1990-11-12,PHI,,WAS,"W, 28-14",*,2.0,0,0,0,1,33,0,0.0,0,0.0,0,0,0
9,10.0,83.0,10.0,11.0,1990-11-18,PHI,@,ATL,"W, 24-23",*,0.0,0,0,0,0,0,0,,0,,0,0,0
10,11.0,84.0,11.0,12.0,1990-11-25,PHI,,NYG,"W, 31-13",*,0.5,0,0,0,0,0,0,0.0,0,0.0,0,0,0
11,12.0,85.0,12.0,13.0,1990-12-02,PHI,@,BUF,"L, 23-30",*,0.0,0,0,0,0,0,0,,0,,0,0,0
12,13.0,86.0,13.0,14.0,1990-12-09,PHI,@,MIA,"L, 20-23 (OT)",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
13,14.0,87.0,14.0,15.0,1990-12-16,PHI,,GNB,"W, 31-0",*,1.5,0,0,0,0,0,0,0.0,0,0.0,0,0,0
14,15.0,88.0,15.0,16.0,1990-12-23,PHI,,DAL,"W, 17-3",*,0.0,0,0,0,0,0,0,,0,,0,0,0
15,16.0,89.0,16.0,17.0,1990-12-29,PHI,@,PHO,"W, 23-21",*,1.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
16,,,,,,,,,10-6,,14.0,0,0,0,1,33,0,0.0,0,0.0,1,0,0
