,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,42.0,1.0,1.0,2024-09-08,NWE,@,CIN,"W, 16-10",*,25,120,1,4.8,3,3,6,2.0,0,100.0,2.0,1,0,0,1,0,0,51,78.5,0,0.0,0,0.0
1,2.0,43.0,2.0,2.0,2024-09-15,NWE,,SEA,"L, 20-23 (OT)",*,21,81,1,3.9,5,2,9,4.5,0,40.0,1.8,1,0,0,0,0,0,49,72.1,0,0.0,0,0.0
2,3.0,44.0,3.0,3.0,2024-09-19,NWE,@,NYJ,"L, 3-24",*,6,23,0,3.8,0,0,0,,0,,,1,1,0,0,0,0,24,46.2,0,0.0,0,0.0
3,4.0,45.0,4.0,4.0,2024-09-29,NWE,@,SFO,"L, 13-30",*,13,43,0,3.3,5,4,19,4.8,0,80.0,3.8,1,1,0,0,0,0,35,54.7,0,0.0,0,0.0
4,5.0,46.0,5.0,5.0,2024-10-06,NWE,,MIA,"L, 10-15",,12,89,1,7.4,4,4,3,0.8,0,100.0,0.8,0,0,0,0,0,0,28,46.7,0,0.0,0,0.0
5,5.0,,6.0,6.0,2024-10-13,NWE,,HOU,"L, 21-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,47.0,7.0,7.0,2024-10-20,NWE,@,JAX,"L, 16-32",*,7,18,0,2.6,3,2,7,3.5,0,66.7,2.3,0,0,0,0,0,0,30,50.0,0,0.0,0,0.0
7,7.0,48.0,8.0,8.0,2024-10-27,NWE,,NYJ,"W, 25-22",*,20,48,2,2.4,3,3,17,5.7,0,100.0,5.7,0,0,0,0,0,0,54,80.6,0,0.0,0,0.0
8,8.0,49.0,9.0,9.0,2024-11-03,NWE,@,TEN,"L, 17-20 (OT)",*,10,16,1,1.6,5,5,38,7.6,1,100.0,7.6,0,0,0,1,0,0,51,73.9,0,0.0,0,0.0
9,9.0,50.0,10.0,10.0,2024-11-10,NWE,@,CHI,"W, 19-3",*,20,74,0,3.7,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,45,70.3,0,0.0,0,0.0
10,10.0,51.0,11.0,11.0,2024-11-17,NWE,,LAR,"L, 22-28",*,20,73,0,3.7,4,4,16,4.0,0,100.0,4.0,1,0,0,1,0,0,58,76.3,0,0.0,0,0.0
11,11.0,52.0,12.0,12.0,2024-11-24,NWE,@,MIA,"L, 15-34",*,8,13,0,1.6,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,29,42.0,0,0.0,0,0.0
12,12.0,53.0,13.0,13.0,2024-12-01,NWE,,IND,"L, 24-25",*,18,73,0,4.1,3,3,21,7.0,0,100.0,7.0,1,0,0,1,0,0,56,77.8,0,0.0,0,0.0
13,13.0,54.0,14.0,15.0,2024-12-15,NWE,@,ARI,"L, 17-30",*,13,69,0,5.3,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,33,64.7,0,0.0,0,0.0
14,14.0,55.0,15.0,16.0,2024-12-22,NWE,@,BUF,"L, 21-24",*,12,60,1,5.0,1,1,13,13.0,0,100.0,13.0,1,1,0,0,0,0,32,43.8,0,0.0,0,0.0
15,15.0,56.0,16.0,17.0,2024-12-28,NWE,,LAC,"L, 7-40",*,2,1,0,0.5,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,24,45.3,0,0.0,0,0.0
16,15.0,,17.0,18.0,2025-01-05,NWE,,BUF,"W, 23-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,3-12,,207,801,7,3.9,41,33,168,5.1,1,80.5,4.1,7,3,0,4,0,0,599,62.2,0,0.0,0,0.0
