,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,DAL,@,LAR,"L, 17-20",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,10,38.5
1,1.0,,2.0,2.0,2020-09-20,DAL,,ATL,"W, 40-39",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2.0,2.0,3.0,3.0,2020-09-27,DAL,@,SEA,"L, 31-38",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,3,8.8
3,3.0,3.0,4.0,4.0,2020-10-04,DAL,,CLE,"L, 38-49",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,11,35.5
4,4.0,4.0,5.0,5.0,2020-10-11,DAL,,NYG,"W, 37-34",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,11,32.4
5,5.0,5.0,6.0,6.0,2020-10-19,DAL,,ARI,"L, 10-38",,3,13,0,4.3,0,0,0,,0.0,0,0,0,0,0,0,3,3.4,0,0.0,13,48.1
6,6.0,6.0,7.0,7.0,2020-10-25,DAL,@,WAS,"L, 3-25",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,10,50.0
7,7.0,7.0,8.0,8.0,2020-11-01,DAL,@,PHI,"L, 9-23",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,11,52.4
8,8.0,8.0,9.0,9.0,2020-11-08,DAL,,PIT,"L, 19-24",,0,0,0,,1,64,0,64.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,14,51.9
9,9.0,9.0,10.0,11.0,2020-11-22,DAL,@,MIN,"W, 31-28",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,15,57.7
10,10.0,10.0,11.0,12.0,2020-11-26,DAL,,WAS,"L, 16-41",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,15,51.7
11,11.0,11.0,12.0,13.0,2020-12-08,DAL,@,BAL,"L, 17-34",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,13,46.4
12,12.0,12.0,13.0,14.0,2020-12-13,DAL,@,CIN,"W, 30-7",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,14,66.7
13,13.0,13.0,14.0,15.0,2020-12-20,DAL,,SFO,"W, 41-33",,4,11,0,2.8,3,88,0,29.3,0.0,0,0,0,0,0,0,8,13.8,0,0.0,22,57.9
14,14.0,14.0,15.0,16.0,2020-12-27,DAL,,PHI,"W, 37-17",,0,0,0,,0,0,0,,0.0,1,0,1,0,0,0,1,1.4,0,0.0,18,58.1
15,15.0,15.0,16.0,17.0,2021-01-03,DAL,@,NYG,"L, 19-23",,0,0,0,,0,0,0,,0.0,3,1,2,0,0,0,1,1.2,0,0.0,21,70.0
16,,,,,,,,,5-10,,7,24,0,3.4,4,152,0,38.0,0.0,4,1,3,0,0,0,13,1.2,0,0.0,201,47.5
