,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,157.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,12,15.2,0,0.0,0,0.0
1,2.0,158.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",,0,0,0,,0,,,2,61,0,30.5,0,0,0,,0,0,0,0,0,0,9,14.5,0,0.0,2,6.7
2,3.0,159.0,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",,2,2,18,9.0,0,100.0,9.0,0,0,0,,0,0,0,,0,0,0,0,0,0,13,19.4,0,0.0,3,11.5
3,4.0,160.0,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",,3,1,10,10.0,0,33.3,3.3,0,0,0,,1,9,0,9.0,0,0,0,0,0,0,54,72.0,0,0.0,7,24.1
4,5.0,161.0,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",,0,0,0,,0,,,1,31,0,31.0,4,66,0,16.5,0,0,0,0,0,0,16,23.5,0,0.0,13,41.9
5,5.0,,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,162.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",,2,2,18,9.0,0,100.0,9.0,0,0,0,,2,23,0,11.5,0,0,0,0,0,0,24,33.8,0,0.0,7,21.2
8,7.0,163.0,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",*,3,2,44,22.0,0,66.7,14.7,0,0,0,,0,0,0,,0,0,0,0,0,0,39,49.4,0,0.0,0,0.0
9,8.0,164.0,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",,3,1,1,1.0,0,33.3,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,24,35.3,0,0.0,0,0.0
10,9.0,165.0,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",*,2,2,13,6.5,0,100.0,6.5,1,21,0,21.0,0,0,0,,0,0,0,0,0,0,20,31.3,0,0.0,6,22.2
11,10.0,166.0,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",,1,1,8,8.0,0,100.0,8.0,0,0,0,,5,24,0,4.8,0,0,0,0,0,0,13,23.2,0,0.0,5,14.3
12,11.0,167.0,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",,1,0,0,,0,0.0,0.0,0,0,0,,2,13,0,6.5,0,0,0,0,0,0,21,33.3,0,0.0,8,29.6
13,12.0,168.0,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",,2,2,12,6.0,0,100.0,6.0,0,0,0,,0,0,0,,1,0,0,0,0,0,24,48.0,0,0.0,4,16.0
14,13.0,169.0,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",,6,3,19,6.3,0,50.0,3.2,1,31,0,31.0,0,0,0,,1,0,0,0,0,0,34,57.6,0,0.0,7,29.2
15,14.0,170.0,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",*,2,2,21,10.5,0,100.0,10.5,0,0,0,,0,0,0,,0,0,0,0,0,0,21,37.5,0,0.0,4,16.7
16,15.0,171.0,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",*,3,2,39,19.5,0,66.7,13.0,0,0,0,,1,9,0,9.0,1,1,0,0,0,0,37,61.7,0,0.0,5,21.7
17,,,,,,,,,9-6,,30,20,203,10.2,0,66.7,6.8,5,144,0,28.8,15,144,0,9.6,3,1,0,0,0,0,361,36.9,0,0.0,71,17.1
