,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2020-09-13,ATL,,SEA,"L, 25-38",*,12,9,114,12.7,0,75.0,9.5,0,0,0,,0,0,,0,0,0,,,,0,0,55,68.8,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2020-09-20,ATL,@,DAL,"L, 39-40",*,9,6,46,7.7,1,66.7,5.1,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,62,82.7,0,0.0,0,0.0
2,3.0,34.0,3.0,3.0,2020-09-27,ATL,,CHI,"L, 26-30",*,3,2,26,13.0,0,66.7,8.7,0,0,0,,0,0,,0,0,0,,,,0,0,12,17.6,0,0.0,0,0.0
3,4.0,35.0,4.0,4.0,2020-10-05,ATL,@,GNB,"L, 16-30",,3,2,22,11.0,0,66.7,7.3,1,-2,0,-2.0,0,0,,0,0,0,,,,0,0,47,67.1,0,0.0,0,0.0
4,5.0,36.0,5.0,5.0,2020-10-11,ATL,,CAR,"L, 16-23",,5,2,16,8.0,0,40.0,3.2,0,0,0,,0,0,,0,0,0,,,,0,0,40,61.5,0,0.0,0,0.0
5,6.0,37.0,6.0,6.0,2020-10-18,ATL,@,MIN,"W, 40-23",,4,4,65,16.3,0,100.0,16.3,0,0,0,,0,0,,0,0,0,,,,0,0,51,63.8,0,0.0,0,0.0
6,7.0,38.0,7.0,7.0,2020-10-25,ATL,,DET,"L, 22-23",,7,6,54,9.0,0,85.7,7.7,0,0,0,,0,0,,0,0,0,,,,0,0,24,32.0,0,0.0,0,0.0
7,8.0,39.0,8.0,8.0,2020-10-29,ATL,@,CAR,"W, 25-17",,3,2,25,12.5,0,66.7,8.3,0,0,0,,0,0,,0,0,0,,,,0,0,39,55.7,0,0.0,0,0.0
8,9.0,40.0,9.0,9.0,2020-11-08,ATL,,DEN,"W, 34-27",,6,2,11,5.5,0,33.3,1.8,0,0,0,,0,0,,0,0,0,,,,0,0,39,54.9,0,0.0,2,5.7
9,10.0,41.0,10.0,11.0,2020-11-22,ATL,@,NOR,"L, 9-24",,12,7,58,8.3,0,58.3,4.8,0,0,0,,0,0,,0,0,0,,,,0,0,49,79.0,0,0.0,0,0.0
10,11.0,42.0,11.0,12.0,2020-11-29,ATL,,LVR,"W, 43-6",*,5,3,34,11.3,0,60.0,6.8,0,0,0,,0,0,,0,0,0,,,,0,0,69,88.5,0,0.0,0,0.0
11,12.0,43.0,12.0,13.0,2020-12-06,ATL,,NOR,"L, 16-21",,8,4,51,12.8,1,50.0,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,52,77.6,0,0.0,0,0.0
12,13.0,44.0,13.0,14.0,2020-12-13,ATL,@,LAC,"L, 17-20",*,7,5,82,16.4,0,71.4,11.7,0,0,0,,1,1,100.0,39,1,0,39.0,59.0,158.3,0,0,41,71.9,0,0.0,0,0.0
13,14.0,45.0,14.0,15.0,2020-12-20,ATL,,TAM,"L, 27-31",*,10,5,68,13.6,1,50.0,6.8,0,0,0,,0,0,,0,0,0,,,,0,0,59,90.8,0,0.0,0,0.0
14,15.0,46.0,15.0,16.0,2020-12-27,ATL,@,KAN,"L, 14-17",*,5,4,23,5.8,0,80.0,4.6,0,0,0,,0,0,,0,0,0,,,,0,0,62,91.2,0,0.0,0,0.0
15,16.0,47.0,16.0,17.0,2021-01-03,ATL,@,TAM,"L, 27-44",*,10,9,91,10.1,1,90.0,9.1,1,11,0,11.0,0,0,,0,0,0,,,,0,0,61,84.7,0,0.0,0,0.0
16,,,,,,,,,4-12,,109,72,786,10.9,4,66.1,7.2,2,9,0,4.5,1,2,50.0,39,1,0,19.5,29.5,135.4,0,0,762,67.9,0,0.0,2,0.4
