,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2012-09-09,SEA,@,ARI,"L, 16-20",*,18,34,52.9,153,1,1,4.5,3.76,62.5,3,14,8,20,0,2.5,1,1,0,1,-8,0,75,100.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2012-09-16,SEA,,DAL,"W, 27-7",*,15,20,75.0,151,1,0,7.6,8.55,112.7,2,18,4,28,0,7.0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2012-09-24,SEA,,GNB,"W, 14-12",*,10,21,47.6,130,2,0,6.2,8.1,99.3,1,19,3,18,0,6.0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2012-09-30,SEA,@,STL,"L, 13-19",*,17,25,68.0,160,0,3,6.4,1.0,45.8,2,20,7,14,0,2.0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2012-10-07,SEA,@,CAR,"W, 16-12",*,19,25,76.0,221,1,2,8.8,6.04,82.2,2,9,5,12,0,2.4,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2012-10-14,SEA,,NWE,"W, 24-23",*,16,27,59.3,293,3,0,10.9,13.07,133.7,2,10,5,17,0,3.4,1,1,0,0,0,0,57,100.0,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2012-10-18,SEA,@,SFO,"L, 6-13",*,9,23,39.1,122,0,1,5.3,3.35,38.7,2,7,3,10,0,3.3,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2012-10-28,SEA,@,DET,"L, 24-28",*,25,35,71.4,236,2,1,6.7,6.6,96.8,0,0,1,9,0,9.0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2012-11-04,SEA,,MIN,"W, 30-20",*,16,24,66.7,173,3,0,7.2,9.71,127.3,1,8,9,27,0,3.0,1,0,0,0,-1,0,75,100.0,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2012-11-11,SEA,,NYJ,"W, 28-7",*,12,19,63.2,188,2,0,9.9,12.0,131.0,4,22,7,34,0,4.9,2,1,0,0,0,0,72,100.0,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2012-11-25,SEA,@,MIA,"L, 21-24",*,21,27,77.8,224,2,0,8.3,9.78,125.9,2,8,5,38,0,7.6,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2012-12-02,SEA,@,CHI,"W, 23-17 (OT)",*,23,37,62.2,293,2,0,7.9,9.0,104.9,2,10,9,71,0,7.9,0,0,0,1,0,0,71,100.0,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2012-12-09,SEA,,ARI,"W, 58-0",*,7,13,53.8,148,1,1,11.4,9.46,88.0,1,7,3,12,0,4.0,0,0,0,0,0,0,39,56.5,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2012-12-16,SEA,@,BUF,"W, 50-17",*,14,23,60.9,205,1,0,8.9,9.78,104.4,2,9,9,92,3,10.2,0,0,0,0,0,0,54,93.1,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2012-12-23,SEA,,SFO,"W, 42-13",*,15,21,71.4,171,4,1,8.1,9.81,115.3,1,1,6,29,0,4.8,0,0,0,0,0,0,62,95.4,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2012-12-30,SEA,,STL,"W, 20-13",*,15,19,78.9,250,1,0,13.2,14.21,136.3,6,41,10,58,1,5.8,1,0,0,1,0,0,60,100.0,0,0.0,0,0.0
16,,,,,,,,,11-5,,252,393,64.1,3118,26,10,7.9,8.11,100.0,33,203,94,489,4,5.2,6,3,0,3,-9,0,979,96.4,0,0.0,0,0.0
