,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2018,36,TAM,NFL,QB,8.0,7.0,164.0,246.0,2546.0,10.3,1492.0,9.1,6.1,874.0,5.3,0.0,6.0,0.0,8.0,3.3,36.0,15.0,,,2.4,76.0,24.0,27.0,65.0,23.0,23.0,6.2,,,,,,,,,
1,2019,37,MIA,NFL,QB,15.0,13.0,311.0,502.0,4467.0,8.9,2264.0,7.3,4.5,1265.0,4.1,15.0,7.0,3.0,28.0,5.7,87.0,17.7,358.0,72.8,2.3,192.0,48.0,66.0,154.0,26.7,35.0,7.6,15.0,75.0,13.0,75.0,0.0,0.0,66.0,564.0,
2,2020,38,MIA,NFL,QB,9.0,7.0,183.0,267.0,2072.0,7.8,1236.0,6.8,4.6,855.0,4.7,5.0,2.0,1.0,10.0,3.8,37.0,14.0,211.0,79.9,2.2,99.0,22.0,31.0,67.0,22.6,15.0,8.0,16.0,109.0,14.0,109.0,1.0,0.0,41.0,341.0,
3,2021,39,WAS,NFL,QB,1.0,1.0,3.0,6.0,4.0,0.7,7.0,2.3,1.2,6.0,2.0,0.0,0.0,0.0,1.0,16.7,1.0,16.7,5.0,83.3,1.8,0.0,1.0,2.0,4.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,33.0,28.0,661.0,1021.0,9089.0,8.9,4999.0,7.6,4.9,3000.0,4.5,20.0,15.0,4.0,47.0,4.7,161.0,16.1,574.0,57.3,2.2,367.0,95.0,126.0,290.0,24.9,74.0,7.2,31.0,184.0,27.0,184.0,1.0,0.0,109.0,907.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,341.0,526.0,4682.0,8.9,2575.0,7.6,4.9,1545.0,4.5,10.0,8.0,2.0,24.0,4.7,83.0,16.1,,,2.2,189.0,49.0,65.0,149.0,24.9,38.0,7.2,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,24.0,20.0,494.0,769.0,6539.0,8.5,3500.0,7.1,4.6,2120.0,4.3,20.0,9.0,4.0,38.0,5.0,124.0,16.4,569.0,75.3,2.3,291.0,70.0,97.0,221.0,25.3,50.0,7.7,31.0,184.0,27.0,184.0,1.0,0.0,107.0,905.0,
8,TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),,8.0,7.0,164.0,246.0,2546.0,10.3,1492.0,9.1,6.1,874.0,5.3,0.0,6.0,0.0,8.0,3.3,36.0,15.0,,,2.4,76.0,24.0,27.0,65.0,23.0,23.0,6.2,,,,,,,,,
9,WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,1.0,1.0,3.0,6.0,4.0,0.7,7.0,2.3,1.2,6.0,2.0,0.0,0.0,0.0,1.0,16.7,1.0,16.7,5.0,83.3,1.8,0.0,1.0,2.0,4.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,
