,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,142.0,1.0,1.0,2019-09-08,MIA,,BAL,"L, 10-59",*,14,29,48.3,185,1,1,6.4,5.52,66.0,2,5,1,8,0,8.0,0,0,0,0,0,0,44,89.8,0,0.0,0,0.0
1,2.0,143.0,2.0,2.0,2019-09-15,MIA,,NWE,"L, 0-43",*,11,21,52.4,89,0,3,4.2,-2.19,23.8,4,23,1,6,0,6.0,0,0,0,0,0,0,38,61.3,0,0.0,0,0.0
2,3.0,144.0,3.0,3.0,2019-09-22,MIA,@,DAL,"L, 6-31",,2,2,100.0,29,0,0,14.5,14.50,118.7,0,0,0,0,0,,0,0,0,0,0,0,5,7.1,0,0.0,0,0.0
3,3.0,,4.0,4.0,2019-09-29,MIA,,LAC,"L, 10-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,4.0,145.0,5.0,6.0,2019-10-13,MIA,,WAS,"L, 16-17",,12,18,66.7,132,1,0,7.3,8.44,106.7,0,0,2,5,0,2.5,0,0,0,0,0,0,27,36.0,0,0.0,0,0.0
5,5.0,146.0,6.0,7.0,2019-10-20,MIA,@,BUF,"L, 21-31",*,23,35,65.7,282,1,1,8.1,7.34,88.0,0,0,6,13,1,2.2,2,0,0,1,-6,0,72,100.0,0,0.0,0,0.0
6,6.0,147.0,7.0,8.0,2019-10-28,MIA,@,PIT,"L, 14-27",*,21,34,61.8,190,2,2,5.6,4.12,71.9,4,20,5,17,0,3.4,2,1,0,1,0,0,57,95.0,0,0.0,0,0.0
7,7.0,148.0,8.0,9.0,2019-11-03,MIA,,NYJ,"W, 26-18",*,24,36,66.7,288,3,0,8.0,9.67,118.7,4,22,5,2,0,0.4,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
8,8.0,149.0,9.0,10.0,2019-11-10,MIA,@,IND,"W, 16-12",*,21,33,63.6,169,0,1,5.1,3.76,63.8,3,10,4,23,1,5.8,0,0,0,0,0,0,62,93.9,0,0.0,0,0.0
9,9.0,150.0,10.0,11.0,2019-11-17,MIA,,BUF,"L, 20-37",*,32,45,71.1,323,0,0,7.2,7.18,91.2,7,43,1,0,0,0.0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
10,10.0,151.0,11.0,12.0,2019-11-24,MIA,@,CLE,"L, 24-41",*,21,39,53.8,214,2,2,5.5,4.21,65.5,4,22,5,45,1,9.0,1,0,0,1,0,0,63,100.0,0,0.0,0,0.0
11,11.0,152.0,12.0,13.0,2019-12-01,MIA,,PHI,"W, 37-31",*,27,39,69.2,365,3,1,9.4,9.74,113.7,3,15,3,2,0,0.7,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
12,12.0,153.0,13.0,14.0,2019-12-08,MIA,@,NYJ,"L, 21-22",*,21,37,56.8,245,0,1,6.6,5.41,65.7,2,5,7,65,0,9.3,2,0,0,1,0,0,72,100.0,0,0.0,0,0.0
13,13.0,154.0,14.0,15.0,2019-12-15,MIA,@,NYG,"L, 20-36",*,23,41,56.1,279,2,0,6.8,7.78,93.4,3,17,4,33,0,8.3,1,1,0,0,0,0,71,100.0,0,0.0,0,0.0
14,14.0,155.0,15.0,16.0,2019-12-22,MIA,,CIN,"W, 38-35 (OT)",*,31,52,59.6,419,4,1,8.1,8.73,103.0,2,13,5,9,0,1.8,0,0,0,0,0,0,90,100.0,0,0.0,0,0.0
15,15.0,156.0,16.0,17.0,2019-12-29,MIA,@,NWE,"W, 27-24",*,28,41,68.3,320,1,0,7.8,8.29,99.6,2,14,5,15,1,3.0,1,0,0,1,-2,0,68,100.0,0,0.0,0,0.0
16,,,,,,,,,5-10,,311,502,62.0,3529,20,13,7.0,6.66,85.5,40,209,54,243,4,4.5,9,2,0,5,-8,0,878,85.5,0,0.0,0,0.0
