,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,67.0,1.0,1.0,2024-09-08,MIN,@,NYG,"W, 28-6",*,19,24,79.2,208,2,1,8.7,8.46,113.2,1,7,3,3,0,1.0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
1,2.0,68.0,2.0,2.0,2024-09-15,MIN,,SFO,"W, 23-17",*,17,26,65.4,268,2,1,10.3,10.12,109.1,3,10,5,32,0,6.4,2,0,0,1,-13,0,54,100.0,0,0.0,0,0.0
2,3.0,69.0,3.0,3.0,2024-09-22,MIN,,HOU,"W, 34-7",*,17,28,60.7,181,4,0,6.5,9.32,119.2,4,25,0,0,0,,1,0,0,0,0,0,61,96.8,0,0.0,0,0.0
3,4.0,70.0,4.0,4.0,2024-09-29,MIN,@,GNB,"W, 31-29",*,20,28,71.4,275,3,1,9.8,10.36,123.4,2,21,7,15,0,2.1,1,1,0,0,0,0,68,100.0,0,0.0,0,0.0
4,5.0,71.0,5.0,5.0,2024-10-06,MIN,,NYJ,"W, 23-17",*,14,31,45.2,179,0,1,5.8,4.32,50.3,4,32,5,11,0,2.2,1,1,0,0,-7,0,72,98.6,0,0.0,0,0.0
5,6.0,72.0,6.0,7.0,2024-10-20,MIN,,DET,"L, 29-31",*,22,27,81.5,259,1,1,9.6,8.67,103.5,4,15,4,39,0,9.8,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
6,7.0,73.0,7.0,8.0,2024-10-24,MIN,@,LAR,"L, 20-30",*,18,25,72.0,240,2,0,9.6,11.2,128.7,3,28,3,6,0,2.0,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
7,8.0,74.0,8.0,9.0,2024-11-03,MIN,,IND,"W, 21-13",*,28,34,82.4,290,3,2,8.5,7.65,107.1,4,30,4,14,0,3.5,1,1,0,0,0,0,73,100.0,0,0.0,0,0.0
8,9.0,75.0,9.0,10.0,2024-11-10,MIN,@,JAX,"W, 12-7",*,24,38,63.2,241,0,3,6.3,2.79,48.2,1,8,7,28,0,4.0,0,0,0,0,0,0,84,100.0,0,0.0,0,0.0
9,10.0,76.0,10.0,11.0,2024-11-17,MIN,@,TEN,"W, 23-13",*,20,32,62.5,246,2,0,7.7,8.94,107.0,2,10,8,18,1,2.3,1,1,0,0,-7,0,73,100.0,0,0.0,0,0.0
10,11.0,77.0,11.0,12.0,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",*,22,34,64.7,330,2,0,9.7,10.88,116.1,3,16,2,-1,0,-0.5,0,0,0,0,0,0,69,97.2,0,0.0,0,0.0
11,12.0,78.0,12.0,13.0,2024-12-01,MIN,,ARI,"W, 23-22",*,21,31,67.7,235,2,0,7.6,8.87,111.6,5,30,4,22,0,5.5,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
12,13.0,79.0,13.0,14.0,2024-12-08,MIN,,ATL,"W, 42-21",*,22,28,78.6,347,5,0,12.4,15.96,157.9,4,29,4,7,0,1.8,0,0,0,0,0,0,58,96.7,0,0.0,0,0.0
13,14.0,80.0,14.0,15.0,2024-12-16,MIN,,CHI,"W, 30-12",*,24,40,60.0,231,1,1,5.8,5.15,74.1,2,16,0,0,0,,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
14,15.0,81.0,15.0,16.0,2024-12-22,MIN,@,SEA,"W, 27-24",*,22,35,62.9,246,3,0,7.0,8.74,112.3,3,29,5,11,0,2.2,1,0,0,1,0,0,66,100.0,0,0.0,0,0.0
15,16.0,82.0,16.0,17.0,2024-12-29,MIN,,GNB,"W, 27-25",*,33,43,76.7,377,3,1,8.8,9.12,116.1,1,5,3,-3,0,-1.0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
16,17.0,83.0,17.0,18.0,2025-01-05,MIN,@,DET,"L, 9-31",*,18,41,43.9,166,0,0,4.0,4.05,55.5,2,24,3,10,0,3.3,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
17,,,,,,,,,14-3,,361,545,66.2,4319,35,12,7.9,8.22,102.5,48,335,67,212,1,3.2,8,4,0,2,-27,0,1110,99.4,0,0.0,0,0.0
