,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2019-09-08,NYG,@,DAL,"L, 17-35",*,11,120,0,10.9,6,4,19,4.8,0,66.7,3.2,1,0,0,0,0,0,54,79.4,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2019-09-15,NYG,,BUF,"L, 14-28",*,18,107,1,5.9,7,3,28,9.3,0,42.9,4.0,0,0,0,0,0,0,60,88.2,0,0.0,0,0.0
2,3.0,19.0,3.0,3.0,2019-09-22,NYG,@,TAM,"W, 32-31",*,8,10,0,1.3,5,4,27,6.8,0,80.0,5.4,0,0,0,0,0,0,23,37.1,0,0.0,0,0.0
3,3.0,,4.0,4.0,2019-09-29,NYG,,WAS,"W, 24-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2019-10-06,NYG,,MIN,"L, 10-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,,6.0,6.0,2019-10-10,NYG,@,NWE,"L, 14-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,4.0,20.0,7.0,7.0,2019-10-20,NYG,,ARI,"L, 21-27",*,18,72,1,4.0,5,3,8,2.7,0,60.0,1.6,0,0,0,0,0,0,60,85.7,0,0.0,0,0.0
7,5.0,21.0,8.0,8.0,2019-10-27,NYG,@,DET,"L, 26-31",*,19,64,0,3.4,10,8,79,9.9,1,80.0,7.9,0,0,0,0,0,0,61,82.4,0,0.0,0,0.0
8,6.0,22.0,9.0,9.0,2019-11-04,NYG,,DAL,"L, 18-37",*,14,28,0,2.0,8,6,67,11.2,0,75.0,8.4,0,0,0,0,0,0,58,81.7,0,0.0,0,0.0
9,7.0,23.0,10.0,10.0,2019-11-10,NYG,@,NYJ,"L, 27-34",*,13,1,0,0.1,5,5,30,6.0,0,100.0,6.0,0,0,0,1,0,0,57,82.6,0,0.0,0,0.0
10,8.0,24.0,11.0,12.0,2019-11-24,NYG,@,CHI,"L, 14-19",*,17,59,0,3.5,3,2,1,0.5,0,66.7,0.3,0,0,0,0,0,0,58,96.7,0,0.0,0,0.0
11,9.0,25.0,12.0,13.0,2019-12-01,NYG,,GNB,"L, 13-31",*,19,83,0,4.4,7,3,32,10.7,0,42.9,4.6,0,0,0,0,0,0,63,95.5,0,0.0,0,0.0
12,10.0,26.0,13.0,14.0,2019-12-09,NYG,@,PHI,"L, 17-23 (OT)",*,17,66,0,3.9,4,3,1,0.3,0,75.0,0.3,0,0,0,1,0,0,49,94.2,0,0.0,0,0.0
13,11.0,27.0,14.0,15.0,2019-12-15,NYG,,MIA,"W, 36-20",*,24,112,2,4.7,5,4,31,7.8,0,80.0,6.2,0,0,0,0,0,0,53,79.1,0,0.0,1,3.3
14,12.0,28.0,15.0,16.0,2019-12-22,NYG,@,WAS,"W, 41-35 (OT)",*,22,189,1,8.6,4,4,90,22.5,1,100.0,22.5,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
15,13.0,29.0,16.0,17.0,2019-12-29,NYG,,PHI,"L, 17-34",*,17,92,1,5.4,4,3,25,8.3,0,75.0,6.3,0,0,0,0,0,0,64,86.5,0,0.0,0,0.0
16,,,,,,,,,3-10,,217,1003,6,4.6,73,52,438,8.4,2,71.2,6.0,1,0,0,2,0,0,728,83.6,0,0.0,1,0.3
