,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,56.0,1.0,1.0,2019-09-08,MIN,,ATL,"W, 28-12",*,2,2,37,18.5,0,100.0,18.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,32,60.4,0,0.0,0,0.0
1,2.0,57.0,2.0,2.0,2019-09-15,MIN,@,GNB,"L, 16-21",*,7,1,49,49.0,1,14.3,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,58,89.2,0,0.0,0,0.0
2,3.0,58.0,3.0,3.0,2019-09-22,MIN,,OAK,"W, 34-14",*,3,3,15,5.0,0,100.0,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,44,71.0,0,0.0,0,0.0
3,4.0,59.0,4.0,4.0,2019-09-29,MIN,@,CHI,"L, 6-16",*,7,7,108,15.4,0,100.0,15.4,0,0,0,,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,51,85.0,0,0.0,0,0.0
4,5.0,60.0,5.0,5.0,2019-10-06,MIN,@,NYG,"W, 28-10",*,4,3,44,14.7,0,75.0,11.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,74.6,0,0.0,0,0.0
5,6.0,61.0,6.0,6.0,2019-10-13,MIN,,PHI,"W, 38-20",*,11,7,167,23.9,3,63.6,15.2,2,18,0,9.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,44,62.9,0,0.0,0,0.0
6,7.0,62.0,7.0,7.0,2019-10-20,MIN,@,DET,"W, 42-30",*,8,7,143,20.4,0,87.5,17.9,0,0,0,,0,0,,0,0,0,,,,0,0,1,0,0,0,0,0,59,80.8,0,0.0,1,3.4
7,8.0,63.0,8.0,8.0,2019-10-24,MIN,,WAS,"W, 19-9",*,7,7,143,20.4,0,100.0,20.4,0,0,0,,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,57,79.2,0,0.0,0,0.0
8,9.0,64.0,9.0,9.0,2019-11-03,MIN,@,KAN,"L, 23-26",*,5,1,4,4.0,0,20.0,0.8,1,12,0,12.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,62,88.6,0,0.0,0,0.0
9,10.0,65.0,10.0,10.0,2019-11-10,MIN,@,DAL,"W, 28-24",*,6,3,49,16.3,0,50.0,8.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,58,76.3,0,0.0,0,0.0
10,11.0,66.0,11.0,11.0,2019-11-17,MIN,,DEN,"W, 27-23",*,5,5,121,24.2,1,100.0,24.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,61,98.4,0,0.0,1,3.6
11,12.0,67.0,12.0,13.0,2019-12-02,MIN,@,SEA,"L, 30-37",*,9,4,25,6.3,0,44.4,2.8,1,27,0,27.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,51,94.4,0,0.0,0,0.0
12,13.0,68.0,13.0,14.0,2019-12-08,MIN,,DET,"W, 20-7",*,9,6,92,15.3,0,66.7,10.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,53,73.6,0,0.0,0,0.0
13,14.0,69.0,14.0,15.0,2019-12-15,MIN,@,LAC,"W, 39-10",*,6,4,76,19.0,0,66.7,12.7,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0
14,15.0,70.0,15.0,16.0,2019-12-23,MIN,,GNB,"L, 10-23",*,5,3,57,19.0,1,60.0,11.4,0,0,0,,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,46,85.2,0,0.0,0,0.0
15,15.0,,16.0,17.0,2019-12-29,MIN,,CHI,"L, 19-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,10-5,,94,63,1130,17.9,6,67.0,12.0,5,61,0,12.2,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,4,3,0,0,0,0,772,79.2,0,0.0,2,0.5
