,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,104.0,1.0,1.0,2022-09-08,BUF,@,LAR,"W, 31-10",*,9,8,122,15.3,1,88.9,13.6,0,0,0,,0,0,0,0,0,0,38,64.4,0,0.0,0,0.0
1,2.0,105.0,2.0,2.0,2022-09-19,BUF,,TEN,"W, 41-7",*,15,12,148,12.3,3,80.0,9.9,0,0,0,,0,0,0,0,0,0,45,66.2,0,0.0,0,0.0
2,3.0,106.0,3.0,3.0,2022-09-25,BUF,@,MIA,"L, 19-21",*,11,7,74,10.6,0,63.6,6.7,0,0,0,,0,0,0,0,0,0,64,69.6,0,0.0,0,0.0
3,4.0,107.0,4.0,4.0,2022-10-02,BUF,@,BAL,"W, 23-20",*,6,4,62,15.5,0,66.7,10.3,0,0,0,,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
4,5.0,108.0,5.0,5.0,2022-10-09,BUF,,PIT,"W, 38-3",*,11,8,102,12.8,1,72.7,9.3,0,0,0,,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
5,6.0,109.0,6.0,6.0,2022-10-16,BUF,@,KAN,"W, 24-20",*,13,10,148,14.8,1,76.9,11.4,0,0,0,,0,0,0,0,0,0,64,87.7,0,0.0,0,0.0
6,7.0,110.0,7.0,8.0,2022-10-30,BUF,,GNB,"W, 27-17",*,8,6,108,18.0,1,75.0,13.5,0,0,0,,1,0,0,1,0,0,47,79.7,0,0.0,0,0.0
7,8.0,111.0,8.0,9.0,2022-11-06,BUF,@,NYJ,"L, 17-20",*,10,5,93,18.6,0,50.0,9.3,0,0,0,,0,0,0,0,0,0,46,74.2,0,0.0,0,0.0
8,9.0,112.0,9.0,10.0,2022-11-13,BUF,,MIN,"L, 30-33 (OT)",*,16,12,128,10.7,0,75.0,8.0,0,0,0,,0,0,0,0,0,0,69,92.0,0,0.0,0,0.0
9,10.0,113.0,10.0,11.0,2022-11-20,BUF,,CLE,"W, 31-23",*,5,4,48,12.0,1,80.0,9.6,0,0,0,,0,0,0,0,0,0,43,66.2,0,0.0,2,6.7
10,11.0,114.0,11.0,12.0,2022-11-24,BUF,@,DET,"W, 28-25",*,15,8,77,9.6,1,53.3,5.1,0,0,0,,0,0,0,0,0,0,60,77.9,0,0.0,0,0.0
11,12.0,115.0,12.0,13.0,2022-12-01,BUF,@,NWE,"W, 24-10",*,9,7,92,13.1,1,77.8,10.2,0,0,0,,0,0,0,0,0,0,55,73.3,0,0.0,1,4.2
12,13.0,116.0,13.0,14.0,2022-12-11,BUF,,NYJ,"W, 20-12",*,5,3,37,12.3,0,60.0,7.4,0,0,0,,0,0,0,0,0,0,46,78.0,0,0.0,1,3.3
13,14.0,117.0,14.0,15.0,2022-12-17,BUF,,MIA,"W, 32-29",*,9,5,60,12.0,0,55.6,6.7,1,-3,0,-3.0,0,0,0,0,0,0,67,85.9,0,0.0,0,0.0
14,15.0,118.0,15.0,16.0,2022-12-24,BUF,@,CHI,"W, 35-13",*,2,2,26,13.0,0,100.0,13.0,0,0,0,,0,0,0,0,0,0,43,67.2,0,0.0,0,0.0
15,16.0,119.0,16.0,18.0,2023-01-08,BUF,,NWE,"W, 35-23",*,10,7,104,14.9,1,70.0,10.4,0,0,0,,0,0,0,0,0,0,45,76.3,0,0.0,0,0.0
16,,,,,,,,,13-3,,154,108,1429,13.2,11,70.1,9.3,1,-3,0,-3.0,1,0,0,1,0,0,836,77.1,0,0.0,4,1.0
