,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2015,22,MIN,NFL,WR,13.0,9.0,84.0,52.0,720.0,13.8,4.0,30.0,46.4,40.0,4.0,55.4,61.9,8.6,3.0,13.0,0.0,1.0,66.7,10.0,4.3,1.0,0.2,55.0,13.3,733.0,4.0,2.0,8.0,
1,2016,23,MIN,NFL,WR,13.0,11.0,112.0,84.0,903.0,10.8,3.0,48.0,63.4,46.0,6.5,69.5,75.0,8.1,3.0,10.0,0.0,1.0,33.3,12.0,3.3,0.8,0.2,87.0,10.5,913.0,3.0,0.0,7.0,
2,2017,24,MIN,NFL,WR,14.0,14.0,95.0,64.0,849.0,13.3,8.0,42.0,58.9,59.0,4.6,60.6,67.4,8.9,8.0,13.0,0.0,1.0,37.5,9.0,1.6,0.9,0.6,72.0,12.0,862.0,8.0,0.0,9.0,
3,2018,25,MIN,NFL,WR,15.0,14.0,149.0,102.0,1021.0,10.0,9.0,49.0,48.3,75.0,6.8,68.1,68.5,6.9,10.0,62.0,0.0,3.0,70.0,20.0,6.2,4.1,0.7,112.0,9.7,1083.0,9.0,0.0,8.0,
4,2019,26,MIN,NFL,WR,15.0,15.0,94.0,63.0,1130.0,17.9,6.0,41.0,58.5,66.0,4.2,75.3,67.0,12.0,5.0,61.0,0.0,3.0,100.0,27.0,12.2,4.1,0.3,68.0,17.5,1191.0,6.0,4.0,13.0,
5,2020,27,BUF,NFL,WR,16.0,15.0,166.0,127.0,1535.0,12.1,8.0,73.0,65.1,55.0,7.9,95.9,76.5,9.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,128.0,12.0,1536.0,8.0,0.0,15.0,"PB,AP-1"
6,2021,28,BUF,NFL,WR,17.0,17.0,164.0,103.0,1225.0,11.9,10.0,66.0,54.9,61.0,6.1,72.1,62.8,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,103.0,11.9,1225.0,10.0,1.0,12.0,PB
7,2022,29,BUF,NFL,WR,16.0,16.0,154.0,108.0,1429.0,13.2,11.0,74.0,64.3,53.0,6.8,89.3,70.1,9.3,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,109.0,13.1,1426.0,11.0,1.0,15.0,"PB,AP-2"
8,2023,30,BUF,NFL,WR,17.0,17.0,160.0,107.0,1183.0,11.1,8.0,58.0,55.0,55.0,6.3,69.6,66.9,7.4,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,108.0,11.0,1188.0,8.0,2.0,12.0,PB
9,2024,31,HOU,NFL,WR,8.0,8.0,64.0,47.0,496.0,10.6,3.0,31.0,51.6,49.0,5.9,62.0,73.4,7.8,3.0,8.0,1.0,1.0,66.7,6.0,2.7,1.0,0.4,50.0,10.1,504.0,4.0,0.0,4.0,
10,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,144.0,136.0,1242.0,857.0,10491.0,12.2,70.0,512.0,57.2,75.0,6.0,72.9,69.0,8.4,35.0,170.0,1.0,11.0,60.0,27.0,4.9,1.2,0.2,892.0,12.0,10661.0,71.0,10.0,103.0,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,147.0,101.0,1239.0,12.2,8.0,60.0,57.2,75.0,6.0,72.9,69.0,8.4,4.0,20.0,0.0,1.0,60.0,27.0,4.9,1.2,0.2,105.0,1.4,1259.0,8.0,1.0,12.0,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MIN (5 Yrs),MIN (5 Yrs),MIN (5 Yrs),MIN (5 Yrs),,70.0,63.0,534.0,365.0,4623.0,12.7,30.0,210.0,54.9,75.0,5.2,66.0,68.4,8.7,29.0,159.0,0.0,9.0,62.1,27.0,5.5,2.3,0.4,394.0,12.1,4782.0,30.0,6.0,45.0,
14,BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),,66.0,65.0,644.0,445.0,5372.0,12.1,37.0,271.0,59.8,61.0,6.7,81.4,69.1,8.3,3.0,3.0,0.0,1.0,33.3,5.0,1.0,0.0,0.0,448.0,12.0,5375.0,37.0,4.0,54.0,
15,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,8.0,8.0,64.0,47.0,496.0,10.6,3.0,31.0,51.6,49.0,5.9,62.0,73.4,7.8,3.0,8.0,1.0,1.0,66.7,6.0,2.7,1.0,0.4,50.0,10.1,504.0,4.0,0.0,4.0,
