,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,66.0,1.0,1.0,2021-09-12,NYG,,DEN,"L, 13-27",*,9,7,113,16.1,1,77.8,12.6,0,0,0,,0.0,0,0,0,0,0,0,58,95.1,0,0.0,0,0.0
1,2.0,67.0,2.0,2.0,2021-09-16,NYG,@,WAS,"L, 29-30",*,10,9,94,10.4,0,90.0,9.4,1,-9,0,-9.0,0.0,0,0,0,0,0,0,64,92.8,0,0.0,0,0.0
2,3.0,68.0,3.0,3.0,2021-09-26,NYG,,ATL,"L, 14-17",*,3,2,16,8.0,0,66.7,5.3,0,0,0,,0.0,0,0,0,0,0,0,24,34.3,0,0.0,0,0.0
3,3.0,,4.0,4.0,2021-10-03,NYG,@,NOR,"W, 27-21 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2021-10-10,NYG,@,DAL,"L, 20-44",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,69.0,6.0,6.0,2021-10-17,NYG,,LAR,"L, 11-38",*,14,10,76,7.6,0,71.4,5.4,0,0,0,,0.0,2,2,0,0,0,0,68,90.7,0,0.0,0,0.0
6,4.0,,7.0,7.0,2021-10-24,NYG,,CAR,"W, 25-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,70.0,8.0,8.0,2021-11-01,NYG,@,KAN,"L, 17-20",*,7,4,25,6.3,0,57.1,3.6,0,0,0,,0.0,0,0,0,0,0,0,23,38.3,0,0.0,0,0.0
8,5.0,,9.0,9.0,2021-11-07,NYG,,LVR,"W, 23-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,5.0,,10.0,11.0,2021-11-22,NYG,@,TAM,"L, 10-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,5.0,,11.0,12.0,2021-11-28,NYG,,PHI,"W, 13-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,5.0,,12.0,13.0,2021-12-05,NYG,@,MIA,"L, 9-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,6.0,71.0,13.0,14.0,2021-12-12,NYG,@,LAC,"L, 21-37",,4,2,27,13.5,0,50.0,6.8,0,0,0,,0.0,0,0,0,0,0,0,56,81.2,0,0.0,0,0.0
13,7.0,72.0,14.0,15.0,2021-12-19,NYG,,DAL,"L, 6-21",*,6,2,15,7.5,0,33.3,2.5,0,0,0,,0.0,1,1,0,0,0,0,51,81.0,0,0.0,0,0.0
14,7.0,,15.0,16.0,2021-12-26,NYG,@,PHI,"L, 10-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,7.0,,16.0,17.0,2022-01-02,NYG,@,CHI,"L, 3-29",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,7.0,,17.0,18.0,2022-01-09,NYG,,WAS,"L, 7-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,0-7,,53,36,366,10.2,1,67.9,6.9,1,-9,0,-9.0,0.0,3,3,0,0,0,0,344,73.7,0,0.0,0,0.0
