,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,76.0,1.0,1.0,2023-09-10,NYG,,DAL,"L, 0-40",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,14,20.0,0,0.0,0,0.0
1,2.0,77.0,2.0,2.0,2023-09-17,NYG,@,ARI,"W, 31-28",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0,0,0,,0,0,0,0,0,0,10,14.7,0,0.0,0,0.0
2,3.0,78.0,3.0,3.0,2023-09-21,NYG,@,SFO,"L, 12-30",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,2,4.0,0,0.0,0,0.0
3,4.0,79.0,4.0,4.0,2023-10-02,NYG,,SEA,"L, 3-24",,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,,0,0,0,0,0,0,5,6.7,0,0.0,0,0.0
4,5.0,80.0,5.0,5.0,2023-10-08,NYG,@,MIA,"L, 16-31",,2,1,13,13.0,0,50.0,6.5,0,0,0,,0,0,0,,0,0,0,0,0,0,20,27.8,0,0.0,0,0.0
5,6.0,81.0,6.0,6.0,2023-10-15,NYG,@,BUF,"L, 9-14",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.3,0,0.0,0,0.0
6,7.0,82.0,7.0,7.0,2023-10-22,NYG,,WAS,"W, 14-7",*,1,1,3,3.0,0,100.0,3.0,0,0,0,,3,10,0,3.3,1,1,0,0,0,0,10,14.7,0,0.0,7,24.1
7,7.0,,8.0,8.0,2023-10-29,NYG,,NYJ,"L, 10-13 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,8.0,83.0,9.0,9.0,2023-11-05,NYG,@,LVR,"L, 6-30",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.6,0,0.0,0,0.0
9,9.0,84.0,10.0,10.0,2023-11-12,NYG,@,DAL,"L, 17-49",,4,1,2,2.0,1,25.0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,11,19.3,0,0.0,0,0.0
10,10.0,85.0,11.0,11.0,2023-11-19,NYG,@,WAS,"W, 31-19",,3,1,5,5.0,0,33.3,1.7,0,0,0,,0,0,0,,0,0,0,0,0,0,26,47.3,0,0.0,0,0.0
11,11.0,86.0,12.0,12.0,2023-11-26,NYG,,NWE,"W, 10-7",*,3,1,6,6.0,0,33.3,2.0,0,0,0,,0,0,0,,0,0,0,0,0,0,16,30.8,0,0.0,0,0.0
12,11.0,,13.0,14.0,2023-12-11,NYG,,GNB,"W, 24-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,12.0,87.0,14.0,15.0,2023-12-17,NYG,@,NOR,"L, 6-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,3,4.8,0,0.0,0,0.0
14,13.0,88.0,15.0,16.0,2023-12-25,NYG,@,PHI,"L, 25-33",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.6,0,0.0,0,0.0
15,14.0,89.0,16.0,17.0,2023-12-31,NYG,,LAR,"L, 25-26",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,5,6.8,0,0.0,0,0.0
16,15.0,90.0,17.0,18.0,2024-01-07,NYG,,PHI,"W, 27-10",,5,3,18,6.0,0,60.0,3.6,1,6,0,6.0,0,0,0,,0,0,0,0,0,0,17,25.4,0,0.0,0,0.0
17,,,,,,,,,5-10,,22,10,57,5.7,1,45.5,2.6,1,6,0,6.0,3,10,0,3.3,1,1,0,0,0,0,142,14.6,0,0.0,7,1.8
