,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2024-09-08,MIN,@,NYG,"W, 28-6",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2024-09-15,MIN,,SFO,"W, 23-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2024-09-22,MIN,,HOU,"W, 34-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2024-09-29,MIN,@,GNB,"W, 31-29",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2024-10-06,MIN,,NYJ,"W, 23-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,,6.0,7.0,2024-10-20,MIN,,DET,"L, 29-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,,7.0,8.0,2024-10-24,MIN,@,LAR,"L, 20-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,1.0,73.0,8.0,9.0,2024-11-03,MIN,,IND,"W, 21-13",*,4,3,27,9.0,0,75.0,6.8,33,45.2,0,0.0,1,4.5
8,2.0,74.0,9.0,10.0,2024-11-10,MIN,@,JAX,"W, 12-7",,9,8,72,9.0,0,88.9,8.0,39,46.4,0,0.0,0,0.0
9,3.0,75.0,10.0,11.0,2024-11-17,MIN,@,TEN,"W, 23-13",*,3,2,13,6.5,0,66.7,4.3,35,47.9,0,0.0,0,0.0
10,4.0,76.0,11.0,12.0,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",*,9,7,114,16.3,0,77.8,12.7,48,67.6,0,0.0,1,3.2
11,5.0,77.0,12.0,13.0,2024-12-01,MIN,,ARI,"W, 23-22",*,6,3,28,9.3,0,50.0,4.7,34,64.2,0,0.0,0,0.0
12,6.0,78.0,13.0,14.0,2024-12-08,MIN,,ATL,"W, 42-21",*,5,4,45,11.3,0,80.0,9.0,37,61.7,0,0.0,0,0.0
13,7.0,79.0,14.0,15.0,2024-12-16,MIN,,CHI,"W, 30-12",*,7,5,52,10.4,0,71.4,7.4,50,64.9,0,0.0,1,3.7
14,8.0,80.0,15.0,16.0,2024-12-22,MIN,@,SEA,"W, 27-24",*,5,2,27,13.5,0,40.0,5.4,46,69.7,0,0.0,0,0.0
15,9.0,81.0,16.0,17.0,2024-12-29,MIN,,GNB,"W, 27-25",*,6,5,68,13.6,0,83.3,11.3,50,69.4,0,0.0,0,0.0
16,10.0,82.0,17.0,18.0,2025-01-05,MIN,@,DET,"L, 9-31",*,8,2,9,4.5,0,25.0,1.1,51,78.5,0,0.0,0,0.0
17,,,,,,,,,9-1,,62,41,455,11.1,0,66.1,7.3,423,61.0,0,0.0,3,1.1
