,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2017-09-11,NOR,@,MIN,"L, 19-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2017-09-17,NOR,,NWE,"L, 20-36",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2017-09-24,NOR,@,CAR,"W, 34-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,4.0,2017-10-01,NOR,@,MIA,"W, 20-0",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,,5.0,6.0,2017-10-15,NOR,,DET,"W, 52-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,,6.0,7.0,2017-10-22,NOR,@,GNB,"W, 26-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,,7.0,8.0,2017-10-29,NOR,,CHI,"W, 20-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,,8.0,9.0,2017-11-05,NOR,,TAM,"W, 30-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,9.0,10.0,2017-11-12,NOR,@,BUF,"W, 47-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,,10.0,11.0,2017-11-19,NOR,,WAS,"W, 34-31 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,,11.0,12.0,2017-11-26,NOR,@,LAR,"L, 20-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,1.0,1.0,12.0,13.0,2017-12-03,NOR,,CAR,"W, 31-21",,0.0,2,2,0,0,0,0,0,0.0,0,0.0,12,41.4
12,2.0,2.0,13.0,14.0,2017-12-07,NOR,@,ATL,"L, 17-20",,0.0,0,0,0,0,,0,0,0.0,0,0.0,11,45.8
13,3.0,3.0,14.0,15.0,2017-12-17,NOR,,NYJ,"W, 31-19",,0.0,1,1,0,0,0,0,0,0.0,0,0.0,17,56.7
14,4.0,4.0,15.0,16.0,2017-12-24,NOR,,ATL,"W, 23-13",,0.0,0,0,0,0,,0,1,1.6,0,0.0,16,55.2
15,5.0,5.0,16.0,17.0,2017-12-31,NOR,@,TAM,"L, 24-31",,0.0,1,1,0,0,0,0,0,0.0,0,0.0,15,57.7
16,,,,,,,,,3-2,,0.0,4,4,0,0,0,0,1,0.3,0,0.0,71,51.4
