,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,54.0,1.0,1.0,2021-09-12,NOR,,GNB,"W, 38-3",,1,1,100.0,3,0,0,3.0,3.00,79.2,0,0,2,1,0,0.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,35.5,0,0.0,1,4.5
1,2.0,55.0,2.0,2.0,2021-09-19,NOR,@,CAR,"L, 7-26",*,0,0,,0,0,0,,,,0,0,2,16,0,8.0,0,0,0,,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,10,22.7,0,0.0,6,24.0
2,3.0,56.0,3.0,3.0,2021-09-26,NOR,@,NWE,"W, 28-13",*,0,0,,0,0,0,,,,0,0,6,32,1,5.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,53.2,0,0.0,5,17.2
3,4.0,57.0,4.0,4.0,2021-10-03,NOR,,NYG,"L, 21-27 (OT)",*,2,3,66.7,9,0,1,3.0,-12.00,30.6,0,0,6,28,2,4.7,2,2,26,13.0,0,100.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,50.0,0,0.0,3,12.0
4,5.0,58.0,5.0,5.0,2021-10-10,NOR,@,WAS,"W, 33-22",*,0,0,,0,0,0,,,,0,0,0,0,0,,2,1,11,11.0,0,50.0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,16.1,0,0.0,0,0.0
5,5.0,,6.0,7.0,2021-10-25,NOR,@,SEA,"W, 13-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,8.0,2021-10-31,NOR,,TAM,"W, 36-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,59.0,8.0,9.0,2021-11-07,NOR,,ATL,"L, 25-27",,2,2,100.0,33,0,0,16.5,16.50,118.7,0,0,1,4,0,4.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,22.4,0,0.0,3,11.1
8,7.0,60.0,9.0,10.0,2021-11-14,NOR,@,TEN,"L, 21-23",,2,2,100.0,11,0,0,5.5,5.50,89.6,0,0,3,23,0,7.7,2,1,15,15.0,0,50.0,7.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,31.3,0,0.0,9,31.0
9,7.0,,10.0,11.0,2021-11-21,NOR,@,PHI,"L, 29-40",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
