,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2023-09-10,CIN,@,CLE,"L, 3-24",*,8,0,0,,0,0.0,0.0,53,94.6,0,0.0,0,0.0
1,2.0,48.0,2.0,2.0,2023-09-17,CIN,,BAL,"L, 24-27",*,12,8,89,11.1,2,66.7,7.4,53,88.3,0,0.0,0,0.0
2,3.0,49.0,3.0,3.0,2023-09-25,CIN,,LAR,"W, 19-16",*,8,2,21,10.5,0,25.0,2.6,66,85.7,0,0.0,1,3.2
3,4.0,50.0,4.0,4.0,2023-10-01,CIN,@,TEN,"L, 3-27",*,4,2,19,9.5,0,50.0,4.8,27,50.9,0,0.0,0,0.0
4,4.0,,5.0,5.0,2023-10-08,CIN,@,ARI,"W, 34-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,51.0,6.0,6.0,2023-10-15,CIN,,SEA,"W, 17-13",,4,2,20,10.0,0,50.0,5.0,29,53.7,0,0.0,0,0.0
6,6.0,52.0,7.0,8.0,2023-10-29,CIN,@,SFO,"W, 31-17",*,6,5,69,13.8,0,83.3,11.5,42,66.7,0,0.0,0,0.0
7,7.0,53.0,8.0,9.0,2023-11-05,CIN,,BUF,"W, 24-18",*,9,8,110,13.8,0,88.9,12.2,58,82.9,0,0.0,0,0.0
8,7.0,,9.0,10.0,2023-11-12,CIN,,HOU,"L, 27-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7.0,,10.0,11.0,2023-11-16,CIN,@,BAL,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,7.0,,11.0,12.0,2023-11-26,CIN,,PIT,"L, 10-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,8.0,54.0,12.0,13.0,2023-12-04,CIN,@,JAX,"W, 34-31 (OT)",*,3,3,36,12.0,0,100.0,12.0,57,78.1,0,0.0,0,0.0
12,9.0,55.0,13.0,14.0,2023-12-10,CIN,,IND,"W, 34-14",*,4,2,72,36.0,0,50.0,18.0,45,75.0,0,0.0,0,0.0
13,10.0,56.0,14.0,15.0,2023-12-16,CIN,,MIN,"W, 27-24 (OT)",*,8,4,61,15.3,2,50.0,7.6,61,87.1,0,0.0,0,0.0
14,11.0,57.0,15.0,16.0,2023-12-23,CIN,@,PIT,"L, 11-34",*,8,5,140,28.0,1,62.5,17.5,52,81.3,0,0.0,0,0.0
15,12.0,58.0,16.0,17.0,2023-12-31,CIN,@,KAN,"L, 17-25",*,2,1,19,19.0,0,50.0,9.5,30,40.5,0,0.0,0,0.0
16,12.0,,17.0,18.0,2024-01-07,CIN,,CLE,"W, 31-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,7-5,,76,42,656,15.6,5,55.3,8.6,573,74.0,0,0.0,1,0.3
