,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2024-09-08,CIN,,NWE,"L, 10-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2024-09-15,CIN,@,KAN,"L, 25-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,59.0,3.0,3.0,2024-09-23,CIN,,WAS,"L, 33-38",*,6,3,39,13.0,0,50.0,6.5,0,0,0,0,0,0,56,90.3,0,0.0,0,0.0
3,2.0,60.0,4.0,4.0,2024-09-29,CIN,@,CAR,"W, 34-24",,10,6,60,10.0,0,60.0,6.0,0,0,0,0,0,0,43,64.2,0,0.0,0,0.0
4,3.0,61.0,5.0,5.0,2024-10-06,CIN,,BAL,"L, 38-41 (OT)",*,14,9,83,9.2,2,64.3,5.9,0,0,0,0,0,0,48,71.6,0,0.0,0,0.0
5,4.0,62.0,6.0,6.0,2024-10-13,CIN,@,NYG,"W, 17-7",*,7,7,77,11.0,0,100.0,11.0,0,0,0,0,0,0,45,84.9,0,0.0,0,0.0
6,5.0,63.0,7.0,7.0,2024-10-20,CIN,@,CLE,"W, 21-14",,8,4,82,20.5,1,50.0,10.3,0,0,0,0,0,0,45,81.8,0,0.0,1,3.6
7,5.0,,8.0,8.0,2024-10-27,CIN,,PHI,"L, 17-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,5.0,,9.0,9.0,2024-11-03,CIN,,LVR,"W, 41-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,5.0,,10.0,10.0,2024-11-07,CIN,@,BAL,"L, 34-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,6.0,64.0,11.0,11.0,2024-11-17,CIN,@,LAC,"L, 27-34",*,13,9,148,16.4,1,69.2,11.4,0,0,0,0,0,0,69,84.1,0,0.0,0,0.0
11,7.0,65.0,12.0,13.0,2024-12-01,CIN,,PIT,"L, 38-44",*,10,5,69,13.8,1,50.0,6.9,0,0,0,0,0,0,56,90.3,0,0.0,0,0.0
12,8.0,66.0,13.0,14.0,2024-12-09,CIN,@,DAL,"W, 27-20",*,5,2,23,11.5,0,40.0,4.6,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
13,9.0,67.0,14.0,15.0,2024-12-15,CIN,@,TEN,"W, 37-27",*,8,5,88,17.6,1,62.5,11.0,0,0,0,0,0,0,60,87.0,0,0.0,0,0.0
14,10.0,68.0,15.0,16.0,2024-12-22,CIN,,CLE,"W, 24-6",,11,8,58,7.3,1,72.7,5.3,0,0,0,0,0,0,40,71.4,0,0.0,0,0.0
15,11.0,69.0,16.0,17.0,2024-12-28,CIN,,DEN,"W, 30-24 (OT)",*,12,11,131,11.9,3,91.7,10.9,1,1,0,0,0,0,62,68.9,0,0.0,0,0.0
16,12.0,70.0,17.0,18.0,2025-01-04,CIN,@,PIT,"W, 19-17",*,5,4,53,13.3,0,80.0,10.6,0,0,0,0,0,0,50,67.6,0,0.0,0,0.0
17,,,,,,,,,8-4,,109,73,911,12.5,10,67.0,8.4,1,1,0,0,0,0,636,78.7,0,0.0,1,0.3
