,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2020-09-13,WAS,,PHI,"W, 27-17",*,7,5,61,12.2,0,71.4,8.7,0,0,0,,0,0,0,0,0,0,65,92.9,0,0.0,0,0.0
1,2.0,16.0,2.0,2.0,2020-09-20,WAS,@,ARI,"L, 15-30",*,10,7,125,17.9,1,70.0,12.5,0,0,0,,0,0,0,0,0,0,62,93.9,0,0.0,0,0.0
2,3.0,17.0,3.0,3.0,2020-09-27,WAS,@,CLE,"L, 20-34",*,8,4,83,20.8,0,50.0,10.4,1,3,0,3.0,0,0,0,0,0,0,63,98.4,0,0.0,0,0.0
3,4.0,18.0,4.0,4.0,2020-10-04,WAS,,BAL,"L, 17-31",*,14,10,118,11.8,0,71.4,8.4,0,0,0,,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
4,5.0,19.0,5.0,5.0,2020-10-11,WAS,,LAR,"L, 10-30",*,7,3,26,8.7,0,42.9,3.7,0,0,0,,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
5,6.0,20.0,6.0,6.0,2020-10-18,WAS,@,NYG,"L, 19-20",*,12,7,74,10.6,0,58.3,6.2,0,0,0,,0,0,0,0,0,0,70,95.9,0,0.0,0,0.0
6,7.0,21.0,7.0,7.0,2020-10-25,WAS,,DAL,"W, 25-3",*,11,7,90,12.9,1,63.6,8.2,0,0,0,,0,0,0,0,0,0,58,84.1,0,0.0,0,0.0
7,8.0,22.0,8.0,9.0,2020-11-08,WAS,,NYG,"L, 20-23",*,8,7,115,16.4,1,87.5,14.4,0,0,0,,0,0,0,0,0,0,53,98.1,0,0.0,0,0.0
8,9.0,23.0,9.0,10.0,2020-11-15,WAS,@,DET,"L, 27-30",*,9,7,95,13.6,0,77.8,10.6,1,27,0,27.0,1,1,0,0,0,0,86,97.7,0,0.0,0,0.0
9,10.0,24.0,10.0,11.0,2020-11-22,WAS,,CIN,"W, 20-9",*,7,5,84,16.8,0,71.4,12.0,0,0,0,,0,0,0,0,0,0,57,91.9,0,0.0,0,0.0
10,11.0,25.0,11.0,12.0,2020-11-26,WAS,@,DAL,"W, 41-16",*,9,7,92,13.1,0,77.8,10.2,0,0,0,,0,0,0,0,0,0,62,89.9,0,0.0,0,0.0
11,12.0,26.0,12.0,13.0,2020-12-07,WAS,@,PIT,"W, 23-17",*,6,2,14,7.0,0,33.3,2.3,0,0,0,,0,0,0,0,0,0,68,94.4,0,0.0,0,0.0
12,13.0,27.0,13.0,14.0,2020-12-13,WAS,@,SFO,"W, 23-15",*,6,2,24,12.0,0,33.3,4.0,0,0,0,,0,0,0,0,0,0,58,92.1,0,0.0,0,0.0
13,14.0,28.0,14.0,15.0,2020-12-20,WAS,,SEA,"L, 15-20",*,12,7,77,11.0,0,58.3,6.4,0,0,0,,0,0,0,0,0,0,78,97.5,0,0.0,0,0.0
14,14.0,,15.0,16.0,2020-12-27,WAS,,CAR,"L, 13-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,29.0,16.0,17.0,2021-01-03,WAS,@,PHI,"W, 20-14",*,8,7,40,5.7,1,87.5,5.0,0,0,0,,0,0,0,0,0,0,51,81.0,0,0.0,0,0.0
16,,,,,,,,,7-8,,134,87,1118,12.9,4,64.9,8.3,2,30,0,15.0,1,1,0,0,0,0,949,93.2,0,0.0,0,0.0
