,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2021-09-09,DAL,@,TAM,"L, 29-31",,3,14,0,4.7,4,4,29,7.3,0,100.0,7.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,23.8,0,0.0,9,26.5
1,2.0,33.0,2.0,2.0,2021-09-19,DAL,@,LAC,"W, 20-17",,13,109,1,8.4,3,3,31,10.3,0,100.0,10.3,3,71,0,23.7,0.0,1,1,0,0,0,0,0,0,0,0,0,0,21,33.9,0,0.0,6,31.6
2,3.0,34.0,3.0,3.0,2021-09-27,DAL,,PHI,"W, 41-21",,11,60,0,5.5,1,1,5,5.0,0,100.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,38.2,0,0.0,8,26.7
3,4.0,35.0,4.0,4.0,2021-10-03,DAL,,CAR,"W, 36-28",,10,67,0,6.7,0,0,0,,0,,,1,14,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,29.5,0,0.0,9,31.0
4,5.0,36.0,5.0,5.0,2021-10-10,DAL,,NYG,"W, 44-20",,14,75,0,5.4,4,4,28,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,31,39.7,0,0.0,6,20.0
5,6.0,37.0,6.0,6.0,2021-10-17,DAL,@,NWE,"W, 35-29 (OT)",,10,41,0,4.1,3,3,22,7.3,0,100.0,7.3,3,74,0,24.7,0.0,1,1,0,0,0,0,0,0,0,0,0,0,26,29.2,0,0.0,6,21.4
6,7.0,38.0,7.0,8.0,2021-10-31,DAL,@,MIN,"W, 20-16",,7,26,0,3.7,1,1,1,1.0,0,100.0,1.0,1,22,0,22.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,19,26.0,0,0.0,9,30.0
7,8.0,39.0,8.0,9.0,2021-11-07,DAL,,DEN,"L, 16-30",,4,11,0,2.8,2,1,32,32.0,0,50.0,16.0,2,89,0,44.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,38.7,0,0.0,11,47.8
8,9.0,40.0,9.0,10.0,2021-11-14,DAL,,ATL,"W, 43-3",,11,42,0,3.8,7,6,56,9.3,0,85.7,8.0,1,29,0,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,41.6,0,0.0,4,16.0
9,10.0,41.0,10.0,11.0,2021-11-21,DAL,@,KAN,"L, 9-19",,7,50,0,7.1,2,2,20,10.0,0,100.0,10.0,2,39,0,19.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,32.8,0,0.0,10,37.0
10,11.0,42.0,11.0,12.0,2021-11-25,DAL,,LVR,"L, 33-36 (OT)",,10,36,0,3.6,4,4,32,8.0,0,100.0,8.0,3,129,1,43.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,31,41.9,0,0.0,14,33.3
11,12.0,43.0,12.0,13.0,2021-12-02,DAL,@,NOR,"W, 27-17",,7,71,1,10.1,4,2,3,1.5,0,50.0,0.8,1,22,0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,40.0,0,0.0,8,25.0
12,12.0,,13.0,14.0,2021-12-12,DAL,@,WAS,"W, 27-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,44.0,14.0,15.0,2021-12-19,DAL,@,NYG,"W, 21-6",,12,74,0,6.2,3,3,13,4.3,0,100.0,4.3,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,29,40.8,0,0.0,0,0.0
14,14.0,45.0,15.0,16.0,2021-12-26,DAL,,WAS,"W, 56-14",,8,34,0,4.3,3,2,16,8.0,0,66.7,5.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,34.2,0,0.0,0,0.0
15,15.0,46.0,16.0,17.0,2022-01-02,DAL,,ARI,"L, 22-25",,3,9,0,3.0,5,3,49,16.3,0,60.0,9.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,29.7,0,0.0,0,0.0
16,15.0,,17.0,18.0,2022-01-08,DAL,@,PHI,"W, 51-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,10-5,,130,719,2,5.5,46,39,337,8.6,0,84.8,7.3,17,489,1,28.8,0.0,5,4,1,0,0,0,2,0,0,1,0,0,374,34.6,0,0.0,100,23.3
