,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,2.0,1.0,1.0,2014-09-07,KAN,,TEN,"L, 10-26",,5,3,49,16.3,0,60.0,9.8,0,0,0,0,0,0,18,31.6,0,0.0,3,9.1
1,2.0,3.0,2.0,2.0,2014-09-14,KAN,@,DEN,"L, 17-24",,6,4,81,20.3,0,66.7,13.5,0,0,0,0,0,0,32,37.2,0,0.0,4,18.2
2,3.0,4.0,3.0,3.0,2014-09-21,KAN,@,MIA,"W, 34-15",*,4,3,36,12.0,1,75.0,9.0,0,0,0,0,0,0,47,65.3,0,0.0,4,13.3
3,4.0,5.0,4.0,4.0,2014-09-29,KAN,,NWE,"W, 41-14",*,9,8,93,11.6,1,88.9,10.3,0,0,0,0,0,0,35,52.2,0,0.0,7,24.1
4,5.0,6.0,5.0,5.0,2014-10-05,KAN,@,SFO,"L, 17-22",*,3,2,15,7.5,1,66.7,5.0,0,0,0,0,0,0,29,58.0,0,0.0,3,11.1
5,6.0,7.0,6.0,7.0,2014-10-19,KAN,@,SDG,"W, 23-20",,4,4,33,8.3,0,100.0,8.3,0,0,0,0,0,0,39,52.7,0,0.0,5,17.2
6,7.0,8.0,7.0,8.0,2014-10-26,KAN,,STL,"W, 34-7",*,6,4,45,11.3,0,66.7,7.5,0,0,0,0,0,0,38,57.6,0,0.0,6,22.2
7,8.0,9.0,8.0,9.0,2014-11-02,KAN,,NYJ,"W, 24-10",*,5,4,67,16.8,1,80.0,13.4,1,0,0,0,0,0,30,51.7,0,0.0,4,20.0
8,9.0,10.0,9.0,10.0,2014-11-09,KAN,@,BUF,"W, 17-13",,2,2,19,9.5,0,100.0,9.5,0,0,0,0,0,0,40,66.7,0,0.0,3,10.7
9,10.0,11.0,10.0,11.0,2014-11-16,KAN,,SEA,"W, 24-20",*,5,3,37,12.3,0,60.0,7.4,1,1,0,0,0,0,46,95.8,0,0.0,4,19.0
10,11.0,12.0,11.0,12.0,2014-11-20,KAN,@,OAK,"L, 20-24",*,5,4,67,16.8,0,80.0,13.4,0,0,0,0,0,0,62,93.9,0,0.0,4,12.5
11,12.0,13.0,12.0,13.0,2014-11-30,KAN,,DEN,"L, 16-29",,3,3,36,12.0,0,100.0,12.0,0,0,0,0,0,0,37,82.2,0,0.0,2,6.3
12,13.0,14.0,13.0,14.0,2014-12-07,KAN,@,ARI,"L, 14-17",*,9,7,110,15.7,0,77.8,12.2,1,1,0,0,0,0,53,81.5,0,0.0,2,8.7
13,14.0,15.0,14.0,15.0,2014-12-14,KAN,,OAK,"W, 31-13",*,6,5,59,11.8,1,83.3,9.8,1,1,0,0,0,0,52,77.6,0,0.0,7,18.9
14,15.0,16.0,15.0,16.0,2014-12-21,KAN,@,PIT,"L, 12-20",*,7,4,31,7.8,0,57.1,4.4,0,0,0,0,0,0,53,80.3,0,0.0,5,22.7
15,16.0,17.0,16.0,17.0,2014-12-28,KAN,,SDG,"W, 19-7",*,8,7,84,12.0,0,87.5,10.5,0,0,0,1,0,1,57,95.0,0,0.0,6,23.1
16,,,,,,,,,9-7,,87,67,862,12.9,5,77.0,9.9,4,3,0,1,0,1,668,66.3,0,0.0,69,15.8
